Name,Address,Telephone
Techmind Solution,"Babarmahal,","977-1-4102299+977 1 4102213,977-1-41022134102239,"
SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom),","+021-525285,9801005554,"
Nepal Stock Exchange Ltd.,"Singh Durbar Plaza, P.O. Box: 1550, Ktm,","+977 1 425 0756+977 1 425 0757+977 1 425 0758,,"
Ipak International Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal,","01-4620262,9813702804,"
Agrawal Securities Pvt. Ltd.,"1st Floor, Green Apple Building, Radhe Marg, Dillibazar,","+977-1-5970106,98520245419852026274,"
Falcon Eyes Export Import Pvt. Ltd.,"Baluwatar,","00977-1-44251714432509,,"
Market Securities Exchange Co. (P) Ltd.,"OM Dev Plaza Complex, Khechapukhu Road,","+977-1-4248973+977-1-4249558,,"
Agrawal Securities Pvt. Ltd.,"1st Floor, Green Apple Building, Radhe Marg,","+977 1-4424406,,"
Nepal Fire and Safety Solutions Pvt. Ltd,"Teku-12, Sahidsukra Marga,","01-4100037,+977-9803662800,"
Premier Securities Co. Ltd.,"Rudra Bhawan, New Plaza Rd,","+977 1-5970732+977-1-4532832+977-1-4532704+977-1-4532700,,"
Sani Securities Co Ltd.,"Laxman Babu Bhawan, Naxal,","+977-1-5970602,,"
SILPA SECURITIES PVT.LTD,"Pashupati Sadak,","+977-1-4255782+977-1-4255078,,"
DAI,"P965+QVC, Kathmandu 44600,","+977 -1-5107445,,"
IT Key Pvt. Ltd.,"Gairapatan,","061538268,9856036790,"
GARUD SECURITIES PVT. LTD.,"341 Jana Marg, Lohsal, Bansbari-3,","+977-1-4015771+977-1-4015772+977-1-4015774+977-1-4015775,,"
Third Eye Risk Management And Associate Pvt.Ltd.,"Kathmandu Nepal,","9867415458,9867415458,"
JAMB Technologies Pvt. Ltd,"Baneshwor,","00977-1-4782143016914689,00977-9841960824,"
Home Automation Nepal,"Sanchal-2, Sanepa, Lalitpur, Nepal,","+977-1-5525717,,"
BAR CODE NEPAL INC. PVT. LTD.,"Anamnagar,","42200834262267,,"
Civil Capital Markets Pvt. Ltd.,"Kamaladi,","00977-1-41686544168664,,"
Expedient Securities Pvt. Ltd.,"Kupondole,","00977-1-5547087,00977-9841447048,"
Expedient Securities Pvt. Ltd.,"Gita Mandir Lane,","025-520661,9842040253,"
Expedient Securities Pvt. Ltd.,"Station Road,","041-521795,9854020064,"
Shree Om Investment & Organizer Pvt. Ltd.,"Dillibazar,","00977-1-4433075,00977-9851115289,"
CDS and Clearning Ltd.,"Thapathali,","00977-1-4101596,,"
Expedient Securities Pvt. Ltd.,"Indrachowk,","00977-1-42248074229254,,"
Fewa Trade Exchange Solutions (P) Ltd,"Shivalaya Chowk,","61-524265,,"
Peoples' Investment Company Limited,"Khichapokhari,","00977-1-4233709,,"
Premier Clearing Services Pvt. Ltd.,"Khichapokhari,","00977-1-43677874233181,,"
Securities Board Nepal,"Thapathali, P.O. Box: 9031, Ktm,","00977-1-42304094248381,,"
Pashupati Hardware,"PashupatI Hardware, Old Baneshwor Height, Setopul, Kathmandu,","98011242419808418007,,"
Ashutosh Brokerage & Securities (P) Ltd.,"Khichapokhari, P.O. Box: 3532, Ktm,","00977-1-42275104220276,,"
ASHRITA INTERNATIONAL PVT. LTD.,"Tinkune,","41119679841156021,,"
J. F. Security Co. (P) Ltd.,"Putalisadak, P.O. Box: 11185, Ktm,","00977-1-4231339,,"
Malla & Malla Stock Broking Co. (P) Ltd.,"Dillibazar, P.O. Box: 8867, Ktm,","00977-1-44320884414008,,"
Nepal Stock House (P) Ltd.,"Anam Nagar,","00977-1-42658884255732,,"
Siprabi Securities (P) Ltd.,"Jwagal, Kupondole, P.O. Box: 9598, Ktm, Lalitpur","5530701,,"
Sipla Securities (P) Ltd.,"New Road, P.O. Box: 565, Ktm,","00977-1-4255782,,"
Thrive Brokerage House Pvt. Ltd.,"Naxal, P.O. Box: 101, Ktm,","00977-1-4419051,,"
RHINO SECURITY SERVICE,"P89W+4HV, Chahahil Ring Road,","+977-1-4373714,,"
Vaibhav Laxmi Investment Pvt. Ltd.,"New Baneshwor,","00977-1-4785463,00977-9841281369,"
Annapurna Securities Service (P) Ltd.,"Putalisadak, P.O. Box: 101, Ktm,","00977-1-44190514416018,,"
Trishul Securities & Investment Ltd.,"Putalisadak, P.O. Box: 5637, Ktm,","00977-1-4440709,,"
DC Capital Markets Ltd.,unknown,"061-525294525295,,"
Gajendra Ranjit,"Dillibazar, P.O. Box: 1664, Ktm,","00977-1-44160504414263,,"
Midas Stock Brokering Co. (P) Ltd.,"Dillibazar,","00977-1-44142634416050,,"
Panchashil Investment,"Kumaripati,","00977-1-50085855532718,,"
Primo Securities (P) Ltd.,"Indra Chowk,","00977-1-4230787,,"
Shivashakti Stock & Investment (P) Ltd.,"Kamaladi, P.O. Box: 1979, Ktm,","00977-1-4221123,,"
Trisul Securities & Investment Co. Ltd.,"Putalisadak, P.O. Box: 5636, Ktm,","00977-1-44381974440708,,"
Elite Capital Limited,"Jamal,","+977-1-4222460,,"
Asian Securities Ltd.,"Khasi Bazar,","00977-1-4220609,,"
Jagdish Agrawal (Broker No.6 ),"Kamaladi, P.O. Box: 4760, Ktm,","00977-1-4420065,,"
Joint Share Stock Co. Ltd.,unknown,"520787,,"
Kamal Prasad Aryal (Broker No.19),"Maitidevi,","00977-1-4413201,,"
Kumari Securities (P) Ltd.,"Dillibazar, P.O. Box: 20189, Ktm,","00977-1-4418036,,"
Nepal Investment & Securities Trading (P) Ltd.,"Maitidevi,","00977-1-4413201,,"
Nikhil Securities (P) Ltd.,"Anam Nagar,","00977-1-4770726,,"
Om Securities & Allied Services (P) Ltd.,"Putalisadak, P.O. Box: 2654, Ktm,","00977-1-44313864442122,,"
Opel Securities (P) Ltd.,"Baluwatar,","00977-1-4423509,,"
Parmeshwor Bhakta Malla (Broker No.11 ),"Bakhundole,","00977-1-5536459,,"
Pragyan Securities Co. (P) Ltd.,"Gaushala,","00977-1-44982349851063059,,"
Sagarmatha Securities (P) Ltd.,"Putalisadak,","00977-1-4242548,,"
Tanka Nath Adhikari (Broker No.18 ),"Putali Sadak,","00977-1-4242548,,"
Trishul Securities & Investment Ltd.,"Chitwan,","00977-1-056-52846,,"
