Name,Address,Telephone
HIMALAYAN TRAVELLERS CLUB TOURS AND TRAVEL PVT. LTD.,"Thamel,","4386536985104867+977 -01-4152100,9851027652,"
Holidays to Nepal Pvt. Ltd.,"Lainchaur-29,","0097714413408,009779851166779,"
Asian Mystery Treks,"Thamel,","+977 1 4414079+977 -985-112-2733,+977 9851122733,"
Karma Eco Adventure,"Boudha ,","+977-9841142526,+977-9841142526,"
Annapurna Foothills Treks & Expedition,"Narayantar, Jorpati,","014917745+977 9841579429,977 9860711710,"
Outshine Adventure Pvt.Ltd,"Thamel, pakanajol,","(+977)014701444,9801026351,"
Trekking Guide Team Adventure,"3rd Floor Puskar Hotel, Nursingh Chwok, Thamel, Kathmandu, Nepal,","9851229400+977 - 01- 4218807,+977 9851229400,"
iTourNepal.com P Ltd.,"Galkopakha, Thamel,","977 1 4363643,977 1 9751015645,"
Yeti Trail Adventure Pvt. Ltd.,"Nayabazar, Kathmandu, Nepal,","97714380815,9779849491482,"
Himalayan Mentor Pvt. Ltd.,"Thamel,","00977-1-977 1 44139014414127+977 1- 4360381,00977-977 9808143648,"
Nepal Hiking Adventure Company Pvt.Ltd,"Thamel, Kathmandu, Nepal,","+977 9841683501,+977-9851087391,"
Dream Heaven Adventure Pvt. Ltd.,"Thamel,","+97714411938,97714389321,"
Boundless Adventure (p) Ltd,"Thamel, Kathmandu, Nepal,","977-1-4701884+9779851033819,977-1-9851033819,"
High Camp Adventure,"Thamel Marg, Thamel, Kathmandu,","985-1031822,985-1031822,"
Above The Himalaya Trekking (P) Ltd,"Shukra Bhawan, Thamel, Kathmandu, Nepal,","977-1-4426818+977-1- 4387109 / +977-9851095800,977-9851095800,"
Sports Tours & Travels Pvt. Ltd.,"Thamel, P.O. Box: 19503, Ktm,","00977-1-4264964,,"
MOON SUN TRAVELS AND TOURS PVT. LTD.,"Naxal,","4435194442940844269274444706,,"
Amigo Treks & Expedition,"Tredevi Marg Thamel,","+97714512014,+9779851136878,"
Nepal Kailash Trekking Pvt. Ltd.,"Yoyesworu Marg,","014365099,9851064386,"
Nepal Tours,"Lazimpat Road, Kathmandu, Nepal,","+97714002108+97715554471,9851090345,"
Mountain Monarch Adventures (P) Ltd.,"Lainchour, P.O. Box: 980, Ktm,","00977-1-4361668+977 -98510-79588,,"
Touch Kailash Travels & Tours Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","014700478014700357014700249+977 985 1092632,9851092632,"
Trekking Team Group,"Post box: 12863, Chaksibari Marg, JP School Road, Thamel,","0097714354519+977 01-4227506,,"
Archaic Nepal Adventure,"Paknajol Street, Ext. Thamel,","+977-1-4364083,,"
Eco Holidays Nepal,"Kaldhara Marg, Kathmandu, Nepal,","+977 9851136074,9813633817,"
Himalayan Recreation Treks & Expedition Pvt. ltd,"kathmandu NEPAL,","97714388009,9779851101413,"
Travel Max Guide Adventure Pvt. Ltd.,"Thamel, Kathmandu, Nepal,","+977 9843688010,+977 9843688010,"
Heaven Himalaya Treks and Expedition,"Nayabazzar, Kathmandu, Nepal ,","9815259419+977-014957403,9809443884,"
Friends Adventure Team (P.) Ltd.,"Samakhushi, P.O. Box: 21276, Ktm,","00977-1-4364838+977-9851027397,9851027397,"
High Himalayan Trekking and Expedition,"Bhagawanbahal Marga,Thamel,","+977 1 4415120,+977 98 51031394,"
Etrip Nepal (p). Ltd.,"Gairidhara, Naxal, Katmandu, Nepal,","014419437,9851182434,"
Glorious Himalaya Trekking [P]Ltd.,"Kaldhara-17,","+977 01 4365453,+977 9843760242,"
PREMIER TOURS AND TRAVELS,"NAGPOKHARI NEAR JAI NEPAL HALL,","+977-01-444335801-4437919,9849078549,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
Access The Asia Treks Pvt. Ltd,"Dhumbarahi-04,","014007555,9851214446,"
Everest Expeditions Nepal Pvt. Ltd.,"Budanilkantha-12, Kathmandu, Nepal, Kapan-1,","014820243,9841704019,"
Guided Expedition Pvt.Ltd.,"Gongabu,Nepal,","0097714361878,009779843537635,"
