Name,Address,Telephone
International Standard Icon- ISI NEPAL,"Balkumari,Kathmandu,","+977-1-5 186 186,9851117676,"
CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga,","9818320706,9818320706,"
IT Training Nepal Pvt. Ltd.,"Putalidadak, Kathmandu, Opposite to Century Commercial Bank,","977-1-4240005,9851105974,"
Slash Plus Pvt. Ltd,"kumaripati Laitpur,","015521274,,"
New A to Z Computer & Language Centre,"Bhanuchowk, JanakpurDham, Nepal,","041-527859,9844026865,"
Kasturi Sanjaal,"Annadamargha,Chitwan,","9855052636,9845520490,"
Mhuchya Technology,"Sankhamul, New Baneshwor,","01-478372001-5533268,+977 9801182170+977 9813350634+977 9843695341,"
School of Information Technologies,"Raja Janak Marg, Tinkune ,","01 4117999,9861666678,"
BIG COMPUTER INSTITUTE,"Damauli, Tanahun,","065-562580,9846776817,"
Bluefin Technologies,"Damauli Tanahun,","065-562601,9851233334,"
Infography Technologies Pvt. Ltd,"JWAGAL,LALITPUR Kathmandu,Nepal","+977 9840143772,,"
WNTIC Pvt. Ltd. Mahendranagar,"Bhimdattanagar Kanchanpur,","099523906,9741415554,"
Yala Institute of Technology,"Lagankhel,","+97715537320,5261903,"
Goodluck Glocal Pvt. Ltd,"Ikalu tower, Shankhamul, New baneshwor,","01-4786324,9818877980,"
IT Security Nepal,"New Baneshwor Opposite to Rastriya Banijya Bank Kathmandu, Nepal,","977-01-2299324/25,9851165508,"
JSP Technologies Pvt. Ltd.,"Kailalipool, Dhangadhi-1, Kailali,","091-525040,9848444740,"
Universal Institute,"Pako, Newroad,","01-4246260,9851198723,"
Yala Tech Hub,"Kumaripati, Lalitpur,","5533210,9841651811,"
Tulaja IT Solutions,"Pulchowk, Lalitpur,","01-5538013,9841841318,"
CRIT Pvt. Ltd.,"Balkhu, kathmandu,","+97714301180,9851187122,"
Earl Electronics and Technical Institute,"In front of Itahari Sub Metropolitan Municipality,","+977-9842035081,,"
Kushal Computer Training Center,"Nijgadh-9, Bara","053-540248,9845235553,"
Namaste Infosys,"Kupondole,","+977-984-903-5740,9865711117,"
UNI-TECH COMPUTER,"Birgunj ranighat -13 parsa nepal,","unknown,9845255206,"
Core Technology Solutions Pvt Ltd,"jamal,","01-4239320,,"
Divergent IT Tech,"101 Suryamukhi Marg,","1234567890,,"
Nepal Computer Institute & Training Center NCI,"Butwal-8, Milanchowk, Rupandehi,","071550257,9857025938,"
Nikhil Multi Servies Pvt. Ltd.,"Macchapokhari, Balaju, Kathmandu, Nepal 44611,","00977-1-43516576221823,00977-9841404217,"
SHUMSHER IT SERVICES,"Dillibazar Height 44600,","977-01-444447501-4436669,98511673899843383734,"
Crystal Light IT Pvt. Ltd.,"Belchowk, Narayanghat,","977-56-571410,98550514109841320388,"
It Security Nepal Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal,","0122993242299325,,"
Lapzone,"Sankhamul Marg, Baneshwor,","+977 - 1 - 4781781,9843258724,"
Web Concern Technology,"Putali sadak, Kathmandu Nepal,","00977-1-44611224491716,,"
New Nepal Computer Care,"Rupani Road,","unknown,+977-9804752133,"
RS CYBER,"kirtipur-18, town planing,","014331325,9843152515,"
Pooja Computer Institution,"Chhireshwarnath Municipality, Dhanusha,","041540092,9844311047,"
Sanguine Educational Institute,"Sinamangal-9, Kathmandu,","014486996,,"
Cyrix Computer Center,"Tribhuwan basti-1,Kanchanpur","099560222,9848745940,"
Cyrus Education,"Biratnagar-09, College Road, Nepal,","+977-9829327775,,"
MILESTONE INSTITUTE PVT. LTD.,"Bagbazar,","42299039851111943,,"
Guru Institute of Engineering & Technology,"Baneshwor,Kathmandu,","014482357,9851209564,"
JV Computer & Mobile Center,"Galkot municipality 5, Harichaur,","068411059,9867640995/6,"
Halftone Designs,"Abhiyaan Marg, Dillibazaar,","4421754,9851142573,"
Mac Support Nepal,"Kantipath,","42406524222467,,"
A4Z Academy,"Newroad,","61-522715,9827161010,"
SAMARI IT SOLUTION PVT. LTD.,"Kathmandu,","20033094215848,9851125789,"
DIANA COMPUTER INSTITUTE EDUCATION CONSULTANCY,"Sundhara,","425972423116644260504,,"
DIT SOLUTION,"Kathmandu, Nepal,","(+977) 1-426-8001,,"
ORACLE SOFTWARE INSTITUTE,"Lagankhel, Lalitpur","5532966,,"
TECHNOLOGY CONSULTANCY SERVICE PVT. LTD.,"Putalisadak,","442257344252194413040,,"
ELECTRONICS AND COMMUNICATION ENGINEERING PVT. LTD.,"Kalimati,","42794944273274,9851065050,"
Positive Mind Cyber,"Bhadrapur Road, near Sagarmatha School/Purwanchal college,","023-544574,+977-9816928955,"
R. K. TECHNICAL INSTITUTE,"Kalimati,","4274217,,"
WORLD VISION COMPUTER INSTITUTE,"Bhaktapur,","5092182,9841472610,"
INSTITUTE OF INFORMATION DEVELOPMENT PVT LTD.,"Tinkune,","4461755,,"
IT MOUNT PVT. LTD.,"Dillibazar,","2103098,,"
MICROLAND CONSULTANTS,Lalitpur,"55303735520456,,"
Nepal Data Systems Pvt. Ltd,"Bafal,","4671963,,"
SUPERPRO SOLUTION,"PAKO NEWROAD KATHMANDU ,","09808694701,09808694701,"
A TO Z EDUCATIONAL GROUP PVT. LTD.,"Bagbazar,","42406164219028,,"
GLOBAL COMPUTER EDUCATION CENTER PVT. LTD.,"Putalisadak,","44110644422547,,"
GMAN COMPUTER AND ELECTRONICS PVT. LTD.,"Nayabazar,","4358619,,"
INFORMATICS COMPUTER INSTITUTE,"Kantipath,","42556814256385,,"
MICROLAND INTERNATIONAL COMPUTERS PVT. LTD.,"Sundhara, Lalitpur","5549981,,"
Nepal IT Services,"Thapagaun Marga, Balaju Kathmandu,","unknown,,"
NICE COMPUTER AND ELECTRONICS,"Thamel,","4422192,,"
PROFESSIONAL COMPUTER INSTITUTE,"Baglung,","+97768520019,+977-9857620148,"
Radical IT Services and Educational Academy PVT. LTD.,"Damak-11, Furniture line, Aside of Kankai Bikash Bank,","023580214,98626752519851164173,"
SBS COMPUTER LANGUAGE AND HOTEL TRAINING CENTER PVT. LTD.,"Putalisadak,","42334724442481,,"
SEA GATE,"Kupandole, Lalitpur","55372315528481,,"
SILICON,"Putalisadak,","44404994436476,,"
SOFTWARE SOLUTION AND RESEARCH CENTER,"Thapathali,","4267349,,"
SOLUTIONS @NEPAL,"Lagankhel, Lalitpur","5537340,,"
UNIVERSAL LANGUAGE AND COMPUTER INSTITUTE,"Putalisadak,","44185994428486,,"
WORLD DISTRIBUTION NEPAL PVT. LTD.,"Kantipath,","424370642462344263600,,"
ZENITH COMPUTER,"New Road,","4250036,,"
INFORMATION TECHNOLOGY TRAINING INSTITUTE PVT. LTD.,"New Baneshwor,","4783490+977- 01-4242101,,"
