Name,Address,Telephone
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Professional Computer Systems (P) Ltd.,"Kupondole,","00977-1-55480825543554+977 -1-5260820,,"
CAD Nepal,"P.O. Box: 1442,Ktm,","00977-1-5525278,,"
Techmind Solution,"Babarmahal,","977-1-4102299+977 1 4102213,977-1-41022134102239,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
PIE,"Mitrapark, Chabahil,","014475239,9801820110,"
Bent Ray Technologies,"Jwagal,","00977-1-5526996+977 1526-0252,,"
Agile Solutions Pvt. Ltd.,"Nil Saraswati Marga, Gairidhara, Kathmandu, Nepal,","01-400478901-4004790,,"
Tulips Technologies Pvt. Ltd.,"Bijulibazar,","00977-1-478120901-4795677,00977-9841472917,"
e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2,","+977-1-44830884494072,9802026676,"
Hi Tech Solutions & Services Pvt. Ltd.,"Teku,","00977-1-42489934219334+977 980-3601598,,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
F1 Soft International Pvt. Ltd.,"Koteshwor, P.O. Box: 8975 EPC 2626,","00977-1-2051158+977 1 4442435,,"
Hi Tech Solutions & Services Pvt. Ltd.,"4th floor, Divine Complex Kalimati,","+977-1-5389641+977-1-5389642+977-1-5389643+977-1-5389644+977-9802017029,+977-980-3601598,"
CompuTeX IT Solution,"rambazar-10, Pension Camp way, gauri marga,","9818320706,9818320706,"
Decade International P Ltd,"Samakhushi Townplanning,","014383043,9851044707,"
Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki,","061526092,985602609298028311339802831134,"
Orangic Smart Technology Pvt. Ltd.,"Mills Area(Near of Holy Cross School), Janakpurdham,","9824890248,,"
Arun Infosys Pvt. Ltd.,"Birganj -5, Parsa, Nepal,","+9779855025175,+9779855025175,"
SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom),","+021-525285,9801005554,"
S & P Computer Pvt. Ltd.,"New Road,","00977-1-4247774,9841025776,"
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
Connepsys PVT LTD,"Gyaneshwor-30, Kathmandu, Nepal,","4425866,9851014866,"
Software Systems Nepal (P) Ltd.,"Dhapasi-9, Basundhara, Kathmandu, Nepal,","00977-1-4016768,00977-9851019998,"
Slash Plus Pvt. Ltd,"kumaripati Laitpur,","015521274,,"
Kasturi Sanjaal,"Annadamargha,Chitwan,","9855052636,9845520490,"
Prime Soft Services Pvt. Ltd.,"Milan Chowk,","9857041343,9867157330,"
Web Talents Dot Net (Pvt. Ltd.),"44622, Golfutar Height, Ward No. 8,","+97714370454,+9779840679800,"
Creative Corporation,"Putali sadak, Kamaladi Mode,","01-4428910,9808162062,"
Mhuchya Technology,"Sankhamul, New Baneshwor,","01-478372001-5533268,+977 9801182170+977 9813350634+977 9843695341,"
Phoenix Solutions,"Maitidevi,","01-4425253,9851128097,"
Sheshaya Technology Pvt. Ltd,"TInkune, Kathmandu,","9851102624,9851102624,"
Ygen Software Pvt. Ltd.,"Nayabazar Pharmacy Building, 3rd Floor, Nayabazar - 8,","9806748722,9806748722,"
BIG COMPUTER INSTITUTE,"Damauli, Tanahun,","065-562580,9846776817,"
Creative System Pvt. Ltd.,"Putali Sadak,","+977-14428910,+977-9851088939,"
MultiTechSys,"Tinkune , Kathmandu ,","01-4117917,9807777076,"
Bihani Tech Pvt. Ltd.,"Mohan Marga, New Road, Narayangarh,","977-56-571259,977-9855014140,"
Delta Tech Nepal,"Tinpaini,","9802753996,9802753996,"
Treesoftware company,"Santinagar chowck pokhara,","9856042793,9804141793,"
YarshaTech Pvt Ltd,"New Baneshwor-34,","014104226,9851202461,"
Busy(Idea infotech pvt ltd) Butwal,"Kalikanagar,(behind of shiva mandir),","071-437181,9857036188,"
Code Sastra,"O km, Pokhara,","9817156911,9817156911,"
Theme Nepal,"UN Park Lane, Jwagal, Lalitpur,","015261193,9845398624,"
Divya Tech Pvt Ltd,"3rd Floor, Signature II, Shaidshukra Marga, Teku,","9857010644,9857010644,"
"Hash-IT Solution,Nepal","Bagbazar-Balamarg -31,Kathmandu,","014241697014243810,9851197492,"
Intesol Nepal Pvt. Ltd,"Shankhamul, Kathmandu (infront of Sunrise Bank),","4784432,4784432,"
KesuApps (P.) Ltd.,"New Baneshwor, Kathmandu,","9800667744,9800667744,"
Planet Infosys P.Ltd,"Lalitpur, UN Park, Chakkuupath 22,","01-5261837 | 9818-333394,9851128029,"
Wholesale Bazaar Pvt. Ltd.,"Kathmandu,","98077770779819999099,9807777077,"
AnyTech Pvt. Ltd.,"Near Sifal Ground, Sifal,","01-4465020,9841756176,"
Arnika IT Solution,"Gwarko ,lalitpur ,","015529846,9801058219,"
BRiGHT Office Systams Pvt.Ltd,"butwal , milanchowk ,","071551318,9857030396,"
Columbus Consulting Service,"Kalika Marg,Dillibazaar-29,Kathmandu,","01-4444233,9851176431,"
FlawsomeTech Pvt. Ltd,"Nayabazar Sorakhutte Kathmandu,","984-9064513,,"
Optimum Futurist Pvt. Ltd.,"Saraswati Marga, Thapagaun New Baneshwor 1st Floor of Capital FM Building Behind Panchakumari Temple, Kathmandu 44600,","01-5245009,,"
Perfect Solutions Nepal,"Chitwan, Bharatpur-2, Narayangarh, Nepal,","985-505-4299,985-505-4299,"
Shuvham IT Solution Pvt. Ltd.,"Ghattekulo, Anamnagar,","977-1-4430125,977-9841293434,"
Softedge Nepal Pvt Ltd,"Singhadurbar East Gate, Anamnagar,","9841729323,9841729323,"
Artificial Info Tech Pvt Ltd,"kathmandu,Nepal,","014469986,9851152379,"
Dreamsys IT Solution Pvt Ltd,"Chippledhunga-08,","061537953,9806737727,"
KSoft,"Baluwatar,","9802000592+977 -1442-5513,9808362580,"
NETSUITE INT'L SOFTWARE SOLUTION PVT. LTD.,"NEWBANESHWOR,","01-4620878,9841607510,"
SM Tech,"Suryabinayak - 6,","+977 9847086839,,"
SoftwaRise Information technologies,"AAdarsha,","01-6618567,9843033958,"
Soft Cherry Pvt. Ltd.,"Koteshwor,","9860922678,9860922678,"
Yashri Soft Pvt. Ltd,"Thamel, Kathmandu,","9851214726,9851214726,"
Asterix Solution Pvt. Ltd.,"Imadole, Kist Hospital Road,","016204196,9810111100,"
Crystal Software & Web Development (P) Ltd,"Birtamode-7, Jhapa, Nepal,","+977-23-542659,,"
Crystal Softworks,"Banepa-8, Tindobato,","9843567346,,"
Fact Nepal Pvt. Ltd.,"Sanepa Lalitpur PO Box 573,","+977-1-5552788,,"
GIB,"Street-01,","9864832233,,"
Nectar Digit Pvt. Ltd.,"Sundhara, Kathmandu, Nepal,","015904030,9864478901,"
One Zero Software Pvt. Ltd.,"ShankarNagar-5, Tilotamma, Rupandehi,","9867118072,9814477864,"
Quality Computer Birtamode,"Birtamode Jhapa,","+977-9863609150,,"
Sofsee Tech Pvt Ltd,"Street-01, Freeline ,","9847147197,9848730330,"
Wishers Tech,"Gwarko,","984-9115858,,"
Coral Cliff Solutions,"New Baneswor - 31,","9841566384,,"
Geeky Nepal,"Pipra,","9845450319,,"
Goreto Software,"Lakeside Road,","9806700849,,"
Planet Earth Solution P. Ltd.,"Satdobato,","00977-1-5553115,9851053611,"
Softweb Nepal PVT.LTD,"Dhangadhi Kailali Nepal,","984875331398017026119848467762,984875331398017026119848467762,"
Sursa Technology,"Budhanagar,","9851242495,,"
Thecoffeecoders,"COHED Road,","9817059822,,"
Tree Technology Pvt Ltd,"Dillibazaar,","01-4443941,9851176431,"
Crystal Light IT Pvt. Ltd.,"Belchowk, Narayanghat,","977-56-571410,98550514109841320388,"
Ductile Labs,"sanobharyang, swyambhu,","9801134052,9801134052,"
Dynavativ Pvt. Ltd.,"65, Indrayani Marg, Gyaneshwor,","4420122,9851154105,"
Ingenious Solution,"Mahendra Pool,","97761535661,9779856022270,"
It Security Nepal Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal,","0122993242299325,,"
Mohrain Technologies (P) Ltd.,"Naya Bazzar,","091-524243,9848420288,"
PRADHAN MOBILE HOUSE,"URLABARI-CHOWK, MORANG,","021541992,+9779842091382,"
Smart Tech Solution Pvt. Ltd.,"246/10 Ambika Marga, Old Baneshwor,","44812622297993,,"
Web Concern Technology,"Putali sadak, Kathmandu Nepal,","00977-1-44611224491716,,"
Creation Soft Nepal Pvt. Ltd.,"P.O.Box: 8835, Gairidhara,","+977 1 4350572,,"
DREAMS | Double Ray Engineering And Multi Service,"Maitripath,","unknown,+977 9815444817,"
IOSYS Computer Center Gulmi,"Resunga Municipality-1, Tamghas, Campus Road,","+97779520545,,"
New Nepal Computer Care,"Rupani Road,","unknown,+977-9804752133,"
Raise Tech Pvt.Ltd,"Bhakti Thapa Sadak, Thapagaun,Kathmandu,","9801856670,,"
RS CYBER,"kirtipur-18, town planing,","014331325,9843152515,"
ACServices,"Birendranagar-6, Buddhapath, Surkhet,","+97783522458,9851218130,"
Dipesh Infosys,"Dhangadhi-4 mainroad,","091-521810,9851168979,"
SHREE NAWDURGA SUPPLIERS,"Mishra market, Shib Chowk, Janakpurdham,","041590042,98443119139807807261,"
DreamPC,"Putalisadak,","4231434,9841222634,"
Miracle Infocom pvt. Ltd.,"Anamnagar,","00977-1-4251515,,"
Multimedia Computer,"Ranighat-12, Birgunj,","9845257460,9809138772,"
PROFESSIONAL COMPUTER SYSTEM PVT.LTD.,"Kupandole, Lalitpur,","526082052616315261645,,"
Cosmos Info Tech Pvt Ltd,"Thamel (Infornt of Saraswati Multiple College),","00977-1-9841068901,00977-9804262387,"
Softgriha Solutions Pvt Ltd,"Kupondole,","012298088,9851168422,"
SAMARI IT SOLUTION PVT. LTD.,"Kathmandu,","20033094215848,9851125789,"
Arihant Solutions,"Kamalpokhari,","00977-1-44364584436459,,"
Centerpoint Network Pvt. Ltd.,"Baluwatar, P.O. Box: 24264, Ktm,","00977-1-20815054421739,,"
C. S. T. C. Pvt. Ltd.,"Lazimpat,","00977-1-44188164418970,,"
MiDas Technologies Pvt. Ltd.,"Thapathali, P.O. Box: 5749, Ktm,","00977-1-42459194245325,,"
Navigator Solutions,"Naxal, Bhagawati Bahal,","00977-1-44188164418970,,"
Nepal KC Consulting Pvt. Ltd.,"Bansbari, P.O. Box: 25925, Ktm,","00977-1-43749344650350,,"
Softpack Consult (P.) Ltd.,"Teku, P.O. Box: 4981, Ktm,","00977-1-0169132084254724,,"
SOFTPACK CONSULT PVT. LTD.,"Teku,","4254724,,"
SPEEDWEB SOLUTIONS PVT. LTD.,"Jawalakhel, Lalitpur","5551159,,"
TECHNOLOGY CONSULTANCY SERVICE PVT. LTD.,"Putalisadak,","442257344252194413040,,"
Unisoft Solutions (P.) Ltd.,"Thamel,","44264634424296,,"
Cafe De Web Pvt. Ltd,"Dillibazar,","00977-1-44246534815781,00977-98494691449849500586,"
Click Software Solution,"Dependra Chowk,","056-530393,9855056054,"
Cosys Cooperative Management System,"Bagh Durbar,","00977-1-4243466,00977-9849466781,"
C-Tronix Pvt. Ltd.,"Babarmahal, P.O. Box: 21996, Ktm,","00977-1-6923139,,"
Positive Mind Cyber,"Bhadrapur Road, near Sagarmatha School/Purwanchal college,","023-544574,+977-9816928955,"
Simply Software Technology Pvt. Ltd.,"Dillibazar, Kathmandu,","9801048100,9851048100,"
Super Brain Web Technology,"New Baneshwor,","00977-1-4498485,9843354301,"
XclusiveMINDS Pvt Ltd,"Gautam Buddha Mark, Anamnagar,","+977-1-4262682,+977-9801054321,"
Abacus Nepal NMC,"119 Udaya Sadan,Newplaza Marg, Putalisadak,","44220344422012,9851030147,"
Alchemy Digital Media Group Pvt. Ltd.,"Dhumbarahi,","00977-1-4426523,,"
Caps Techno Soft Pvt. Ltd.,"Satdobato,","00977-1-5539966,00977-9724154892,"
Codemandu Software Pvt. Ltd.,"Lazimpat,","00977-1-4435114,,"
Creatives Idea,"Balaju Chowk,","00977-1-9851088939,,"
Developer Union,"Gayneshwor,","00977-1-9808394709,,"
Discovery E-biz,"Nayabazar,","00977-1-010691618,00977-9841805657,"
Elephus IT Solution,unknown,"00977-1-4334075,,"
Explore Asia Pacific P.Ltd,"Prasuti Marg,","00977-1-4267621,00977-9809018493,"
GAJUR PVT. LTD.,"Putalisadak,","4246978,,"
HIGHLIGHTS NEPAL,"Kathmandu,","44412049841888334,,"
Himalayan Shangrila Trading Pvt. Ltd.,"Tripureshwor, P.O. Box: 11964, Ktm,","00977-1-4253963,,"
HIMALAYAN SANGRILA PVT. LTD.,"Tripureshwor,","426964520932034254773,,"
HimalayanTechies Pvt. Ltd.,"Babar Mahal,","unknown,+977 9868834369,"
Imindz,"P.O. Box: 8975 EPC 1708,","00977-1-4269617,,"
IMS-Himalayan Shangrila Trading P. Ltd.,unknown,"00977-1-42696452093203,,"
IT MOUNT PVT. LTD.,"Dillibazar,","2103098,,"
ITWEB DEVELOPER ENTERPRISES,"Putalisadak,","44279202003722,,"
Kulfi Software Services,"Prashanna Apartments, Near Consulate General Of India,","+977-51-691468,,"
Nepal Data Systems Pvt. Ltd,"Bafal,","4671963,,"
Oxpan Microsys,"Sangam Chowk, Naya Baneshwor, Kathmandu-34,","015905286,980190657398019065729801906571,"
ProFingers Private Limited,"New Baneshwor,","00977-1-20436304781675,,"
Sagar International Computech,"Kuleshwor,","00977-1-427951442795159851064354,00977-9851038583,"
SAJHA COMPUTER,"PF28+M9H,","+977-71-543893,,"
Smart Tech Ideas,"Anamnagar,","00977-1-4253362,,"
Softnep Pvt. Ltd.,"Minbhawan,","00977-1-4460434,,"
Softwarica,"Putalisadak,","00977-1-42385514229591,,"
Speedweb Computers and Software Developers,"Manbhawan,","00977-1-5551159,,"
UBA Solutions,"Sanepa, Lalitpur, P.O. Box: 776,","00977-1-5533903,,"
Xclusive Minds Pvt. Ltd.,"Anamnagar, P.O. Box: 8973 NPC 447,","00977-1-4262682,,"
Yew IT Solution,"Chyamhasinga,","00977-1-6619719,,"
Zerone technology,"Nadipur-3, Pokhara (Kanya Campus gate),","061-538098,98465538599846263785,"
Agile Media,"GPO: 8973 NPC 801, Chabahil,","2220223,,"
BAR CODE NEPAL INC. PVT. LTD.,"Anamnagar,","42200834262267,,"
CHANNEL INTERNATIONAL PVT. LTD.,"Pulchowk, Lalitpur","55516725551673-74,,"
Compro International,"GPO: 8853, Ktm, Durbar Marg,","423071242275084219462,,"
CYBER INTERNATIONAL PVT. LTD.,"New Road,","42405814269893,,"
Dharan Municipality Office,"Dharan Municipality OfficeChataraline, Dharan 12Sunsari, Koshi, Nepal,","025-520407520636520109,,"
Focusone Nepal (P) Ltd.,"Ekantakuna, P.O. Box: 20422, ktm,","00977-1-5546244,,"
Harati Computer Services Pvt. Ltd.,"Kantipath,","42606224218345,,"
Hitech Solutions & Services,"Teku,","42489934219334,,"
Infoware Nepal Pvt. Ltd.,"Naxal,","00977-1-44442514444252,,"
iWay Nepal Pvt. Ltd.,"Putalisadak, P.O. Box: 569, Ktm,","00977-1-4417806,,"
Laser Infotech P. Ltd.,"Sainbu-Bhaisepati, Lalitpur, P.O. Box: Pobox 21158,","00977-1-+977 1 5592101,,"
Mandala System (P) Ltd.,"Ramshah Path, P.O. Box: 10626, Ktm,","00977-1-42289684227614,,"
MANOSMA SOFTWARE PVT. LTD.,"Anamnagar,","4436767,,"
Medipro Computers Pvt. Ltd.,"Bagdurbar, P.O. Box: 4042, Ktm,","00977-1-4246974,,"
Micro Banker Nepal Pvt. Ltd.,"Naya Bazar, P.O. Box: 3235, Ktm,","00977-1-435864743619572090281,,"
Microtech Computers,"GPO: 610, Ktm, Sundhara,","424754142480544246201,,"
MICROTECH INTERNATIONAL PVT. LTD.,"Sundhara,","42475414248054,,"
Midas Technologies Company P. Ltd.,"GPO: 5749, Ktm, Minbhawan,","44772354477236,,"
MULTI SOFTWARE PVT. LTD.,"Kupandole, Lalitpur","55250765529304,,"
Nepal Network Information Center,"Kupondole, P.O. Box: 4832, Ktm,","00977-1-55503375011535,,"
NETPLUS TECHNOLOGY NEPAL,"New Baneshwor,","47848004784801,,"
NICE COMPUTER AND ELECTRONICS,"Thamel,","4422192,,"
P AND G TECHNOLOGY PVT. LTD.,"Maharajgunj,","4720332,,"
Penumbra Pvt. Ltd.,"GPO: 907, Ktm, Bishal Nagar,","44138952080000,,"
P&G Technology,"Maharajgunj,","00977-1-4720332,,"
Prime Research N' Training Center,"Naya Bazar, P.O. Box: 9809, Ktm,","00977-1-43601804360182,,"
Radical IT Services and Educational Academy PVT. LTD.,"Damak-11, Furniture line, Aside of Kankai Bikash Bank,","023580214,98626752519851164173,"
SBS The E-Media Trading,"Tebahal,","00977-1-4244353,,"
Sustainable Solutions Pvt. Ltd.,"Pulchowk, P.O. Box: 8975 EPC 355,","00977-1-5548021,,"
Sys-Tec Consultants Pvt. Ltd.,"Jyatha, P.O. Box: 10963, Ktm,","00977-1-4249937,,"
System Frontiers (P.) Ltd.,"Kalikasthan,","00977-1-6911103,,"
Tailons Infosys,"Nayabazar,","4358578,,"
Value One Nepal,"Heritage Plaza, P.O. Box: 19329, Ktm,","00977-1-4232315,,"
WORLD DISTRIBUTION NEPAL PVT. LTD.,"Kantipath,","424370642462344263600,,"
Yomari Incorporated Pvt. Ltd.,"Ekantakuna, P.O. Box: 21295, Ktm,","00977-1-500011150001235000290,,"
YOMARI,"Ekantakuna, Lalitpur","21130005000290,,"
Best Hosting Nepal,"New Road,","00977-1-4230812,00977-9841892052,"
Busy Education & IT Consultancy Pvt.Ltd,"Putalisadak, P.O. Box: 21914, Ktm,","00977-1-014223957,00977-9851125905,"
Corporate Support System Pvt. Ltd.,"Minbhawan,","00977-1-4620412,00977-9851118597,"
Digitech Solutions Pvt. Ltd.,"New Road,","00977-1-4230812,00977-9841892052,"
GrowLink Pvt. Ltd.,"Nakkhu,","00977-1-5015291,00977-9849035634,"
HITECH SOLUTIONS AND SERVICES PVT. LTD.,"Teku,","42489934219334+977 980-3601598,,"
INFORMATION TECHNOLOGY TRAINING INSTITUTE PVT. LTD.,"New Baneshwor,","4783490+977- 01-4242101,,"
Macrotech Solution Pvt.Ltd,"Mahendrapool,","9856029490,9846178201,"
netSuite International Software Solution,"Putalisadak,","00977-1-4413213,00977-9841607510,"
SEO Service Nepal,"Chabahil,","00977-1-4460716,00977-9841922462,"
Supreme IT Solutions Pvt. Ltd.,"Putalisadak, P.O. Box: 10029, Ktm,","00977-1-4430872,00977-9841614319,"
Time Infotech,"Bagbaazar, P.O. Box: 3058,","00977-1-01-42400824239156,00977-9851009944,"
ANDROID,"Chabahil,","4485411,,"
Binod Singh (Tally Guru),"Hanuman Das Road,","9842031192,,"
Codes Tech Pvt. Ltd.,"Battisputali,","4488639,,"
CODD,"New Baneshwor,","47829414781200,,"
College of Biomedical engineering and applied sciences,"Panche-Dhara, Ganesh Sthan Bishalnagar, Nepal GPO BOX No. 12521 Tel: 977-1-4437822, 4441467,","4227226,,"
COMPUTER LINKS,"Bagbazar,","4220696,,"
CREATIVE MINDS,"Kathmandu,","4427149,,"
CS Infotech (P) Ltd.,"Jamal,","00977-1-422916921812289851002151,,"
Cyber Planet Pvt. Ltd.,"Chhetrapati,","00977-1-42591459803044944,,"
DEVELOPERS GROUP PVT. LTD.,"Naxal,","4412043,,"
Easy Software Pvt. Ltd.,"Kalimati,","00977-1-01621750622002169851073301,,"
Ecosoft Pvt. Ltd.,"Maitidevi,","00977-1-20813924420833,,"
EDU.COM,"Sundhara,","42688804268684,,"
Extreme Websoft,"Nil Sirish Marg, Bhimsengola,","00977-1-2296102,,"
Financial Software Technology (Nepal) Pvt. Ltd.,"Putalisadak,","00977-1-44287964438279,,"
Game Zone,"Bhotahiti,","00977-1-4266005+977 981-8864281,,"
GAPS Technologies,"Tinkune,","4485567,,"
Hi Tech Solutions & Services,"Teku,","42489934219334,,"
IC INFO TIMES,"Maharajgunj,","44152344427161,,"
Imagine Technology Pvt. Ltd.,"Putalisadak,","00977-1-42409884245123,,"
I NET TECHNOLOGIES,"Sitapaila,","42889292022220,,"
Info Developers Pvt. Ltd.,"Teku, P.O. Box: 5552, Ktm,","00977-1-4242695,,"
InfoTimes Tecnologies,"Maharajgunj,","00977-1-44271614415234,,"
I Pixel Computer System,"Pulchowk,","5553690,,"
Knowledge Synergy Pvt. Ltd.,"Kalimati,","00977-1-42740039851101941,,"
LALITPUR COMPUTER CENTRE PVT. LTD.,"Jawalakhel, Lalitpur","55216575547287,,"
Leica Geosystem GIS & Mapping,"Bhatbhateni,","00977-1-441606344213169851030259,,"
LOYAL COMUPTERS,"New Road,","42243464220469,,"
MicroBanker Nepal Pvt. Ltd.,"New Baneshwor,","00977-1-43586474361957,,"
Mile-Stone System Pvt. Ltd.,"Putalisadak, P.O. Box: 23307, Ktm,","00977-1-44453554428379,,"
MILESTONE SOFTWARE PVT. LTD.,"Putalisadak,","4445335,,"
Nepal Data Systems,"Bafal,","00977-1-4671963,,"
Newa Soft Technology,"Basantapur,","00977-1-9841234321,,"
NEW GENERATION ICT LEARNING CENTER,"Kalimati,","4273455,,"
Nyatapol Technologies Pvt. Ltd.,"Thapathali,","00977-1-424111342562394265992,,"
NYTAPOL TECHNOLOGIES PVT. LTD.,"Babarmahal,","4228432,,"
PALM INFO TECH PVT. LTD.,"New Baneshwor,","016913450,,"
Pay Nepal Pvt. Ltd.,"Kamalpokhari, P.O. Box: 8973 NPC 801,","00977-1-23143174425675,,"
PLANET EARTH SOLUTIONS,"Tinkune,","44870874460933,,"
Princeton Infosys P. Ltd.,"GPO Box No. 20649 Kathmandu, NepalJawalakhel, Lalitpur,","5526132,,"
RADIANT INFOTECH NEPAL PVT. LTD.,"Kamaladi,","44457654424311,,"
Sagar International TechnoSys Pvt. Ltd.,"Putalisadak,","00977-1-20024004241561,,"
Sahayogi Professionals Pvt.Ltd,"Teku,","00977-1-42603572005501,,"
SCHEMA TECHNOLOGY PVT. LTD.,"New Baneshwor,","4780884,,"
Shangrila Softwares,"Sinamangal,","00977-1-44117795,,"
SIMRIK SOLUTIONS PVT. LTD.,"Kantipath,","4218981,,"
Smart Network Pvt.Ltd,"Bhanimandal, Lalitpur,","00977-1-5537110,,"
Soft Fusion,"Nayabazar, Khushibu,","00977-1-4360640,,"
SOFTWARE TECHNOLOGY GROUP INT,"Kantipath,","42613484260149,,"
SPECTRA IT SYSTEM PVT. LTD.,"Jawalakhel, Lalitpur","55252925525482,,"
Support Nepal (P.) Ltd.,"GPO: 12275, Ktm, Battisputali,","44920899851060975,,"
SUSTANABLE SOLUTION PVT.LTD.,"Lalitpur, Lalitpur","5548021,,"
Swastik IT Company (P) Ltd.,"Kuleshwor,","00977-1-4272957,,"
Talons Infosys,"Nayabazar,","00977-1-4358578,,"
Techno Track (P) Ltd.,"Putalisadak,","00977-1-4413213,,"
TECHMINDS COMMUNICATION PVT. LTD.,"Chitwan,","522222,,"
The Young Software Pvt. Ltd.,"Sinamangal,","00977-1-44677944496198,,"
Trobus Technologies,"New Baneshwor,","00977-1-4352615,,"
Unicorn Soft Pvt. Ltd.,"Old Baneshwor, P.O. Box: 23608, Ktm,","00977-1-2100422,,"
WebHosting Nepal Pvt Ltd,"Lazimpat, Nepal,","977 9851001068,,"
Yaba Enterprise Pvt. Ltd,"GPO Box: 11257Sanu Mishra, Chabahil-7,","4495722,,"
Young Minds Web Design Nepal,"Prayag Marg, Shanti Nagar, PO: 23805,","+977 1691 3850,,"
Zoby Software (P.) Ltd.,"New Road, P.O. Box: 6566, Ktm,","00977-1-42275329851073868,,"
Zoby Software Pvt. Ltd.,"GPO: 6566, Ktm, New Road,","4227532,,"
Opus Solutions & Services Pvt. Ltd.,"Talchikhel, Llalitpur,","01-5540407,98416505839849518969,"
Pragma World Systems,"Newroad,","unknown,,"
Unique Cyber,"Janakpur Hospital Road,","+977-41526004,9844023247,"
Access Nepal (P) Ltd.,"Dhobidhara, P.O. Box: 9640, Ktm,","00977-1-44180614417710,,"
CAESIM SOFTWARE SOLUTION,"Minbhawan,","4498669,,"
COMPUTER ADVANCE SYSTEM TRADING HOUSE PVT. LTD.,"Ramshah Path,","4232310,,"
Cosmic Computer Systems (P) Ltd.,"Chabahil, P.O. Box: 5052, Ktm,","00977-1-4461720,,"
Creative Soft Tech,"New Road,","4232201,,"
E Trust System,"GPO: 11128, Ktm, Kamaladi,","42427354242773,,"
Exactlly Accounting Software,"Teku,","00977-1-421960442196139851038583,,"
GENERATION 5 COMPUTERS,"Gyaneshwor,","4425504,,"
INFORMATION TECHNOLOGY AND TELECOM INTERNATIONAL,"Kathmandu,","4439987,,"
ipixel Computer System,"Pulchowk,","5553690,,"
IT AND IT TRADING CONCERN,"Pako, New Road,","4228727,,"
Kathmandu Software development Center Pvt. Ltd.,"Pulchowk, P.O. Box: 5737, Ktm,","00977-1-5534164,,"
MAC GALLERY,unknown,"42206954224919,,"
Mandala Software Pvt. Ltd.,"Kathmandu Plaza, P.O. Box: 10626, Ktm,","00977-1-424155042408814241664,,"
MIPS PVT. LTD.,"Bagbazar,","42222774256321,,"
NEW CENTURY COMPUTER POINT,"Chaarbahini Road,","522890521111,,"
Purbey Software (P) Ltd.,"Chabahil,","00977-1-481158148120429851016455,,"
Riddhi Siddhi Traders,unknown,"522782,,"
SINGH INSTITUTE OF TECHNOLOGY,"Kantipath,","4243971,,"
Softech Infosys Pvt. Ltd.,"Putalisadak, P.O. Box: 19406, Ktm,","00977-1-444296244219624442256,,"
Technology Consultancy Services (P) Ltd.,"Kalikasthan, P.O. Box: 13288, Ktm,","00977-1-44130404422573,,"
URGN ICT Solution (P) Ltd.,"Balkhu,","00977-1-42795524273852,,"
Call Centre,"Belchowk,","9845271213,9803971784,"
Deep Softwares,"Bagbazar,","00977-1-9847292542,00977-9817416987,"
Premium IT Solutions Pvt Ltd,"Patan Dhoka, Lalitpur, Nepal,","+977 1 5527874,,"
Account and Inventory Management Systems (POS - Point of Sales),"Maharajgunj,","00977-1-9841688215,,"
Agni Infocom Nepal Pvt. Ltd.,"Putalisadak,","00977-1-44383482004366,,"
APPLIED INNOVATION PVT. LTD.,"Pulchowk, Lalitpur","5010741,,"
