Name,Address,Telephone
Volunteers Initiative Nepal,"Saibaba Marga, Balaju,","00977-1-4362560,,"
PG House and Hostel,"lazimpat, kathmandu,","9803093052,9828782152,"
EVEREST U C MAS,"Kumaripati, Lalitpur","55544005554300,,"
BANEPA HIKARI KINDERGARTEN,"Kavre,","664580,,"
CHILD DEVELOPMENT ACADEMY,"Kirtipur,","4330932,,"
New Spring Kindergarten,"Rabi Bhawan,","977-1-4270337,,"
Himalayan Sherpa School,"Chabahil,","977-1-4478484977-1-4478214,,"
Aike Vidhyaashram,"Sinamagal,","977-1-4412942,,"
Bdhaspati Pre-primary School,"Thapathali,","977-1-4246306,,"
CHERUBS THE CHILDREN,"Mahalaxmi Sthan, Lalitpur","5535879,,"
FIRST STEP CHILD CARE AND PRE-SCHOOL,"Pulchowk, Lalitpur","5524703,,"
KANGAROO KIDS CHILD CARE AND PRE PRIMARY SCHOOL,"Old Baneshwor,","4480308,,"
Kids Home Daycare,"Kalimati,","977-1-4270698,,"
KINDER KINGDOM,"Galfotar,","4371193,,"
LOVELY HOME CHILD CARE AND KINDER GARTEN,"Jawalakhel, Lalitpur","5520225,,"
Montessori Child Care Center,"Thapathali,","977-1-4261519,,"
MONTESSORI DISNEYLAND,"Sukha Nagar, Butwal/Bhairahawa","548436,,"
Play Pen Academy,unknown,"977-1-4261519,,"
