Name,Address,Telephone
Folliderm Hair Transplant Clinic,"Baluwatar,","01-4443443985-1110443,9851110443,"
J&J Beauty Hub,"chabahil,","+9779860134633,,"
Pushpa's Beauty Parlour & Training Institute,"Chabahil,","00977-1-4489317,,"
Lavish,"Durbarmarg, opp to mercantile ,","01-4442030,9808018075,"
Butwal Beauty Academy & Makeup Studio,"Butwal-11, Devinagar, Janajagaran path,","9817520565,9841526761,"
Barahi Beauty Salon,"13th Street, Barahi Path, Pokhara-6, Lakeside,","97761464260,,"
Janaki Homestore,"Lekhnath Marg 77, Sarouchiya,","9802809000021516055021511931,9802809000,"
"Spalon Unisex Salon,Spa & Makeup Studio","Dilliraman Marg, Lazimpat,","014413913,9801100077,"
Om healing spa,"sanepa, lalitpur","015521454,9843082610,"
Chaitanya Health & Wellness,"Bakhundole,","+977-1-5447774+977-1-5447971,+977-9851123301+977-9801132922,"
Himalayanadventureintl,"Budhanilkantha,","9803526139,9803526139,"
KRIPAZ BEAUTY PARLOR,"Dhobighat, Lalitpur (Near Sunrise Tower),","98420-78512,98420-78512,"
Massage Therapy Service,"Lalitpur, Nepal,","9803147804,9803147804,"
Real Therapy and Beauty Point,"Samjhana Street,Thamel, Kathmandu 44600,","9801166651,9801166651,"
DÌ COSMO NEPAL,"Kumaripati ,","015555648,9803887087,"
Patanjali Ayurveda Kendra Pvt. Ltd.,"Ring Road, Nagarjun,","+977-1-5970104+977-1-4674666+977-1-4674777,,"
Sparkle Beauty Parlour Cosmetics Pokhara,"Prithivi chowk Naghdhungha - 9, Near Muktinath Bikash Bank, Opposite Himalyan petrol pump Pokhara Nepal 33700,","9805895577,9805895577,"
Dr. Thasineku Sumana,"New Baneshwor, Kathmandu,","00977-9841491813,00977-984311202800977-9841491813,"
Gazzab-Co Tea And Herbal Industry,"new baneshwor,","9841559628,9841559828,"
Ratna Furniture,"Kharahani, Parsa,","9855066538,9845083328,"
Ratna Furniture,"Khairahani, Parsa, Chitwan","unknown,+977-9855066538+977-9845083328,"
The Real Therapy & Beauty Point,"Thamel,","00977-1-470060347003694700992,00977-9851089169,"
HABIBS HAIR AND BEAUTY SALON,"Kamaladi,","42404312004045,,"
Welcome Inter-Treatment Service Center Pvt. Ltd.,"Thamel, P.O. Box: 12575, Ktm,","00977-1-470060321902744215851,,"
Dabur Nepal Pvt. Ltd.,"Madan Bhandari Rd,","+977-1-2054530,,"
DOLLY,"Kamaladi,","44450804445082,,"
Femine Beauty Home and Training Center,"Adarshnagar Main road beside Makhan bhog,","+977-51-530583,+977-9806828841,"
Laxmee Hair & Beauty Studio and Academy,"Chandol,","00977-1-2080148,00977-9841320998,"
Easy Cuts Hair & Beauty,"Chandol: 9818178447, Chabahil: 9818178448, Gyaneshwor: 9818178451, Golfutar: 9818178452,","Chandol: 9818178447Chabahil: 9818178448Gyaneshwor: 9818178451Golfutar: 9818178452,,"
RHUBARB BEAUTY SALOON AND ACADEMY,"Koteshwor,","014601637,9801065880,"
Avanish Tradelink Pvt. Ltd.,"Kamladi, P.O. Box: P.O. Box 2862, Ktm,","00977-1-42233424224252,,"
human rights education radio listeners club-national committee,"kathmandu - nepal,","278770,,"
Shahnaz Husain Herbal Skin Care & Hair Care Woman's Salon,"GPO: 8975 EPC 1034, Kupondole,","55206295526703,,"
Alternative Healing Center,"Thamel,","00977-1-47003189851027013,00977-9741038881,"
Beauty Spa,"Manbhawan,","00977-1-2239862,00977-9849640888,"
Iris Hair & Beauty Care Saloon,"Pulchowk,","00977-1-5009089,00977-9849055367,"
Rhubarb Beauty Saloon & Academy,"Koteshwor, Ktm,","00977-1-4601637,9801065880,"
A One International,"Dhumbarahi,","00977-1-98510270134375091,,"
A One International Beauty Parlour Talim Kendra,"Dhumbarahi,","98510270134375091,,"
Green Hearts Therapy Center,"Thamel,","00977-1-9841233342,,"
Image Beauty & Hair Saloon,"Thamel, P.O. Box: 13561, Ktm,","00977-1-4255441,,"
Serenity Spa Treatment Centre,"Paknajol,","00977-1-47002489841442343,,"
