Name,Address,Telephone
Eco Cell Industries,"Banepa, Kavre,","9841907186,98410065549841622325,"
PANCHAKANYA STEEL PVT.LTD.,"Krishnagalli, Lalitpur,","552655155482355526357,,"
Hulas Wire Industries (P) Ltd.,"Ganabahal, P.O. Box: 363, Ktm,","00977-1-4250001+977-21-420117,,"
GOMATI SANITARY,"#28, Sungava Marg, Bhotebahal, Kathmandu.,","+97714100020,+9779801101350,"
Sutra Construction & Designers(Prefab)P.ltd,"Tinkune Gairigaon,Gauri Marg; Kathmandu Nepal,","01-6924123,9851188409985124840998498254099748936524,"
Nepal Construction Mart,"Kupondole, Lalitpur,","015180320,9801188110,"
Rajshree Emporium p.ltd.,"satungal,","015108055,98434639119851100668,"
G.A Builders (P.) Ltd. (Former G.A. Smart Housing),"Lamingtan Marg, Kathmandu 44600,","+977-1-4537766,,"
Jay Traders & Hardwares,"Jay Traders & Hardwares, Surkhet Road, Nepalgunj, opp. Gulm, near Pushpalal Chowk,","+977-081-533002+977-081-533003,9858020016981953255198124185739858033650,"
Medha Builders Pvt.Ltd,"kathmandu , Nepal, sankhumul,","0144786657,9851148723 / 9803545818,"
Future Works Building Solutions Pvt. Ltd.,"Norkhang complex, 6th Floor, Jawalakhel,","9813390252,,"
PCT,"Swayambhu, Kathmandu,","9818952881,9818952881,"
Pumori Engineering Services Pvt. Ltd.,"Basanta Marg-351, Babarmahal, KMC-11, Kathmandu,","00977-1-4216034/42399839851104112,00977-98511096179851006427,"
Kshamadevi Building Material Pvt Ltd,"Kaushaltar bHAKTAPUR,","9841309009,9841309009,"
ECOTECH BUILDING SYSTEMS PVT. LTD.,"Satdobato, Lalitpur,","+977 1-5151224+977 9851216229,,"
Sutra Construction Pvt. Ltd.,"New Baneshwor, Way to Thapa Gau,","016925009,9851195379,"
Amatya Tar Jali and Steel Fabricator,"P8RJ+F9W, Chakrapath,","+977-1-4387227,+977 9851090155+977 9801090155,"
JK WHITE CEMENT WORKS,"Kathmandu,","9851282103,00977-9851282103,"
Redata pvt.ltd,"Chhetrapati,kathmandu,","014249371,9803290184,"
Artex Pvt Ltd,"tripureshwor,","97714218274,,"
Glass Guard,"K-3/78 Budhnagar, New Baneshwor,","+977-1-5902536+977-1-4780022,+977-980-8976094,"
HImalayan Prefab Pvt. Ltd.,"Lakhepati Marg, Dhumbarahi,","+977-1-4432038+977-1-4425039,+977-9801277780,"
J. J. MARBLE HOUSE,"Samakhushi,","4353017,9802034434,"
Nepal Mirror Glass Udhyog,"Satungal,","01-51080555108026,9851100668,"
DELIGHT M. And E. PVT. LTD.,"Tokha-6, kathmandu,","01-4351396,9861319649,"
Garg Enterprises,"Itharai-6, Opposite Royal Enfield ,","98027002649843147057,9805363489,"
Gorkha Precast and Windor,"Jhaukhel, Changunarayan-Bhaktapur,","01-6201626,9801820162,"
Mastermind Engineering Consultancy,"Yeti Plaza,Bagbazar,","00977-1-4248199,+977-9851127076+977-9841469226,"
NEW KALPANA TRADERS,"dallu kathmandu,","015007571,9841917909,"
Triveni Group,"8th Floor, Triveni Complex, 1951 Ramshah Path,","+977-1-4224074+977-1-4224589,,"
Jaya Bageshwari Cements Pvt Ltd,"Belaspur,","977-81-522209,,"
Nepali Homework,"New Bansehwor, Kathmandu, Nepal,","9800088332,9800088332,"
Nepal Marble & Sanitation Pvt.Ltd,"Airport Road,Tinkune,Next to royal events. Near TNT Building,","+977-1-4112087+977-1-4112249,+977 986-1333779,"
Panchakanya Group,"Krishnagalli, Lalitpur,","5526551,,"
Chandrama Suppliers,"Damak-8, Backside of JANATA Bank,","9814065998,9862754174,"
Ghorahi Cement Industry,"Bagmati,","+977-1-5111147,,"
Janaki Fly Ash Brick Industries,"Sindhuli Bhittamod Rajmarg, Sinurjoda 45600,","unknown,+977-980-8213649,"
The Carpenter Hardware Center,"Gyaneshwor,","4420522,9851029699,"
Gorkhaliko supplier,"balaju,chamati,","9841369978,9841369978,"
RIDDHI SIDDHI HARDWARE,"Bhotaybahal ,teku . ,","01-4267547,98042812529845234308,"
Shree bajra barahi itta udhyog,"Chapagaun; depo:nakhipot,","9851038053,,"
Yala Dhoka Enterprises,"Jwagal, Lalitpur,","01-5556033,+977-9841860635,"
Amatya Business Concern,"Thankot,","00977-1-4311096,00977-9841200912,"
Ashok Polymers,"4, Shreenathji Estate, Near G.V.M.M., B/h Devbhumi Estate, Kathvada (Odhav), Ahmedabad â 382430","079 29292148,09979873867,"
Dewa Traders Pvt. Ltd,"Jadibuti, Pepsicola Road,","9849668970,9808599481,"
NEPAL GLASS UDYOG,"Ganeshman Singh Rd,","+977 1-4314991+977 1-4276266,,"
N. L. HARDWARE AND GLASS CENTRE,"Mahalaxmi Sthan, Lalitpur,","5537066,+9779849199647,"
Rajesh Hardwares,"2nd Floor, Bagmati Chambers, Teku, Tipureshwor,","01-4100152/4100153,9849208116,"
SKM Suppliers,"Medical Chowk , Khusibu,","9818455557,,"
Artex Pvt Ltd,"Tripureshwor, Kathmandu, Nepal,","00977-1-4218274,00977-016923597,"
Kamalamai construction suppliers,"pepsicola,","9804813533,9804813533,"
SIDDHARTHA OVERSEAS,"East-West Highway,","+977-71-438546+977-71-438547,,"
aacbrickdamak,"Damak-6, jhapa, mechi, nepal ,","009779842156795,009779818357084,"
C.A. Construction & Consultancy Pvt Ltd.,"Lazimpat,","9851176488,9848100918,"
Dhakal Tractor Service,"Ratnanagar 18,","056-580187,9845273454,"
JSS Aluminum Suppliers,"Teku road,","014247923014254791,9841910496,"
KANTIPUR HYDROLIC BLOCK UDHYOGH,"pokhara-17, Birauta Nepal,","9856037840,9856037379,"
Samrakshyan Nirman Sewa Pvt. Ltd.,"Bharatpur 11, Hakim Chowk,","056524475,9855053675,"
