Name,Address,Telephone
BHAJURATNA AGENCY PVT. LTD.,"P898+9XH, Lazimpat Rd,","+977-1-4411786061-527293,,"
PRANAM INTERNATIONAL,"Kalimati,","42770219851052097,,"
SIPRADI TRADING PVT. LTD.,"Thapathali,","+977 1 4311501+977 1 4311502+ 977 1 4311510,,"
Love World Travel and tours pvt ltd,"Satdobato, Lalitpur,","+977-1-5527846,9803977860,"
Overland Vehicle Service (P) Ltd.,"Naya Bazar, Kathmandu, Nepal ,","00977 01 4444339,9851101623,"
Nepal Footprint Holiday P. Ltd.,"Chaksibari Marga 16 - Thamel, Kathmandu,","0097714701091,009779841459861,"
Software Shark Tech Pvt Ltd,"chabhil,","015908389,9801333378,"
Indrayani Motor Garage,"KhariBot, Vanasthali16,","9810132817,9841454628,"
Star Transport Service Pvt. Ltd.,"Sinamangal,","01 447914401 4479075,98510 6648198511 33932,"
Club Motors,"Nayabazar-9,","+97761528615,9856025381,"
PINNACLE TRADING CONCERN,"Balmandir Chowk,Bharatpur, Chitwan,","056-526276056-522776056-522781530431,9855053201,"
SuperApp,"Basundhara, Kathmandu,","9803802177,,"
Visa Travels & Tours (P) Ltd.,"Chabahil,","997 01 4469307,9851111719,"
Kathmandu Car Services,"Rani Devi Marg, Lazimpat Road","+97714002108,+9779851036473,"
PS Vehicle Service,"Saraswotistha Marg, Gairidhara,","00977-1-4425424,00977-9851079693,"
Yatri Bus Pvt. Ltd.,"Street No. 1, Lakeside,","977 61 590166,9779856022576,"
Zettta Logistics Pvt. Ltd.,"Mid-Baneswor,","01-447674301-4483087,,"
DUGAR BROTHERS AND SONS,"Balaju Industries Estate,","+977-1-4362992,,"
Jay Laxmi Khadya Udyog,"GHANTAGHAR, BIRGUNJ-10, NEPAL","+97746575121`,+9779855020121,"
Omni Grain House,"Ghantaghar-10,","+97751200800,9855020121,"
Shankar Tyre Resoling Industry,"Khasibazar Chok, Chauthe, Pokhara,","9802851605,9802851607,"
SHANKAR TYRE HOUSE,"Ind.State,","9802851605,9802851607,"
Telematics Tech Pvt Ltd,"Sankhamul,","014784728,9802024051,"
Ace Transport,"Nayabazar,","977-1-4387376/7,977-9851098143,"
Earth Auto Wheels Pvt.Ltd.,"Dharan Road 4, Pipal Chowk ,","021462164/021462310,9801037414,"
Gandaki Auto Trading Pvt.Ltd.,"Siddartha Raj Marg,","+977-71-415061,,"
MRF-International Tyre Centre,"Kalanki,KTM,Nepal","01-4284387,9841296108,"
