Name,Address,Telephone
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Ultra Led Display Nepal,"Mid Baneshwor,","014495163+977 1-5244905,,"
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
sah technology pvt. ltd.,"baneswer ,","4283433+977-1-4780466,9840016595,"
Pinnacle & Company Pvt Ltd,"Butwal-10, Kalikanagar, Rupandehi ,","071-419300,9857030382,"
Computer Help Center(G.T.C. Pvt. Ltd),"New Baneshowor -34, Kathmandu, Nepal,","01-4465510,9851071847,"
Crystal Eye Pvt Ltd,"Butwal-10, Kalikanagar, Rupandehi ,","9857023662,9851103943,"
Tesla Air Conditioner,"Saibaba Marg,Banasthali,","+977-1-4387745+977-1-4356446,+977-9801164367,"
Nplmart.com,"newroad,","9861651393,,"
SmartDoko Pvt Ltd,"Kathmandu, Nepal,","9801013311,,"
Laptop & PC Care Pvt. Ltd.,"Kumaripati, Lalitpur","5008689,9841243646,"
S & P Computer Pvt. Ltd.,"New Road,","00977-1-4247774,9841025776,"
D.P.ENGINEERS,"A-12,LGF, Pandav Nager Complex, Ganesh Nager, Near Aggarwal Sweet, Delhi-110092 ,","9811065204,9871014210,"
Airwell Nepal Pvt. Ltd.,"Budhnagar, Kathmandu,","9851054683+977 9851136944,9808100093,"
Big Shop Nepal,"Bhotebahal Kathmandu,","9851246802,9851246802,"
Haatemaalo online shopping & classified,"New Road,","9779803150150,9779803150150,"
Pokhara Total Facility Management Company PVT.LTD,"Naya bazar 9 pokhara,","061537565,9856034998,"
Electro - Ref Tech Pvt. Ltd,"Kupondol, Lalitpur ,","01-5260961,9818776832,"
Allied Power Engineering,"Hetauda Industrial District, Hetauda-8, Makawanpur,","+977-57-413022,+9779802929349,"
Enroz Group P. Ltd: Online shopping in Nepal,"Old Baneshwor, Kathmandu, Nepal,","01-4487312,,"
Singh Solutions P. Ltd.,"New Road,","01-4231572,+977-98510899879801089987,"
Vision World,"C/o Ramit Emporium,Gaighat-2,","+97735420233,+9779852830280,"
