Name,Address,Telephone
Pinnacle Overseas Employment Service Pvt. Ltd.,"P.O. Box 8762,","227903/469073,,"
TOUCHNATURE PRIVATE LIMITED,"Pulchowk, Lalitpur","55377439841228616,,"
Jay Pashupati Chemicals,"Main Road,","522745526789,,"
Pinnacle Overseas E.S. Pvt. Ltd.,"P.O. Box 8762,","469073227903269132,,"
Sundar Candles,"Alakhiya Road, P.O. Box: 20, Birgunj,","525512522092,,"
Women Enterprenuership Development Foundation,"Bagh Bazar, P.O. Box: 7202, Ktm,","00977-1-4225779,,"
Bishal Enterprises,"GPO: 3127, Ktm, Khichapokhari,","526997,,"
Aaron Windsor Rothschild + CASTMARK.COM,unknown,"01-1-310-268-0800,,"
Jagdamba Wax Industries,"Resham Kothi, P.O. Box: 99,","526119,,"
BHIM MAIN BATTI UDYOG,"Manjushree Tole,","4224422,,"
BISHWO CANDLE,"Lagankhel, Lalitpur","5527693,,"
Classic Candles,"Nurshing Home Road,","531458,,"
Janapray Mainbatty Udhoyg,"Baidam,","521935,,"
Janapriya Candle Industries,"Baidam,","521935,,"
JANAPRIYA CANDLE INDUSTRY,"Lakeside,","521935,,"
Jay Pashupati Chemicals,"Factory,","540184,,"
JHARANA AGARBATTI PRODUCTION,"Balaju,","4351148,,"
National Candle Industries (P) Ltd.,"Panchali, P.O. Box: 61, Btr,","522524,,"
Nepal Candle Co.,unknown,"522110,,"
NEPAL CANDLE COMPANY,"Tintoliya,","522110,,"
Om Candles,"Kupondole,","00977-1-5543886,,"
PSHPA CANDLES,"Bishalnagar,","4228214,,"
R.N.D. Chemicals,"Katahari,","522237,,"
Sagarmatha Candle Industry,"Ward 9,","524223,,"
Sami Enterprises,"Panchali, P.O. Box: 61, Btr,","522524,,"
SATHYAM ENTERPRISES PVT. LTD.,"Pulchowk, Lalitpur","24051505571896,,"
SAUGHAT CANDLE IND.,"Sanihat,","526362,,"
Sumit Candel house,"Chabel,","00977-1-984119948319803554518,,"
SUNGAVA CANDLE INDUSTRIES,"Barmelitole, Butwal/Bhairahawa","520552,,"
