Name,Address,Telephone
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Dish Media Network Pvt. Ltd.,"Tinkune,","00977-1-447916116600122000+977 -01-4217666,00977-9851032610,"
Adhunik Entertainment,"shreepur-14,","+977984850129,+9779845232706,"
Stereo Records Private Limited,"Kathmandu Metropolitan City Ward No.2,","+97714488255,97798510310359779801031035,"
Mirror Technology and Training Center,"Rajmarg Chauraha,","9867763123,9863630302,"
Yak Production House Pvt. Ltd,"Butwal-11, Devinagar,","071-410632,9867034223,"
Filming Himalaya,"balaju kathmandu,","014390501,9851188551,"
Himalayan Fixer,"Jawalakhel,","+9779866392444,+9779866392444,"
Snow Fall Digital Entertainment P. Ltd. (A.V Production House),"Baluwatar-4,","+977-9813458949,+977-9861253565,"
Mountain River Films,"32-Kalikasthan, Ghattekulo, Near Sunrise Bank Ltd, Bhitri Goswara Marg Kathmandu, Nepal,","00977 01 4421800,00977 980115454100977 9818123232,"
BMP Infology Pvt. Ltd.,"Baluwatar,","+977-01-4416816,,"
iDream Animation Academy | Studio,"3rd & 4th Floor, Toyaraj Building, 788 Pashupati Sadak 3, Gyaneshwor, Kathmandu, Nepal,","977-1-441103001-4410058,,"
Mobiland electronic pvt ltd,"kritipur,","977014334235,9779861087804,"
Arcube Games & Animation,"Thulo Kharibot Marga,","+977-1-4491278,+9779803078818,"
Artificial Info Tech Pvt Ltd,"kathmandu,Nepal,","014469986,9851152379,"
IT Solution,"Taalchowk, Lekhnath and Lakeside, Pokhara,","unknown,9846618997,"
NETSUITE INT'L SOFTWARE SOLUTION PVT. LTD.,"NEWBANESHWOR,","01-4620878,9841607510,"
Onion Films Nepal Pvt. Ltd.,"Buddhanagar-10,","9841842878,9841842878,"
Trooper Travels and Tours Pvt. Ltd.,"Nagpokhari, Kathmandu,","014414387,,"
Voice Group Pvt Ltd,"Koteshwor 35,","9868522655,9868522655,"
DISTAR HOME APPLIANCES PVT. LTD.,"Mahabaudha,","4246113,,"
Buddha Subba Music Center,"Khichapokhari,","00977-1-4269620,,"
Droppe creation,"Itahari Sub-metropolitan city, Narbhasha 15,","unknown,98415131269808056203,"
OnAir Nepal,"Bagbazar, Kathmandu,","01-4253907,,"
Valley Vision Computer Training Center,"Bagar-1, Infront of Sankrit Secondary School or Near of District Education Office,","061-539594,9846113272,"
AVCD Pokhara,"Fulbari Bhanu marga,","977-61-532151,9843346103,"
It Security Nepal Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal,","0122993242299325,,"
The Teams & Creations Media Pvt Ltd,"New Baneshwor,","9851239345,9851239345,"
Bright Events & Media Pvt. Ltd.,"airpot mod,","9807052074,9807052074,"
Him Electronics Pvt. Ltd.,"Narayanchaur, Naxal Kathmandu,","00977-1-5970705,,"
Amigos Cafe,"Jhamsikhel,","9818542727,9841780613,"
Wedding Story Nepal,"Butwal-10 ramnagar,","9867335830,9817566415,"
Arihant Technologies,"Bagmati,","+977 1 4033800,,"
DAI,"P965+QVC, Kathmandu 44600,","+977 -1-5107445,,"
FlipKarma,"Manakamana Marga 44, Kathmandu 44600,","+977 -9849516774,,"
Revolution Media Pvt. Ltd.,"Dillibazar,","00977-1-4243477,,"
Crazy Amusement Pvt. Ltd.,"Kamalpokhari, P.O. Box: 11831, Ktm,","00977-1-40117724011773,,"
HARI OM T.V. CENTRE,"Hospital Line, Butwal/Bhairahawa","540506,,"
NEPAL ONE TELEVISION,"Laldurbar,","20033314418880,,"
VISION NEPAL FILMS AND ENTERTAINMENT,"Anamnagar,","20427579851075312,+977-9851075312,"
Arun Cinema Hall,"C758+8PG, Rani Path,","+977-21-436407,,"
IllamOnline,"Panchakanya,","97727555132,97727555132,"
Films & Adfilms (P) Ltd.,"Mandikhatar, P.O. Box: 2080, Ktm,","00977-1-44409329851025835,,"
Films & Ad Films (P) Ltd.,"GPO: 2080, Ktm, Lazimpat,","44409329851025835,,"
Maya Film Productions,"Hattisar,","00977-1-9841886643,,"
StackBills,"Bagmati,","+977-1-4000099,,"
UK Nepal Film Production,"Sarwanpath,","542841,,"
Vidinterest,"Bagmati,","+9779851088816,,"
Zero Meetings,"Bagmati,","+977-1-4000099,,"
ABC TELEVISION PVT. LTD.,"Sundhara,","42615454254321,,"
BELTRONIX COMPUTER AND ELECTRONICS ENGINEERS,"Newplaza,","4429777,,"
BHASU FILM,"Mhepee,","43588204493333,,"
Communication Corner,"Kupondole, P.O. Box: 6469, Ktm,","00977-1-55517165549357,,"
D AND D INTERNATIONAL,"Khichapokhari,","42488954244408,,"
GOPI KRISHNA MOVIES PVT. LTD.,"Chabahil,","48123934822494,,"
Jai Nepal Cinema,"Narayanhiti Marg,","00977-1-4442220,,"
Jai Nepal Movies,"Hattisar,","00977-1-44422204442221,,"
MEROMALL TRADE CONCERN PVT. LTD.,"Gyaneshwor,","2220723,,"
P.Cine Arts (P) Ltd.,"Nayabazar,","00977-1-4358477,,"
Quest Entertainment (P) Ltd.,"Hattisar,","00977-1-4442220,,"
Sayapatri Films (P) Ltd.,"Chabahil,","00977-1-447989344798944479895,,"
S K Films,"Kopundole, P.O. Box: 1512, Ltp,","00977-1-55556955555795,,"
S.K. INTERNATIONAL PVT. LTD.,"Kupandole, Lalitpur","555569555557955555895,,"
Dreamvision Studio,"Thamel, P.O. Box: 21640, Ktm,","00977-1-9841222596,00977-9851056151,"
Supreme IT Solutions Pvt. Ltd.,"Putalisadak, P.O. Box: 10029, Ktm,","00977-1-4430872,00977-9841614319,"
Cine Matrix Studio Pvt. Ltd.,"Tripureshwor, P.O. Box: 2650, Ktm,","00977-1-42679504267951,,"
CINEMATRIX STUDIO PVT. LTD.,"Teku,","42679504267951,,"
Dream Vision,"Kamaladi,","42696614219169,,"
Editmax,"Maharajgunj, P.O. Box: 2335, Ktm,","00977-1-4721937,,"
