Name,Address,Telephone
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Dolphin Education Consultancy Centre Pvt. Ltd.,"Putalisadak, P.O. Box: 21551, Ktm,","00977-1-42542824223053,,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Softech Foundation Pvt. Ltd.,"Baneshwor (Office),","00977-1-243892301-4435890,,"
Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur,","015550656+977 981-3898246,9851173362,"
Solutions Consultant,"Thamel, P.O. Box: 8974 CPC 281,","00977-1-42242464269008+977-1-4001095,,"
AUS Studies Consultants Pvt. Ltd.,"Kantipath, P.O. Box: 8975 EPC 5740,","00977-1-4222793,,"
Greentick Nepal (P) Ltd,"4th Floor, Mahalaxmi Complex, Minbhavan, Kathmandu, Nepal,","+977-1-4620741,,"
Doko Recyclers Pvt Ltd,"Sanothimi,","+977-9851115974+977 9802071515,+977-98511159749818176065,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
P. L. A. BUSINESS SOLUTIONS,"Hanumandas Road, Biratnagar - 7, Nepal,","+977-9814388965,,"
"P. R. Dhakal & Associates, Chartered Accountants","""Nirmal Shanti Bhawan"", No 74, 1st Floor, Zero KM,","977 - 61-550449,9856014200,"
GREEN TREE Developers Pvt. Ltd,"Sanepa, Lalitpur,","015261062,9801167224,"
Target International Education Pvt. Ltd.,"Chipledhunga, Pokhara, Nepal,","+977-61-572978,+977-9856032278,"
Excellent Int'l Educational Institute,"New Baneshwor-10, Kathmandu Nepal,","+977-01-4494257,9851175547,"
Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal,","9804606448,9852026448,"
Naxalaya Pvt. Ltd.,"Jhamshikhel chowk,","05527517+977 14416543,9849102008,"
Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal ,","+9779855038080,+9779801716000,"
ArEiCon Architects and Engineers Consultants,"Kupondole, Jawgal, Lalitpur, Nepal,","01-5524457,9849028039,"
Delta Educare Nepal,"2nd Floor, BBC Bhawan, Chipledhunga,","+977-61-589853,+9779806777053,"
Bridge Education Hetauda,"Hetauda-4, School Road,","9855014172,,"
Kathmandu Infosys Educational Consultancy,"Putalisadak, P.O. Box: 8975 EPC 5210,","00977-1-44435264430706,,"
WIPS Law Associates P. Ltd.,"7063, Kathamandu Metropolitan City-11, Ramshah Path, Thapathali, Kathmandu,","+97714412660,+977 9851084938,"
JST Consultants,"Milap House, Sanepa, Lalitpur, Nepal,","+977 1 55354335521691,98609309609818329805,"
B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor,","01-4600105,9849027448,"
Global Wings Pvt. Ltd.,"Putalisadak,","014233864,98010627699851192769,"
Nmark Education,"Mahendrapool 09,","061 541051,,"
Stellar Education,"Adwait marg, putalisadak, kathmandu,","+977-01-4253002016201234,9823005613,"
FLYTECH INTERNATIONAL AIR HOSTESS ACADEMY,"New Plaza, Putalisadak,","4432169,9841245427,"
Manifold Consult Pvt. Ltd.,"Sahayoginagar-32, Kathmandu,","01-4154876,98601313009860816776,"
Abroad Consult,"Mahendra Pool,","061-526554,98560292809846077820,"
AHZ Associates Nepal,"Ramshah Path,","09802346895,09802346895,"
Epic Career & Visa Services,"Newplaza, Putalisadak,","01-4445064/65,9813371564,"
SP Consult,"Ratnanagar-1, Tandi, Nepal,","unknown,9845832440,"
UNISTAR Education,"Siddhartha Chowk, Pokhara,","061534957,9864428850,"
Career Dream Education Consultancy,"Bhanu Chowk,","41-528402,980160033998540277139813411285,"
MiRON Laboratory & Research Center (MLRC) P. Ltd.,"Sairam Marg, Tinkune, Gairigaon-9, Kathmandu,","977-1-4483490,9851182019,"
Reliance Educational Multi Services Pvt Ltd,"Rajmarga Chauraha, Butwal-12, Rupandehi (near Russells' Cafe),","071438844,9857030090,"
Chitwan Kangaroo Education Foundation Pvt.Ltd.,"Bharatpur 04 , Lions chowk, Charan Tower level 5,","056572064,9855064522,"
Fujiyama Educational Consultancy Pvt. Ltd,"Bagbazar,","+977-014245500,9841298799,"
Ghar Gadi Nepal,"Lalitpur,","unknown,9801033880,"
Nascent Education Foundation,"Ghantaghar, Link Road, Birgunj,","051-527522071-525028,9806881742,"
Platinum Educational Consultancy Pvt. Ltd.,"Dillibazar 32, Kathmandu ,","01-4423085,9841083440,"
DISNEY SEA EDUCATIONAL CONSULTANCY PVT.LTD.,"Chipledhunga-4,Pokhara,Kaski,","061-582787,9856053280/9805846800,"
EstateWheel.com,"Kupondole,","5522858,9801033880,"
Haru International Academy,"G.P.O. 10697, Naya Bazaar Marg, Sorakhutte-16,","+977 016201954,+977 9801041954+9779841541573,"
Index Advance Educational Consultancy,"New Baneshwor, Buddha Bhawan 2nd floor, Opposite of Rastirya Banijya Bank Ltd.,","+977-1-4474128,+977-9851120703,"
JST Corp Pvt Ltd,"Kupondole Height, Lalitpur,","+977 9818849361,,"
Optimum Futurist Pvt. Ltd.,"Saraswati Marga, Thapagaun New Baneshwor 1st Floor of Capital FM Building Behind Panchakumari Temple, Kathmandu 44600,","01-5245009,,"
Reanda Biz Serve Pvt. Ltd.,"6th Floor, Sunrise Biz Park Dillibazar, Kathmandu, Nepal,","977-1-4413535,,"
Tokyo International Education Institute,"Mid Baneshwor,","+977-1-4569078,+977-9745667878,"
Zenith Business Consultancy,"New Road,","9817727325,9817727325,"
Bright International Education,"(infront of P.K. Campus) Bagbazar, Kathmandu, ,","977-1-4167578,977-951225505,"
Bridge Education Foundation,"Putalisadak-31,","01-4232561,9851196133,"
BRSS & ASSOCIATES | Chartered Accountants,"4th Floor, Everest Bank Building, Bagdole, Lalitpur, Nepal,","+977-16226783,9862839459,"
KCL Astute Capital Ltd.,"Hattisar-1,","0977-01-44291494429150,9851200676,"
Lahan Achievers Consulting Services,"Sahid Chowk,Lahan-1, Siraha,Nepal,","9811730247,9811730247,"
Miracle Career Consult,"MCC House, Dillibazar,","+97714436022,+9779851056103,"
Link way International Education Consultancy Pvt. Ltd.,"Siddhartha Chowk,","061521430,9856044416,"
Synergy Career Consultants Pvt. Ltd.,"New Baneshwor Chowk (Beside KK super Mart),","00977-1-47803174780083,00977-9851036490,"
Ayurvedic Cosultancy,"Adarsh Nager,","9819255537,,"
Footprints Nepal Pvt. Ltd.,"Kupondole, Lalitpur,","9849837637,9589837637,"
Indo-World Educational Consultancy Pvt. Ltd.,"2nd Floor, BMC Scooter Building, Ramshahpath, Nepal,","00977-1-4259009,00977-9851041986,"
MARIMAID EDUCATION,"Saibabamarg Banasthali-16, Police Beat,","014385419,9851170571,"
Republic Educational Consultancy Pvt. Ltd.,"Bagbazer Vip Marga opposite to shrestha taloring,","00977-1-4246357,00977-984142968,"
Storm Educational Consultancy Services,"New-Baneshwor-10[ Way To Old Baneshwor From New Baneshwor{Opposite Of Civil Bank}],","00977-1-4479985,00977-9843223239,"
WATER ANALYSIS LABORATORY,"Gabaha-21,Lalitpur,","+977-1-6201519+977-1-5547519,,"
We Care Engineering Consultancy Pvt.Ltd,"Bharatpur-15,Mangalpur Bazzar,Chitwan ,Nepal,","056695173,,"
Elmira International Education Pvt. Ltd.,"Dillibazar, P.O. Box: 6124 , Ktm,","00977-1-44443974436976,,"
Epicenter Education Consultants,"New Baneshwor,","00977-1-4461001,,"
Faster Abroad study Pvt. Ltd,"Putalisadak,","+977-1-4117779,+9779843438046,"
Global Education Service,"Newroad (Near Munchha House) ,","01-4240869,,"
HIMALAYAN WHITE HOUSE EDUCATION CONSULTANCY,"Putalisadak,","01-416830901-4168252,,"
Inspiration Education Consultancy,"Putalisadak, way to dilibazar,","+1-4420935,9841426822,"
Organisation Development Centre (ODC),"1/145 Kupondole -1,","unknown,+977-9863191677,"
The Next Education Consultancy Baneshwor,"New Baneshwor (Buddhanagar Bus stop), Kathmandu, Nepal 44600,","+97701-5970268,,"
WLC College Nepal,"Ratopul,","00977-1-20038302003831,9779849099380,"
Career Launcher Education Pvt. Ltd.,"Jawalakhel, Lalitpur, Nepal,","97715532359,9779851046744,"
Greenwich International Education Pvt. Ltd.,"Bagbazar , yeti paza ( opposite PK campus),","00977-1-4242731,00977-9841372964,"
Motif Language & Abroad Studies (P) Ltd.,"New Baneshwor,","00977-1-47818164784449,,"
PAC Asia Services Pvt. Ltd.,"Kamaladi, Ganeshthan, P.O. Box: 8975 EPC 5920,","00977-1-42514044222844,,"
Royal Engineers and Associates,"Lahan-7,Siraha, Nepal,","+97733560851,+9779862923252,"
Sustainable Building Design Nepal,"Kalimati, Kathmandu, Nepal,","+977-9841403407,+977-9841403407,"
Synaptein International Education Consultants,"Dashrath Chand Marg, Bishalnagar-04, Kathmandu, Nepal,","0097714410193,009779803033006,"
The Next Education Consultancy (P) ltd. Pokhara,"Chipledhunga,","061-539544,9856044484,"
The 600,"jawalakhel,","5549886,9841939985,"
TQ Vision,"Putali Sadak,","00977-1-9841245641,,"
Access Education Network (P) Ltd.,"3rd Floor, Saugat Complex, Chipledhunga, Pokhara,","061-539128541034,9856034092,"
DD OVERSEAS PVT. LTD.,"DD Tower, Tilganga, Airpirt, kathmandu, Nepal,","+977-1-44659224469471,+977-980112222398011222279801122220,"
Nepal to Canada Immigration Consultancy,"Pashupati Road, Gyaneshwor,","unknown,,"
Rightpath Career Counselling,"putalisadak- kathmandu, Nepal,","01-4418581,,"
