Name,Address,Telephone
Nepal Art & Craft Industries,"Dallu, P.O. Box: 9614, Ktm,","00977-1-9841549384+977 -1-4248003,,"
Probiotech Industries Pvt. Ltd,"KUK Building- 3rd Floor Sinamangal-10 P.O. Box 5751,","+977-1-4567791+977-1-4567792+977-1-4567793+977-1-4567794,,"
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
Nepzy,"A One Technology Pvt Ltd, 3rd floor, Alliance tower Dilli Bazzar,","4426684,9801246776,"
Himalayan Everest Paper Packaging Pvt. Ltd.,"Chhauni, P.O. Box: 1290, ktm,","00977-1-435097342780329851049170+977 1-5245090,,"
Durga Beej Bhandar,"Chhireshwornath-5, Dhanusha, Nepal,","041-540238,98078249639844021145,"
Prudential Services and Trading Pvt. Lt.,"chabahill,","01-4484776,98404686189842211970,"
SLEEK KITCHEN CONCEPT,"Paschim Line,","025-582748,9852055249,"
Hamro Store (p) Ltd.,"Chapagaun-6, Lalitpur,","01-5230407,9851188334,"
Lazimpat Glass House,"Narayangopal Sadak,","unknown,984-1271392980-8457204,"
HAPPY HOURS TOYS,"Durbarmarg,","4233559,9851239025,"
Packaging Product,"Lazimpat, P.O. Box: 4247, Ktm,","00977-1-4415399,,"
Mangalam Doree Industries,"Bajrang Tol Road, Behind Thakur Ram Campus, Adarshnagar, Birgunj, Nepal,","+9779855020770,+9779855022930,"
Quick Stamp House,"Adwait marg, Putalisadak-31,","00977-1-4212463,9813893512,"
NGT Mobiles,"Indradev Marg, Narayangarh, Chitwan ,","9860129290,9845506426,"
GOPAL HARDWARE,"Main Road Opposite NIC Asia Bank, Biratnagar Branch Beside Ward Police Office,","+977-21-524497,98027001379852020957,"
Aryan Mobile Gallery,"mahendrapool, infront of NTC building (medical line),","061533553,+9779856083621,"
Number One Pest Control Pvt. Ltd.,"Janapath-6,","9857077772,+977-9857037895,"
Brother's Aluminium & House Wiring Service Center,"Chamati,","014212277,9813279706,"
Ocean Plastic Industries,"Parwanipur,","051-411227,9855035227,"
Himalayan Cooper Pvt Ltd,"Himalayan Cooper, Devi Nagar, Butwal - 11,","9857075150,,"
Neelez Fashion Boutique,"Kumaripati, Laltipur,","9801033880,9862375917,"
Neo-Tech Engineering Pvt. Ltd.,"Koteshwor-35,","01-5199733,9851099585,"
Prudentialcleaningservices,"chabahill,","01-4484776,9843231365,"
Hobb Creation Industries,"Buddhanagar, Kathmandu, Nepal,","(977) 014783422,,"
Munna bastralay,"Birendra chowk, birendranagar, surkhet,","083520660,9812528302,"
Hello Stationery,"Mahendra Pool, Bhimsen Tole,","061-527334,9856020710,"
