Name,Address,Telephone
PREMIER TOURS AND TRAVELS,"NAGPOKHARI NEAR JAI NEPAL HALL,","+977-01-444335801-4437919,9849078549,"
Retreat Serviced Apartments,"Bijeshworimarg, Swayambhunath,","977-01- 4274837,977-9801098941,"
Adventure West Travels,"Dhangadhi Kailali,","+977-091-520001,9814612261,"
Thamel Apartments/Hotel,"Thamel marg,","+977-1-4220353,+9779813304069,"
Zion Travel and Tour P. Ltd,"Maligaun, Ganesthan,","014446344,9849662890,"
The Milestone Hotel,"Chibahal Marg, Thamel,","+97715352312,+9779813553698,"
Mandala House,"60 Pandol Marg, Baluwatar,,","977-1-4444662977-1-4412412,977-9823100567,"
Three Brothers Apartment & Hotel,"Lazimpat,","+977-1-4002084,+9779841227317,"
Nag Pukhu Guest House,"Nag Pokhari Bhaktapur - 4, Nepal.,","01-6613736,,"
Non profit,"Jorpati,","9851002112,9851002112,"
Ambition Himalaya Treks & Expeditions Pvt. Ltd.,"Thamel - 29, Kathmandu, Nepal,","+977-1-4418413,+977-9851148898,"
Alpine club of Himalaya,"https://www.google.com.np/maps/@27.7117549,85.3107868,17z,","+97714700397,+9779851020731,"
Aaphanta Travels and Tours,"Centerpoint, lakeside,","+977-061-467054,+977-9816647729,"
Dormitory Nepal,"Geetanjali Marg, Baluwatar,","+9779801127333,+9779801127333,"
Himalayan Companion Treks,"Samakhusi , Kathmandu, Bagmati, Nepal,","9851133894,,"
Skyline Travel And Tours Pvt Ltd.,"Baghbazar, Baghbazar,","01-423060342397884239856,9851210917,"
INFINITE TOURS & TRAVELS PVT.LTD,"P O Box 06, Thamel, Kathmandu,","01-4218271,9851179971,"
Namaste homestay and apartment,"Gyandeep Marg, Lazimpat,","9851001068,9803667047,"
Well Adventure Tours and Travel (P) Ltd.,"P.O.Box:8257, Baluwatar,","01-44154964421591,9851145128,"
International Guest House,"Kaldhara, Thamel,","01-4252299,,"
VARDAN APARTMENT,"Lakeside,","465830465831465832,,"
Sagarmatha Trekking Agency (Pvt) Ltd.,"Naxal, P.O. Box: 2236, Ktm,","00977-1-44152844420008,9849055584,"
HIMALAYA APARTMENT HOTEL PVT. LTD.,"Pulchowk, Lalitpur","55257325551912,,"
