Name,Address,Telephone
Cleaning Service Nepal,"Chabahil,","9861607898,9861607898,"
Easy Facilities Pvt. Ltd.,"Jarebar,","+977-61-467330,9856026233,"
Damak Fast Cleaning Services Pvt. Ltd.,"Chyadokan, Purbali Tol,, 250M,","9818156923,9860009303,"
Prime Multipurpose Services Pvt. Ltd.,"Srijanachowk,","unknown,98251535049825153505,"
Prudentialcleaningservices,"chabahill,","01-4484776,9843231365,"
Kathmandu Pest Control Service,"basundhara,","9849194481,9849194481,"
Smart Cleaning,"Khusibhu,","014361839,9841706122,"
Clean Services,"Gaurighat,","014485999,9851152299,"
G. T. INTERNATIONAL FACILITY SERVICE PVT. LTD.,"Satdobato, Lalitpur,","015555039,9849591683,"
SpiderWalk Cleaning Company,"Near Big Mart, Gongabu, Kathmandu,","+977-01-4020116,,"
