Name,Address,Telephone
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Nplmart.com,"newroad,","9861651393,,"
Haatemaalo online shopping & classified,"New Road,","9779803150150,9779803150150,"
Enroz Group P. Ltd: Online shopping in Nepal,"Old Baneshwor, Kathmandu, Nepal,","01-4487312,,"
RemaxPokhara,"Arbind Complex, New Road-8, Kaski,","061550434,9802823728,"
RK electronic and crafts,"Janpath tole, Biratnagar, Nepal ,","9812327166,9812327166,"
Nplmarket,"banasthali,","9823474650,9823474650,"
Gadgets & Gizmos Traders P. LTD,"Bhatbhaneni, Tangal,","+977-1-4434447,9851142446,"
Jatatatai Online P. Ltd,"Mid Baneshwor, Sahabhagita Marg,","9801159871,9801159871,"
RedDoko,"Kathmandu,","01-4031771,9801044204,"
Whitehat electronics pvt. Ltd,"Newroad,","01-4263907,,"
Hep Me Dot Com PVT.LTD.,"Samakhushi-29,,","016224455,9851017618,"
Neo Store,"Norkhang Complex, Jawalakhel,","+977-1-5553222,+977-9801200105,"
Crusade Himalaya,"Keshar mahal, Thamel,","4423578980-8121644,,"
NPLmart.com,"New Road,","9851221241,9851221241,"
NPLmart.com,"New Road,","09861651393,,"
Fewa Mart,"Muni Bhairab Marga, Tinkune,","977-1-5199731,9851239244,"
SmartDoko,"Kathmandu, Nepal,","9801013311,,"
ICT store Nepal Online shopping,"Newroad,","9851126092,9851126092,"
ganesh,"12 central,","unknown,,"
