Name,Address,Telephone
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
RK electronic and crafts,"Janpath tole, Biratnagar, Nepal ,","9812327166,9812327166,"
Discount Pashmina,"720 Thamel Marg Kathmandu, Nepal,","4418151,9818677491,"
Crusade Himalaya,"Keshar mahal, Thamel,","4423578980-8121644,,"
Choice Mart,"Jadibuti kathmandu Nepal,","01-6924355,,"
A1 MEGA MART PRIVATE LIMITED,"Kalaiya 13 , Main Road Near kalaiya Electricity Office BARA (NEPAL),","+9779843819622,+9779843819643,"
Sastodeal,"Pandol Marga, Kathmandu 44600,","+977-15-970-000,,"
Nepnext,"Kumaripati , Lalitpur,","9861724577,,"
Fewa Mart,"Muni Bhairab Marga, Tinkune,","977-1-5199731,9851239244,"
Anthropose,"Bagmati,","+977 980 1118822,,"
My Shop - online shopping in Nepal,"Nakkhu, Lalitpur,","unknown,9851222136,"
