Name,Address,Telephone
PREMIER TOURS AND TRAVELS,"NAGPOKHARI NEAR JAI NEPAL HALL,","+977-01-444335801-4437919,9849078549,"
Snepal Tours & Travel Pvt. Ltd.,"Thamel,","00977-1-4260072,+919873014569,"
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
Hotel Simara,"Simara, Bara,","053-521802,9855024292,"
Accessible Adventure Pvt. Ltd,"Kaldhara, Thamel,","+97714701444+9779851058702,+9779801026351,"
Hotel Bishram,"Barahi Path , Lakeside , Pokhara , Nepal,","97761464734,97798460618339846049227,"
Barahi Jungle Lodge,"Andrauli, Meghauli-1, West Chitwan, Nepal,","+977 56 695447,+977 9851093437,"
Hotel Prince Plaza,"Kathmandu, Nepal,","+977 1-4439142,+977-9851075345,"
Hotel Dream City,"Paknajol marg-16. thamel, Kathmandu ,","4251256,+9779849683092,"
Jungle Safari Lodge,"Sauraha,","01-4444999,9851008399,"
KATERO,"Shantipatan, Lakeside-06,","9856026811,9856026811,"
Thamel Hub Hostel,"Kathmandu - 26, Thamel Marg, Near Thamel House Restaurant, Bhagawati Bahal,","01-4423694,9856086123,"
Alpine Hotel And Apartment,"Alpine Hotel and Apartment,chaksibari marg, thamel, opposite to manange hotel,","014701308,9779841920870,"
Mountain Sherpa Trekking and Expeditions,"Bhagwan Bahal, Thamel, Dabali Marg-29,","(+)977 - 1 - 44 35 828,,"
Subaru Travel Nepal,"Lalitpur-24 , Dhapakhel ,Post box 5387, Kathmandu , Nepal,","977 1 5571144,9851049632,"
The Amadablam Hotel,"Pingalasthan,","+977 1 4113712,9856086400,"
The Sunrise Hotel & Lodge,"Rolpa,","+977-86-440065440365,9867313759,"
Beyond the Limits Treks and Expedition Pvt. Ltd,"Chansibari Marga,","+977-1-4-268136,+977-98510-93729,"
Bodhi Tree Hostel,"https://bodhitreehostel.com/,","980-2311491,980-2311491,"
Eco Home Kathmandu Hotel,"Raniban ,Kathmandu,","01-5103115,9841624252,"
Balaji Restaurent & Lodge,"master marga, kalanki,","9779842877439,9779801071231,"
DEBONAIR TRAVEL AND TOURS PVT. LTD.,"JYATHA , THAMEL KATHMANDU,","59047475904748,9843181391,"
Hotel Imperial Kathmandu Pvt Ltd,"Battisputali 9 Kathmandu,","01-4485182,9801084294,"
Hotel Happy Home P. Ltd.,"J.P. Marg, Thamel, Kathmandu, Nepal,","977 1-4244306,9818979797,"
Hotel the mirror inn,"New bus terminal butwal 11,","071548252,9847131867,"
Easy Trading Pvt Ltd,"Jarebar, Pokhara-06,","061-467330,9856026233,"
Hotel Venus,"Bhakunde-2,","063440686,9856055545,"
Hotel florid nepal,"Z street thamel,","014701233,9849023179,"
Shambhu Hotel,"Koshi Barrage, Haripur","9810441295,,"
Unique International Traders,"Near FNCCI building, Signature 2 appartment, 2nd floor","+97714100183012200430,,"
Dharan Total Kitchen equipment,"Dharan Bazaar ,","9804082928,9869811660,"
Gautam Buddha Airport Hotel,"siddharthanagar,","+977 9861378471,,"
PEC Attestation & Appostile Services,"33/15, Prashant Building, Karve Road, Opp Abasaheb Garware College, Pune 411004,","02049027000,9404450674,"
Shikri Devi Hotel,"Thadoline-Bayarghari,","9846632209,9846632209,"
International Guest House,"Kaldhara, Thamel,","01-4252299,,"
KANTIPUR KITCHEN EQUIPMENT PVT. LTD.,"Sitapaila,","42837814302305,,"
Unique International Traders,"Khichapokhari, P.O. Box: 5120, Ktm,","00977-1-42432424223810,,"
Great Himalayan Traders (P) Ltd.,"Dillibazar, P.O. Box: 3181, Ktm,","00977-1-4422654,00977-9841252558,"
sanjay insulation,"mumbai,","9323819798,9821863019,"
Ichha Small Industries,unknown,"00977-1-5522889,,"
WINDORZ NEPAL PVT. LTD.,"Jawalakhel, Lalitpur","55242385535667,,"
