Name,Address,Telephone
AIT Amy's IT P.Ltd.,"Bu.Na.Pa.10 (Aakashedhara),","01-4812854,985113143498011470269845022780,"
Garud International Pvt Ltd,"Jana Marga, Kathmandu,","+977-1-4015771|+977-1-4015772/74/75,9801173025,"
Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune,","014494183,9851134183,"
Global Wings Pvt. Ltd.,"Putalisadak,","014233864,98010627699851192769,"
K.R.A Safety Concern Pvt. Ltd,"Koteshwor Ring Road,","01-5100729,9851129812,"
Technotronic Solution Pvt. Ltd.,"Naya Marga,","9779845288888,9845288888,"
NEPAL SAFETY CENTRE PVT. LTD.,"Tinkune, Kathmandu, Nepal,","01-5199486,9801109945,"
Nepal Speakers Bureau,"Kathmandu,","+977,9843772688,"
Agni Enterprises,"Ravibhawan, Kathmandu, Nepal.,","+977-1-523463052346315234632,+977-98510240949801024094,"
Eversafe Nepal Pvt. Ltd.,"Ravibhawan,","00977-1-523463052346315234632,00977-98510240949801024094,"
Nepal Fire and Safety Solutions Pvt. Ltd,"Teku-12, Sahidsukra Marga,","01-4100037,+977-9803662800,"
Nikhil Multi Servies Pvt. Ltd.,"Macchapokhari, Balaju, Kathmandu, Nepal 44611,","00977-1-43516576221823,00977-9841404217,"
TRITHUNGA TRADING CONCERN P. LTD.,"Dhungeadda,","014312036,9851119694,"
SAMURAI JAPANESE LANGUAGE SCHOOL CONSULTANCY PVT. LTD,"Narayangopalchowk, Kathmandu,","01-4373811,,"
NEPAL FIRE AND SAFETY SOLUTIONS PVT. LTD.,"Shahid sukra marga, Teku,","+977-1-4100037,+977-9803662825,"
Corodex Engineering Equipments Pvt Ltd,"F-91, Dilshad Colony, New Delhi","unknown,00919899353134,"
Novel International Pvt. Ltd.,"Tripureshwor,","00977-1-421234542566879851064423,,"
PACIFIC COMMERCIAL CO. PVT. LTD.,"Putalisadak,","44305254431525,,"
The Entrepreneurs Group Pvt. Ltd.,"Kupondol, P.O. Box: 23585, Ltp,","00977-1-554762950110002114123,,"
Prudential Trading Pvt. Ltd.,"Golphutar, P.O. Box: 24304, Ktm,","00977-9841267135,9721454264,"
Aeron Fire Extinguishers,"Gyaneshwor, P.O. Box: 157, Ktm,","00977-1-444441044421474442148,,"
Agni Safe and Service International (P) Ltd.,"Tinkune,","00977-1-41119675201750,,"
Ekta Engineering and Marketing,"Teku, P.O. Box: 11482, ktm,","00977-1-42476764238131,,"
EKTA ENGINEERING AND MARKETING PVT. LTD.,"Tripureshwor,","42787819851022039,,"
Globe Marketing (P) Ltd.,"Teku, P.O. Box: 6252, Ktm,","00977-1-4246594,,"
H.G. ENT. PVT. LTD.,"Koteshwor,","460067446011722050100,,"
INCO PVT. LTD.,"Kalikasthan,","44319924433045,,"
Mokshya Trading Concern (P) Ltd.,"Putalisadak, P.O. Box: 2142, Ktm,","00977-1-44215394414319,,"
National Fire Safe Pvt Ltd.,"Balkot, P.O. Box: 95, Bkt,","00977-1-6631083,,"
ROSHAN BUSINESS ENTERPRISES,"Old Baneshwor,","44620362002033,,"
SECURITY SOLUTIONS,"Kupandole, Lalitpur","5552637,,"
WORLDWIDE TRADING CO. PVT. LTD.,"Lazimpat,","44125474415647,,"
Mahalaxmi Engineering Udyog,"Jawalakhel,","00977-1-22102629851008358,,"
Prudential Trading Pvt. Ltd.,"Golphutar, P.O. Box: 24304,","00977-1-9721454264,,"
Tulsa Fire Fighter Suppliers,"New Baneshwor,","00977-1-98510322472040206,,"
Agni-Rakshek Supply's,"Anamnagar, P.O. Box: 8978 CPC 75,","00977-1-4265157,00977-9851055988,"
Pareek Fire Fighting Supply's Traders,"Anamnagar,","00977-1-4770342,,"
PAREEK FIRE FIGHTING SUPPLY,"Anamnagar,","4770342,,"
