Name,Address,Telephone
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
OUTSIDE VALLEY,"Kathmandu,","4257800425790001-5554982,,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Softech Foundation Pvt. Ltd.,"Baneshwor (Office),","00977-1-243892301-4435890,,"
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Professional Computer Systems (P) Ltd.,"Kupondole,","00977-1-55480825543554+977 -1-5260820,,"
CAD Nepal,"P.O. Box: 1442,Ktm,","00977-1-5525278,,"
Techmind Solution,"Babarmahal,","977-1-4102299+977 1 4102213,977-1-41022134102239,"
Nepasoft Solutions Pvt. Ltd.,"Kantipath, P.O. Box: 11291, Ktm,","00977-1-426360042437064255088+977-1-5900182,,"
Analogue Inc,"Gausala,","+9779802320803,,"
Voxcrow P. Ltd.,"Nagpokhari, Kathmandu,","9802329903+977 9802071665,9802329903,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
Complete Business Solution Pvt. Ltd.,"Talchikhel, Lalitpur,","015550656+977 981-3898246,9851173362,"
Convergetree Technologies Pvt Ltd,"Tinkune, BasukiNagar,","15199579+977 9851161789,9869052525,"
PIE,"Mitrapark, Chabahil,","014475239,9801820110,"
Nepfinder Innovative I.T. Solution Pvt. Ltd.,"Bashundhara, Kathmandu, Nepal,","014360230,9851189313,"
Trinity Infosys Pvt. Ltd.,"New Road-22,","+977-01-4238034+977 985-1007524,+977-9851007524,"
Alignstech (P). Ltd.,"Anamnagar, P.O. Box: 1818, Ktm,","00977-1-62083592041825+977 1-4350441,,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Web Technology Pvt. Ltd.,"Thamel,","00977-1-444162016914019,00977-9841319835,"
Next Generation World,"Kathmandu Mall, P.O. Box: 24678, Ktm,","00977-1-4150066+977 01 4469417,,"
Raindrops Creation,"Lazimpat,","9849167154+977 9801842333,9849167154,"
Young Innovations Pvt. Ltd.,"Pulchowk, P.O. Box: 9876 EPC 241,","00977-1-2291892+977-1-5536093,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Best Nepal Pvt. Ltd.,"Thamel,","00977-1-47008080097714426808,,"
Vertex Solution Inc,"Puspalal Path,","9841238560+977-1-4381826,9851238565,"
CMS Nepal (P.) Ltd.,"Bhotahity, P.O. Box: 10302,","00977-1-4250508+977 9851062974,,"
e-Zone International,"New Baneshwor, Opposite of BICC West Gate No.2,","+977-1-44830884494072,9802026676,"
Weblink Nepal IT Institute Pvt. Ltd,"Bagbazar, P.O. Box: 21466, Ktm,","00977-1-4248668+977 980 1114897,00977-9841506331,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
E-Signature Pvt. Ltd,"Chandol,","+977 1-4410178,,"
Hi Tech Solutions & Services Pvt. Ltd.,"Teku,","00977-1-42489934219334+977 980-3601598,,"
IME,"Kantipath,","42300744219467+977-1421-7600,,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
OM Networks Pvt Ltd,"Dillibazaar,","01-4435018,,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
Delta Tech Nepal,"Tinpaini, Biratnagar, Nepal,","9802753996+977 -980-4067-116,9804067116,"
Divya Technology-Accounting Software Solution,"3rd Floor Signature II, Sahid Shukra Marg, Teku ,","+977-01-4100068,,"
F1 Soft International Pvt. Ltd.,"Koteshwor, P.O. Box: 8975 EPC 2626,","00977-1-2051158+977 1 4442435,,"
Webpal Private Limited,"Koteshwor-32,","9864900900+9779801096633,,"
Hi Tech Solutions & Services Pvt. Ltd.,"4th floor, Divine Complex Kalimati,","+977-1-5389641+977-1-5389642+977-1-5389643+977-1-5389644+977-9802017029,+977-980-3601598,"
Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu ,","01-4413364,984154856098400119999803507241,"
Amsoft Technologies,"Gwarko-17, Lalitpur,","01-5007646,9841347121,"
Orangic Smart Technology Pvt. Ltd.,"Mills Area(Near of Holy Cross School), Janakpurdham,","9824890248,,"
Tech Care Infosys,"Gokarneshwor-11, Namgyal Bus Park,","+97714801214,,"
Neosphere,"New Baneshwor Kathmandu, Nepal,","977-1-5551515,,"
SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom),","+021-525285,9801005554,"
Kyrios,"Phulbari Complex - Shop No. 214, Boudha - 6,","014812782,98602402269851101667,"
BMP Infology Pvt. Ltd.,"Baluwatar Kathmandu,","01-44168169849326436,98418271959841851230,"
Slash Plus Pvt. Ltd,"kumaripati Laitpur,","015521274,,"
Web Talents Dot Net (Pvt. Ltd.),"44622, Golfutar Height, Ward No. 8,","+97714370454,+9779840679800,"
Mhuchya Technology,"Sankhamul, New Baneshwor,","01-478372001-5533268,+977 9801182170+977 9813350634+977 9843695341,"
Phoenix Solutions,"Maitidevi,","01-4425253,9851128097,"
Sheshaya Technology Pvt. Ltd,"TInkune, Kathmandu,","9851102624,9851102624,"
Silapa InfoSys,"Golkhupakha, Thamel,","4022545,9860505491,"
Ygen Software Pvt. Ltd.,"Nayabazar Pharmacy Building, 3rd Floor, Nayabazar - 8,","9806748722,9806748722,"
Creative System Pvt. Ltd.,"Putali Sadak,","+977-14428910,+977-9851088939,"
Kashyap Creative Services Pvt. Ltd.,"Chandragiri 12, Balambhu, Kathmandu,","9857072060,,"
Software Shark Tech Pvt Ltd,"chabhil,","015908389,9801333378,"
Bihani Tech Pvt. Ltd.,"Mohan Marga, New Road, Narayangarh,","977-56-571259,977-9855014140,"
Delta Tech Nepal,"Tinpaini,","9802753996,9802753996,"
NPW Software Technologies,"Shanti Nagar-34, New Baneshwor, Kathmandu, Nepal,","+9779851195784,+9779851195784,"
YarshaTech Pvt Ltd,"New Baneshwor-34,","014104226,9851202461,"
BRiGHT Office Systems Pvt.Ltd.,"Milan Chowk ,","071551318,9857030396,"
Code Sastra,"O km, Pokhara,","9817156911,9817156911,"
Dynamic IT Solution Pvt.Ltd.,"Butwal-7, Amarpath,","071-541095,9851185027,"
IIT Nepal,"Bagbazar, Putalisadak, Kathmandu,","01-4167615,9851224985,"
Technology of nepal,"itahari 5 sunsari,","9842582078,9842582078,"
Gautam Software Developer,"Bharatpokhari - 4, Kaski,","unknown,9846240788,"
Infography Technologies Pvt. Ltd,"JWAGAL,LALITPUR Kathmandu,Nepal","+977 9840143772,,"
Theme Nepal,"UN Park Lane, Jwagal, Lalitpur,","015261193,9845398624,"
www.busticketsewa.com,"Kalopool, Near Xavier College,","014474875,9841977402,"
"Hash-IT Solution,Nepal","Bagbazar-Balamarg -31,Kathmandu,","014241697014243810,9851197492,"
KesuApps (P.) Ltd.,"New Baneshwor, Kathmandu,","9800667744,9800667744,"
Planet Infosys P.Ltd,"Lalitpur, UN Park, Chakkuupath 22,","01-5261837 | 9818-333394,9851128029,"
ProActive Web Developers,"Bishalnagar, Kathmandu, Nepal,","01-4426893,98510156979851012337,"
Spica Tech,"Maitidevi 32,","9803983360,9803983360,"
AnyTech Pvt. Ltd.,"Near Sifal Ground, Sifal,","01-4465020,9841756176,"
Arnika IT Solution,"Gwarko ,lalitpur ,","015529846,9801058219,"
BRiGHT Office Systams Pvt.Ltd,"butwal , milanchowk ,","071551318,9857030396,"
Columbus Consulting Service,"Kalika Marg,Dillibazaar-29,Kathmandu,","01-4444233,9851176431,"
Free wings,"balkumari lalitpur nepal,","9843638867,9843777421,"
JSP Technologies Pvt. Ltd.,"Kailalipool, Dhangadhi-1, Kailali,","091-525040,9848444740,"
AeromaX Poultry Equipment,"Tahachal Soeltee hotel Back gate,","+977-1-4038305,,"
Alpas Technology Pvt. Ltd.,"Dhobighat,","9851151336,9851151336,"
BMP Infology Pvt. Ltd.,"Baluwatar,","+977-01-4416816,,"
Elite Infotech Pvt. Ltd.,"Kalimati,","9843306066,,"
FlawsomeTech Pvt. Ltd,"Nayabazar Sorakhutte Kathmandu,","984-9064513,,"
Optimum Futurist Pvt. Ltd.,"Saraswati Marga, Thapagaun New Baneshwor 1st Floor of Capital FM Building Behind Panchakumari Temple, Kathmandu 44600,","01-5245009,,"
Perfect Solutions Nepal,"Chitwan, Bharatpur-2, Narayangarh, Nepal,","985-505-4299,985-505-4299,"
Yantra Solution,"Milap Marg, Sanepa, Lalitpur,","+97715525768,9841077158984156033298415749559841123947,"
Argon Pvt. Ltd.,"Sanubharang, Nagarjung-2,","unknown,+977 9851244787,"
Artificial Info Tech Pvt Ltd,"kathmandu,Nepal,","014469986,9851152379,"
Busy Mind International Pvt. Ltd.,"Chabahil, Kathmandu,","014483883,9841509331,"
Credit Information System,"Jorpati,","014914646,9851113811,"
KSoft,"Baluwatar,","9802000592+977 -1442-5513,9808362580,"
NETSUITE INT'L SOFTWARE SOLUTION PVT. LTD.,"NEWBANESHWOR,","01-4620878,9841607510,"
SM Tech,"Suryabinayak - 6,","+977 9847086839,,"
Soft Cherry Pvt. Ltd.,"Koteshwor,","9860922678,9860922678,"
Analogue Inc,"Pinglasthan, Gausala,","9860793050,,"
Creatu Developers,"Amrabati Marga, Koteshwor,","015147238,98510876729851123950,"
Crystal Software & Web Development (P) Ltd,"Birtamode-7, Jhapa, Nepal,","+977-23-542659,,"
Crystal Softworks,"Banepa-8, Tindobato,","9843567346,,"
GIB,"Street-01,","9864832233,,"
Hitouch Solutions,"Pulchok Chhyaybahal Hiti, Lalitpur 44600,","985-1157726,9860185447986-0398071,"
Laser InfoTech Nepal Pvt. Ltd,"Bhaisepati, Lalitpur, Nepal,","+977-1-5591381,9841554206,"
Nectar Digit Pvt. Ltd.,"Sundhara, Kathmandu, Nepal,","015904030,9864478901,"
One Zero Software Pvt. Ltd.,"ShankarNagar-5, Tilotamma, Rupandehi,","9867118072,9814477864,"
Pro Dizital Empire Pvt Ltd,"Gapali-4,Suryabinayak,","+977 9843577108,+977 9843577108,"
Smart Prabidhi Pvt. Ltd,"Padam Road, Power House,","+97751525771,+9779802940006+9779802940005+9779802969093+9779802969094,"
Sofsee Tech Pvt Ltd,"Street-01, Freeline ,","9847147197,9848730330,"
Tech Sanjal,"Birtamode ,","9824068616,,"
Wishers Tech,"Gwarko,","984-9115858,,"
BIC Technology- Tigg,"Manbhawan, Lalitpur,","+977 9801236610,,"
Buddha Innovations Tech,"Horizonchowk, Butwal,","+977-9843698970,,"
Coral Cliff Solutions,"New Baneswor - 31,","9841566384,,"
Geeky Nepal,"Pipra,","9845450319,,"
LogicaBeans Pvt. Ltd,"Lal Colony Marga, Kathmandu,","+977 9801022389,,"
Softweb Nepal PVT.LTD,"Dhangadhi Kailali Nepal,","984875331398017026119848467762,984875331398017026119848467762,"
Sursa Technology,"Budhanagar,","9851242495,,"
SWS Ltd.,"Sanepa,","977 15012644,,"
Thecoffeecoders,"COHED Road,","9817059822,,"
Tree Technology Pvt Ltd,"Dillibazaar,","01-4443941,9851176431,"
Valley Vision Computer Training Center,"Bagar-1, Infront of Sankrit Secondary School or Near of District Education Office,","061-539594,9846113272,"
Augmented Tech,"Samjhana Chowk, Biratnagar, Nepal,","021532998,9842044452,"
BigoInfotech pvt. ltd.,"Chakupat,","015260867,9851208437,"
Dynavativ Pvt. Ltd.,"65, Indrayani Marg, Gyaneshwor,","4420122,9851154105,"
Ingenious Solution,"Mahendra Pool,","97761535661,9779856022270,"
IT Revolution Pvt Ltd,"Bagbazar,","9843152556,9843152556,"
Revol-Tech Nepal,"Katunje,Sallaghari,","+977-1-6617807,9851137176,"
Spiny Ware,"Hattigauda,","9867813844,9867813844,"
WWW and Software Nepal Pvt.Ltd.,"Putalisadak, Shankardev Marga, Kathmandu, Nepal,","01-4168211,01-4168211,"
Adex International,"Bagmati,","+977 9801832778,,"
Aspark Systems,"Bagmati,","+9779820805601,,"
Atom Creative Studios Pvt.Ltd,"Lazimpat, kumari mai marg,","unknown,+9779840056477,"
Bitsbeat,"Bagmati,","+977 9808588164,,"
