Name,Address,Telephone
Online Saathi,"Koteshwor, Kathmandu, Nepal,","+977-01-5147281,9812370139,"
Janaki Furniture - Janaki Steel Industries,"Biratnagar, Lekhnath Marg 77 , Sarouchiya,","021-511931,98520221479842073906,"
Nepal Construction Mart,"Kupondole, Lalitpur,","015180320,9801188110,"
Furni World,"New Baneshwor,","01-4104367,985109219098484177159804621743,"
Janaki Homestore,"Lekhnath Marg 77, Sarouchiya,","9802809000021516055021511931,9802809000,"
New DK Suppliers,"Min Bhawan, Shanti Nagar Gate,","014622158,98510815589851075905,"
Mahaguthi Craft with Conscience,"Kupondole, Lalitpur,","552160755331975532981,,"
UNIO EXPORTS,"Thamel Center 312,Chaksibari Mark,infront of kathmandu guest house .ktm,Nepal.,","00977 14700288,009779841385232,"
Aakarshan - The Furniture Shop,"Maharajgunj, Narayangopal Chowk,","014720908,9851063145,"
Home Zone Furniture & Furnishing,"Bhanu chowk, Janakpur,","041229019,9800800008,"
Janapur Furniture Centre,"Bhanu Chowk,","041590000,,"
Janaki Homestore,"Lekhnath Marg, Sarouchiya (West Of Mahabir Chowk),","unknown,98028090009852073906,"
SB Furniture,"Lagankhel, Lalitpur,","+97715540747,,"
Arun Furniture Udyog,"madhumara-11, jaya nepal chock,","021526523021527847,984213733798520333379842068606,"
BIKASH SURGICAL CONCERN PVT. LTD.,"Tripureshwor,G.P.O. Box:11982,","+977-1-4261897+977-1-4268429+97-1-4268542,,"
Muskan Interior Pvt. Ltd,"Head office kamladi (opposite of kathmandu plaza) sub branch (santinagar),","014420691,00977-98510365079841411807,"
shakshi traders,"imadol-6,","15202855,9851113243,"
RICH INTERIOR PVT. LTD.,"Pushpalal Path, Dhalko Link Road,","015351178015351187015365840,9851025042,"
Siddha Baba Furniture Udhyog,"Banshi Chowk,","9854021210,,"
Rahul Funiture Industry,"Beldangi Road, Nearby LifeLine Hospital,","9842649889,9806087122,"
SHAN FURNITURE UDHYOG,"JGHF+QC5,","unknown,+977 984-1030577,"
S R International pvt. ltd.,"Nikosera, thimi, Bhaktapur,","9843317867,,"
Alternative Furniture Industry,"Bansbari, P.O. Box: 1449, Ktm,","00977-1-437178943713814372381,,"
Durge Shree Furnitures,"Kamalpokhari,","00977-1-4422436,00977-9851072105,"
FINE INTERIORS N EXTERIORS,"Kupandole, Lalitpur","21133125555033,,"
Furniture Land Store,"Blue Star Complex, Tripureshowr, Kathmandu, Nepal,","+97714224797,,"
HOMEMAKER PVT. LTD.,"Lalitpur,","552471955232355535599,,"
Eldon Furniture Industries,"New Baneshwor,","00977-1-47814034782864,,"
Himal Metal Industries,"Tathali,","00977-1-66135022133523,00977-9741331633,"
Nepo Furnishing Industry,"Narayanghat,","520772,9855057515,"
NEST FURNITURE UDYOG,"New Road,","061537723,9856047222,"
Annapurna Interiors Pvt. Ltd.,"Nayabazar, P.O. Box: 23946, Ktm,","00977-1-4358611,00977-9851030616,"
MAHANKAL FURNISHING CENTER,"Chabahil,","985117028098496711719841197262,9851170280,"
Suman Furniture,unknown,"023-580196,,"
Suman Furniture Udyog,unknown,"023-580196,,"
Bira Furniture,unknown,"00977-1-2361113-8,,"
Comfort Care Pvt. Ltd.,"Lazimpat, P.O. Box: 19199, Ktm,","00977-1-44402684440276,,"
Decoron The Iron Furniture Showroom,"New Baneshwor, P.O. Box: 339, Ktm,","00977-1-478154347835444242093,,"
DECORON/ S.L. INT'L TRADE CONCERN,"Bijulibazar,","478154347835444242093,,"
DENTMART INTERNATIONAL PVT. LTD.,"Hattisar,","44365444436806,,"
Emporios Pvt. Ltd.,"Teku,","00977-1-41045224104523,,"
EMPORIOS PRIVATE LIMITED,"Teku,","41045224104523,,"
Furniture 2000 Pvt. Ltd.,"Thapathali, P.O. Box: 363, Ktm,","00977-1-20141216630109 (Fac.),,"
Furniture Point,"Rabi Bhawan,","00977-1-42726664278866,,"
GEOSURVEY-SCIENTIFIC CONCERN,"Kupandole, Lalitpur","55417229851124013,,"
GREAT FINDS,unknown,"4226151,,"
Jaya Furnitures,"Dilli Bazar,","00977-1-441316944305234780652,,"
Jaya Furnishers,"Dilli Bazar, P.O. Box: 1292, Ktm,","00977-1-44131694430523,,"
Lalit Metal Welding Works,"Kopundole, P.O. Box: 10039, Ktm,","00977-1-55208035521803,,"
Metawood Furnitures,"Tripureshwor, P.O. Box: 19585, Ktm,","00977-1-4260481,,"
National Institute for Technical Studies,"Kushunti,","5551874,,"
NEST FURNTURE PVT. LTD.,"Tinkune,","44643234461143,,"
Pacific Furnitures,"New Baneshwor, P.O. Box: 19585, Ktm,","00977-1-47818174780280,,"
Raunak Kastha Udhyog,"Dhapasi,","00977-1-43811334383169,,"
S. TRADE HOUSE,"Baneshwor,","44905444490543,,"
STUPA HOUSE,"Buddhanagar,","4477294446508344820185555590,,"
Tibet Furniture,"Boudha,","00977-1-44825674478713,,"
TRISHUL AGRI TOOLS AND ENGINEERING PVT. LTD.,"Jorpati,","2151557,,"
B. T. C. PRIVATE LIMITED,"Pulchowk, Lalitpur","55201875539711,,"
Furniture Gallery,"Jawalakhel,","00977-1-5549161,,"
AASTHA TRADING,"Bagbazar,","42512649751000677,,"
Akarshan Wrought Iron Furniture,"GPO: 14273, Ktm, Kupondole,","55450554274615,,"
Bloom Furniture Boutique,"Basundhara, P.O. Box: 4686, Ktm,","00977-1-43569139851021346,,"
ECO PARQUET AND DECORATOR PVT. LTD.,"Hattisar,","44455894363985,,"
Karuna Steel Workshop,"Dillibazar Oralo, P.O. Box: 11720, Ktm,","00977-1-44341814434581,,"
L Environmental Arts and Design Pvt. Ltd.,"Jhamsikhel-4, Lalitpur","977-1-5531954,,"
NATURAL FURNISHING PVT. LTD.,"Lazimpat,","44367379851075066,,"
Nest Furniture Pvt. Ltd.,"Jadibuti, P.O. Box: 8951, Ktm,","00977-1-49922144992996,,"
RS Interiors Pvt. Ltd.,"Basundhara, P.O. Box: 4686, Ktm,","00977-1-43569139851021346,,"
Vishwo Kastha Udhyog Pvt. Ltd.,"Kamaladi,","00977-1-4414188,,"
Boon Furniture and Design,"Dhapashi,","00977-1-2435300,00977-9851030616,"
OM PARQUET PVT. LTD.,"Kamaladi,","20020934416981,9851123030,"
Swornima Kasthakala Wood-Carving,"Balambu-2,","00977-1-4311781,00977-9841355447,"
Alfa Furniture Ind.,"Sukedhara, P.O. Box: 19603, Ktm,","00977-1-43756754375775,,"
ALFA FURNITURE INDUSTRY,"Sukedhara,","4375675,,"
AMBIENCE LIFE STYLE PVT. LTD.,"New Baneshwor,","47810714781072-73,,"
Bagmati Moulding Industries (P) Ltd.,"New Road, P.O. Box: 4028, Ktm,","00977-1-42252154243215,,"
Bagmati Moulding Industries (P) Ltd.,"Teenpainy,","522780524327,,"
Bigee Iron & Steel Industry,"Patan Ind. Estate, P.O. Box: 510, Ltp,","00977-1-55256405524153,,"
Bira Furnitures,"Kupondole,","00977-1-5555033,,"
CLASSIC THE FURNISHING CENTER,"Kamaladi,","0162040834218117,,"
DEEP FURNISHING CENTER,"New Road,","520884525695,,"
Dreams The Furnishing Centre,"Putalisadak,","00977-1-4432020,,"
Durge Shrre Furnitures,"Kamal Pokhari,","44224369851072105,,"
DURBAR D,"Teku,","4260040,,"
Furni Touch Pvt. Ltd.,"Thapathali,","00977-1-4212638,,"
Furniture Classic,"Teku,","00977-1-422220142203064260040,,"
GHL INDUSTRIES PVT. LTD.,"TPG Road,","4220549,,"
G4 Overseas Trading Pvt. Ltd.,"Thapathali,","00977-1-4212638,,"
Himal Metal Industries,"Putalisadak,","00977-1-4223075,,"
House of Interiors,"Baluwatar, P.O. Box: 8956, Ktm,","00977-1-44264294417062,,"
J. B. TRADERS AND SUPPLIERS,"Maitidevi,","4411052,,"
KALPANA AND KISHAN TRADE AND SUPPLIERS,"Bishalnagar,","44387799851040112,,"
KANTIPUR KITCHEN EQUIPMENT PVT. LTD.,"Sitapaila,","42837814302305,,"
KATHMANDU ENTERPRISES AND TRADE LINK,"Guchhatole,","4246673,,"
Koseli Steel Furniture Ind,"Bhrampuri,","41-524340,,"
KUSHAL INTERNATIONAL TRADING CONCERN,"Dhalayacha, Lalitpur","55346295545011,,"
Life Style Design & Decor,"New Plaza, P.O. Box: 3381, Ktm,","00977-1-4425402,,"
LIFE STYLE DESIGN AND D,"Putalisadak,","4425402016213012,,"
MAA TRADING CONCERN,"Maharajgunj,","4721174,,"
MEGA ENGINEERING SALES AND SERVICE PVT. LTD.,"Kamaladi,","4223282,,"
MENAKA ENTERPRISES PVT. LTD.,"Thapathali,","42606749851036917,,"
NEPO FINISHING INDUSTRIES,"Narayangadh, Chitwan","520772525888,,"
