Name,Address,Telephone
AIT Amy's IT P.Ltd.,"Bu.Na.Pa.10 (Aakashedhara),","01-4812854,985113143498011470269845022780,"
Garud International Pvt Ltd,"Jana Marga, Kathmandu,","+977-1-4015771|+977-1-4015772/74/75,9801173025,"
ROADMAP TRAFFIC SAFETY,"Ramkrishna Nagar, Sodepur, Kolkata- 700082,","03324021157,+91 7686965505,"
Technotronic Solution Pvt. Ltd.,"Naya Marga,","9779845288888,9845288888,"
Nepal Fire and Safety Solutions Pvt. Ltd,"Teku-12, Sahidsukra Marga,","01-4100037,+977-9803662800,"
"Ningbo Tower Industrial Co.,Ltd.","Wangchun Industrial Park, Ningbo, China","0086-574-87597901,,"
PACIFIC COMMERCIAL CO. PVT. LTD.,"Putalisadak,","44305254431525,,"
EKTA ENGINEERING AND MARKETING PVT. LTD.,"Tripureshwor,","42787819851022039,,"
H.G. ENT. PVT. LTD.,"Koteshwor,","460067446011722050100,,"
INCO PVT. LTD.,"Kalikasthan,","44319924433045,,"
ROSHAN BUSINESS ENTERPRISES,"Old Baneshwor,","44620362002033,,"
SECURITY SOLUTIONS,"Kupandole, Lalitpur","5552637,,"
WORLDWIDE TRADING CO. PVT. LTD.,"Lazimpat,","44125474415647,,"
PAREEK FIRE FIGHTING SUPPLY,"Anamnagar,","4770342,,"
