Name,Address,Telephone
Prudential Services and Trading Pvt. Lt.,"chabahill,","01-4484776,98404686189842211970,"
Nepali Dhobi Pvt. Ltd.,"Gairidhara,","9803615075,9863328470,"
Chamkilo,"Natole - 21, Pulchowk Gabahal Road,","9801199866,9801199866,"
Smart Cleaning,"Khusibhu,","014361839,9841706122,"
WECLEAN,"RAJMARGH CHAURAHA , DWARIKA HALL BUILDING,","9844180292,9827428202,"
Drainage and septic tank cleaning service,"Koteshowr chabahil ,","9851273176,9851273176,"
Bluebird drycleaners,"Tripura marg,","+9779846675167,98130247509846675167,"
Brightop Dry Cleaner,unknown,"00977-1-66147666612219,,"
My Shop Dry Cleaners,"Ramshah Path,","00977-1-4221343,,"
Everest Laundry Service,"Thamel,","00977-1-44126704359438,,"
My Shop Dry Cleaners,"Baneshwor,","00977-1-2102059,,"
My Shop Dry Cleaners,unknown,"00977-1-6630231,,"
My Shop Dry Cleaners,"New Road,","00977-1-4231133,,"
ROYAL DRY CLEANERS,"Chabahil,","4480704,,"
MY SHOP,"Putalisadak,","4221343,,"
Triyuga Washing Industries,"Tilganga, P.O. Box: 6444, Ktm,","00977-1-44723294474140,,"
Band Box Dry Cleaners (P) Ltd.,"Kalimati (Fac.),","00977-1-42715024285543,,"
Band Box Dry Cleaners (P) Ltd.,"Kamaladi (Branch Off.),","00977-1-4232288,,"
Band Box Dry Cleaners (P) Ltd.,"New Road,","00977-1-42284434271502,,"
Band Box Dry Cleaners (P) Ltd.,"World Trade Center,","00977-1-16910764,,"
BAND BOX DRY CLEANERS PVT. LTD.,"Kathmandu Plaza,","4232288,,"
Bhat Bhateni Dry Cleaners,unknown,"+977-1-4437692+977-1-4414636,,"
Clean Wash Laundry,"Dhobichour,","00977-1-4255258,,"
Crystal Dry Cleaners,"Thamel,","4440480,,"
Deena's Shop,"Jawalakhel,","00977-1-55291295530656,,"
Ever Shining Laundry Service (P) Ltd.,"Birauta,","528812,,"
Fairy Dry Cleaner,"Kalimati,","00977-1-4270233,,"
FAIRY DRY CLEANERS,"Kalimati,","4270233,,"
HIMALAYAN NEW DRY CLEANING,"New Bus Stand,","4414612,,"
1 Hour Laundry Service,"Thamel,","00977-1-4416130,,"
Kantipur Electro Dry Cleaners & Laundry,"Naxal,","00977-1-4437101,,"
KTM DRY CLEANERS AND 1 HR LAUNDRY SERVICES,"Paknajol,","4252219,,"
Laundry & Dry Cleaners,"Tahachal,","00977-1-4283942,,"
My Shop Dry Cleaners,"Kumaripati,","00977-1-5532241,,"
My Shop Dry Cleaners,"Boudha,","00977-1-2140880,,"
Nawa Durga Laundry & Drycleaners,"Jaya Bageshwori,","00977-1-44866804486581,,"
Neat & Clean Laundry Service,"Naya Bazar,","00977-1-4358359,,"
New Dry Cleaners,"Maharajgunj,","00977-1-47201114720485,,"
PAHUNA GHAR,"Surkhet Road,","522358526023,,"
PASHUPATI DRY CLEANERS,"Rangeli,","525836,,"
Pipal Laundry,"Nagpokhari,","00977-1-4434703,,"
Professional Dry Cleaners,"R. B.Complex,","00977-1-42401634270653,,"
Professional Dry Cleaners,"Kuleshwor,","00977-1-2004191,,"
Public Dry Cleaners,"Anamnagar,","00977-1-4269827,,"
RAM JANAK LOUNDRY SERVICE,"Paknajol,","4425541,,"
Shree Nagar Dry Cleaners,"Sundhara,","00977-1-4255430,,"
SHRESTHA P. R. ENTERPRISES,"Basundhara,","4362589,,"
SNOW WHITE DRY CLEANERS AND LAUNDRY,"Bouddha,","4485179,,"
SNOW WHITE LAUNDRY,"Kathmandu,","4416570,,"
SUN RISE DRY CLEANERS,"Maitidevi,","4419569,,"
SUPERSHINE LAUNDRY AND DRY CLEANERS,"Paknajol,","4413939,,"
SURYA DRY CLEANERS,"Dillibazar,","4411104,,"
The New Drycleaners,"Maharajgunj,","00977-1-47201114720485,,"
Welcome Dry Cleaners,"Sonapur Fac,","540266540116,,"
Excellent Dry Cleaners,"Lazimpat,","unknown,,"
