Name,Address,Telephone
Global Adventure Trekking,"44600 Chakshibari Marg,","97714700356+977 1 4700355,9841485631,"
Nepzy,"A One Technology Pvt Ltd, 3rd floor, Alliance tower Dilli Bazzar,","4426684,9801246776,"
Doko Recyclers Pvt Ltd,"Sanothimi,","+977-9851115974+977 9802071515,+977-98511159749818176065,"
Metro Pest Control Service,"Dhapasi,","9818679752,9863553355,"
Modern Cleaning,"Balkumari-9,","977-1-5186684 5186681,9801084561 9801084563,"
GREEN TREE Developers Pvt. Ltd,"Sanepa, Lalitpur,","015261062,9801167224,"
Janaki Furniture - Janaki Steel Industries,"Biratnagar, Lekhnath Marg 77 , Sarouchiya,","021-511931,98520221479842073906,"
simrik Real Nepal Treks & Expedition (P) Ltd,"Nagarjun2, Gairigaun,","+977-14891126,009779741032866,"
Tesla Air Conditioner,"Saibaba Marg,Banasthali,","+977-1-4387745+977-1-4356446,+977-9801164367,"
Atrium Designers and Builders Pvt. Ltd.,"Anamnagar Kathmandu Nepal,","9851164971,9841641971,"
Nepal kagaj stationery,"Yangal Colony, Yangal Chowk To Jaisidawal Road Purano Badhkeko Durbar, Near Om bhal,","42588034250181,9808167207,"
Mac Support Pvt.Ltd,"kathmandu Nepal,","9808612382,9808612382,"
Global Trade Solutions & Suppliers P.ltd,"Baluwatar Infront Shivapuri School,","014419629,9851177194,"
EK CALL HOME SOLUTIONS,"Matepani -12, opposite to Hill Point High School,","061-528333,9856035404,"
Bridge Education Hetauda,"Hetauda-4, School Road,","9855014172,,"
Axis Investment and Development Pvt. Ltd.,"Gairigaun, Tinkune,","014494183,9851134183,"
Easy Facilities Pvt. Ltd.,"Jarebar,","+977-61-467330,9856026233,"
Furni World,"New Baneshwor,","01-4104367,985109219098484177159804621743,"
KEYSTONE TRADING HOUSE PVT. LTD.,"Bhat-Bhateni - 5, Kathmandu, Nepal,","977 1 444 0 444,9851224462,"
Apollo Paper And Allied Industries,"Tinthana, Chandragiri,","9851109786,9851079385,"
B.R.B. Management Service Pvt. Ltd.,"Mahadevsthan Marga-32, Koteshwor,","01-4600105,9849027448,"
Concept Vision Hospitality Services Pvt.Ltd.,"Kalanki-14,","+977 14277401,+977 9851101205,"
HerChaha,"Chandragiri - 3, Thankot,","9880775724,9880775724,"
MT International pvt ltd.,"gongabu, 7 Kathmandu Nepal,","014386890,9851092239,"
Namaste De Cargo Pvt. Ltd.,"Thamel Kathmandu Nepal,","014223989,9851148116,"
Vicky Stationers,"Bhedasingh,","00977-1-42215014244299,9851060602,"
Hello Stationery,"Mahendra Pool,","061527334,9856020710,"
Biz Serve Pvt. Ltd.,"6th Floor, Sunrise Biz Park, Dillibazar,","014413535,,"
Subha Engineering & Aircon Pvt. Ltd.,"Sanepa, Ringroad, Lalitpur,","00977-1-444595044459492297009,98412671009851065260,"
Aakarshan - The Furniture Shop,"Maharajgunj, Narayangopal Chowk,","014720908,9851063145,"
Chitwan Kangaroo Education Foundation Pvt.Ltd.,"Bharatpur 04 , Lions chowk, Charan Tower level 5,","056572064,9855064522,"
Home Zone Furniture & Furnishing,"Bhanu chowk, Janakpur,","041229019,9800800008,"
Quick Best Cargo Pvt. Ltd.,"Panknajol-16,","01-4255159,+9779849410924+9779808543429,"
Swiss International Hotel Sarowar,"50087, Nairobi,","+977 61 463 037,,"
JST Corp Pvt Ltd,"Kupondole Height, Lalitpur,","+977 9818849361,,"
JST Supplies,"Kupondole Height, Lalitpur,","9818849361,,"
Kathmandu lawyers & company Pvt.Ltd,"Hanumansthan, Anamnagar, kathmandu,","014426830,9851194029,"
SB Furniture,"Lagankhel, Lalitpur,","+97715540747,,"
SM Tech,"Suryabinayak - 6,","+977 9847086839,,"
Total Home Packers & Movers,"Rohtak Road, Panipat, Haryana,","09041421444,9316053563,"
Tourist Link Treks & Expedition Pvt. Ltd,"Narsing Chowk, Thamel ,","00977-4249624,00977-9851268523,"
Anmol Stationery & Computer Accessories,"Jawalakhel,","00977-1-55-44-55-155400575523658,984159-36-48,"
Himal Stationery & Paper Products Ltd.,"P.O. Box: 86, Birgunj,","521313525513523413,9855022540,"
Muskan Interior Pvt. Ltd,"Head office kamladi (opposite of kathmandu plaza) sub branch (santinagar),","014420691,00977-98510365079841411807,"
Renko Pen Mfg Ind,"Panitanki, Tinpaini,","+977-21 463547+977-21 463509,+977-9852-026-279,"
Agni Enterprises,"Ravibhawan, Kathmandu, Nepal.,","+977-1-523463052346315234632,+977-98510240949801024094,"
Eversafe Nepal Pvt. Ltd.,"Ravibhawan,","00977-1-523463052346315234632,00977-98510240949801024094,"
Muin International Pvt. Ltd.,"Kupondole,","+977 1 2239988,+977 9851068979,"
Nabbu International Trading Concern,"Sinamangal,","4574194,9801163637,"
RICH INTERIOR PVT. LTD.,"Pushpalal Path, Dhalko Link Road,","015351178015351187015365840,9851025042,"
Sagar Distribution Pvt.Ltd.,"Building No. 623, Master Marga Kalanki (Way to Syuchatar), Kathmandu, Nepal,","+977-1-5218008,,"
Churiya Mai Enterprises,"Nagwa-16, Birgunj, Parsa, Nepal,","9845096611,9845228673,"
i T Care Solution,"Putalisadak,","014260577,9802062723,"
Peekay Impex Enterprises,"13/924 Chhetrapati ,","00977-1-4216250,,"
sah technology pvt. ltd.,"baneshwor chowk,","014780466,9807849343,"
Victoria Cargo Pvt. Ltd.,"Paknajol Chowk, Thamel,","977-1-4701710,,"
Windor UPVC Industries - Best UPVC in Nepal,"Zero Kilometer, Malepatan,","+977-61-525771,+977-981-3183405,"
