Name,Address,Telephone
Laxmi Confectionery Udyog,"Sangam Chowk,","520876,,"
Annapurna Foods,"Lahan-3 Siraha Nepal,","033560128,9852833024,"
Jyoti Equipments Pvt Ltd.,"C-4,Metro Bajar Near Nangloi Metro Station ,","9968336244,9968336244,"
NOCHINI Pvt. Ltd.,"Thamel ,","9808980015,9851076401,"
Warsi Foods,"Bhairahawa, Rupandehi, Nepal,","+977-71-522372,+977-9847451897,"
The Beekeeping Shop,"Manbhawan, Lalitpur, P.O. Box: 12730, Kathmandu,","00977-1-5547278,,"
Orchid Food Pvt. Ltd.,"Dadhikot-3, Bhaktapur,","977 014212463,,"
Sarawagi Group,"48/57,, Khadya Bazaar Marg, Balkhu - 14,,","9802069589,,"
Sancheti Tea,"Kathmandu, Nepal,","021516882,,"
Justnep,"Munibhairab Marga, Tinkune, Kathmandu, Nepal,","01-5199731,980188158898018815839801881590,"
SKYTECH INDUSTRIES,"Budhanilkhantha Road, Kathmandu, Nepal,","9968336244,9968336244,"
Himal Farm,"Khumaltar, Lalitpur,","00977-1-5230579,,"
OM KHADYA UDYOG,"PADAM ROAD, ALAU-7, BIRGUNJ, NEPAL,","+977 9802775540,+9779855022711,"
PURNIMA FOODS Industries pvt.ltd,"Hetauda-3, Makawanpur. NEPAL,","+977-57-526790,+977-9851030833,"
PURNIMA Agro Mills pvt.ltd,"Hetauda-3, Makawanpur, Narayani, NEPAL,","+977-57-526790,+9779845027341,"
Kamdhenu Agro Products (Adity Peanuts),"Satungal,","9851067275,,"
Mirmire Khadya Udhyog,"Bhandara-1, Chitwan-Nepal,","0556-550095,,"
Sarawagi Group,"Kali Gandaki Path - 9,","9802069589,,"
Shikhar Organization Ltd.,"Bansbari, Ward No.-03, Maharajgunj,","014371421,,"
EVEREST SUGAR AND CHEMICALS IND. PVT. LTD.,"New Road,","42410094240934/5,,"
KG Enterprises,"Delhi,","+919211723444+919818445305+919717019659,+919211723444+919818445305+919717019659,"
VINAYAK EXPORTS,"Chamunda Estate, Ahmedabad","91-79-2584271225842713,,"
Sr tiffin point,"birgunj,","9801569972,9801569972,"
LUMBINI SUGAR INDUSTRIES PVT. LTD.,"Tahachal,","42734014273402,,"
