Name,Address,Telephone
Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki,","061526092,985602609298028311339802831134,"
Garud International Pvt Ltd,"Jana Marga, Kathmandu,","+977-1-4015771|+977-1-4015772/74/75,9801173025,"
SQUARE TECHNOLOGY PVT. LTD.,"Munal path (Above Yamaha Showroom),","+021-525285,9801005554,"
Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal ,","+9779855038080,+9779801716000,"
Pokhara Total Facility Management Company PVT.LTD,"Naya bazar 9 pokhara,","061537565,9856034998,"
Singh Solutions P. Ltd.,"New Road,","01-4231572,+977-98510899879801089987,"
Software Shark Tech Pvt Ltd,"chabhil,","015908389,9801333378,"
Global Security and IT Solutions,"Janaki Nagar-7,","9810067321,9810067321,"
Planet Infosys P.Ltd,"Lalitpur, UN Park, Chakkuupath 22,","01-5261837 | 9818-333394,9851128029,"
Wholesale Bazaar Pvt. Ltd.,"Kathmandu,","98077770779819999099,9807777077,"
E3,"Teku, Kathmandu, Nepal,","9779841473665,9779841473665,"
Muin International Pvt. Ltd,"Jwagal, Kupondole, Lalitpur, Nepal,","01-2239988,9851068979,"
Ipak International Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal,","01-4620262,9813702804,"
Mahalaxmi Power Enterprises,"Imadole-6 , Lalitpur,","01-5203435,9851166928,"
Falcon Eyes Export Import Pvt. Ltd.,"Baluwatar,","00977-1-44251714432509,,"
Gateway Suppliers,"Buddhanagar-10, Kathmandu, Nepal,","+977-9841879354/9841480807,+977-9841879354/9841480807,"
G4S Security Services Nepal (P) Ltd.,"Ichhunadi Marg, Baluwatar-4,","+977-1-4435117+977-1-4434983,,"
Eversafe Nepal Pvt. Ltd.,"Ravibhawan,","00977-1-523463052346315234632,00977-98510240949801024094,"
G. T. INTERNATIONAL FACILITY SERVICE PVT. LTD.,"Satdobato, Lalitpur,","015555039,9849591683,"
SAGARMATHA SECURITIES PVT. LTD.,"Kalikasthan, dillibazar,","+977-1-4439315+977-14433316,,"
sah technology pvt. ltd.,"baneshwor chowk,","014780466,9807849343,"
Telematics Tech Pvt Ltd,"Sankhamul,","014784728,9802024051,"
GORKHALI YOUDHA SECURITY SERVICES PVT. LTD.,"P8JV+3JQ, Dhumbarahi Marg,","+977-1-4439683,,"
G-FORCE SECURITY PVT. LTD.,"By-Pass 16, Balaju,","+977-1-4357132+977-1-4389327,+977-9801027485,"
IT Key Pvt. Ltd.,"Gairapatan,","061538268,9856036790,"
KATHMANDU SECURITY SERVICES PVT. LTD.,"Kupondole, Kumari Marg,","+977-1-5445581+977-1-5446803,,"
Sublime International Pvt. Ltd.,"Ason,","01-4227732,98417751629841528389,"
GARUD SECURITIES PVT. LTD.,"341 Jana Marg, Lohsal, Bansbari-3,","+977-1-4015771+977-1-4015772+977-1-4015774+977-1-4015775,,"
Golden Eagle Gurkha Security Services,"Swoyambhu, P.O. Box: 3211, Ktm,","00977-1-4272634,,"
Third Eye Risk Management And Associate Pvt.Ltd.,"Kathmandu Nepal,","9867415458,9867415458,"
Nepal Security Guard Supply Service (P) Ltd.,"Kalanki, P.O. Box: 8975 EPC 1491,","00977-1-4288059,00977-9851041612,"
Home Automation Nepal,"Sanchal-2, Sanepa, Lalitpur, Nepal,","+977-1-5525717,,"
Colour Graphics,"GPO: 9349, Ktm, Tripureshwor,","426158542622679851030880,,"
Group 4 Falck Nepal (P) Ltd.,"GPO: 20423, Ktm, Bansbari,","582794,,"
GROUP 4 SECURITAS NEPAL PVT. LTD.,"Baneshwor,","44669464466947-9,,"
Himalayan Technologies Pvt. Ltd.,"Gairidhara, P.O. Box: 5385, Ktm,","00977-1-44298294443870,,"
Himalayan Guard Services Pvt. Ltd.,"Bansbari, P.O. Box: 20372, Ktm,","00977-1-43732014373202,,"
Himalayan Guard Training & Service,"GPO: 20372, Ktm, Bansbari,","43732014373202,,"
KANCHANJANGHA SECURITY SERVICES PVT. LTD.,"Mahalaxmi Sthan, Lalitpur","5544581,,"
Mahalaxmi Security Services Pvt. Ltd.,"GPO: 21263, Ktm, Gairidhara,","44276099851026538,,"
Mountain Security Service (P) Ltd.,"Sundhara, P.O. Box: 20677, Ktm,","00977-1-42216844370480,,"
MOUNTAIN SECURITY SERVICES PVT. LTD.,"Sundhara,","42216844370480,,"
Nepal Auto Entrance Pvt. Ltd.,"Kupandole, P.O. Box: 20363, Ktm,","00977-1-554524255386559851020629,,"
NEPAL SECURITY GUARD SUPPLY SERVICE PVT. LTD.,"Kalimati,","42880599851041612,,"
N. K. PRADHAN AND CO. PVT. LTD.,"Bansbari,","4372753,,"
Secure Alarms,"Kuleshwor, P.O. Box: 20912, Ktm,","00977-1-4285138,,"
S. S. Trade Inc (P) Ltd.,"New Road, P.O. Box: 3982, Ktm,","00977-1-4252385,,"
Uniphone Telecom Industries,"New Baneshwor,","4784177,,"
Valley Security Service Pvt. Ltd.,"Kalimati,","00977-1-42767974310153,,"
Amala International,"Naxal,","00977-1-44342604433940,00977-9841570548,"
Everest Security G.S. Pvt. Ltd.,"Satdobato, P.O. Box: 20866, Ktm,","00977-1-55469285545785,00977-9851063608,"
"First Aid Nepal Pvt, Ltd.","Anamnagar,","00977-1-4463034,00977-9841726358,"
Citadel Fire Aid Technologies (P) Ltd,"253/A, 1st Floor, Shahapur Jat, Khelgaon Road, New Delhi","091 11 65661462,,"
Far East Security & Worker Service (P) Ltd.,"GPO: 13413, Ktm, Baluwatar,","4416806,,"
N. K. Pradhan & Co. (P) Ltd.,"Baluwatar, P.O. Box: 977, Ktm,","00977-1-44419274441773,,"
Securitek International,"Anamnagar,","00977-1-4771901,,"
Shinetech Nepal Pvt Ltd.,"New Road,","00977-1-42514634254403,,"
Uni Solutions Pvt. Ltd.,"Maitidevi,","00977-1-2311861,,"
RELATION NEPAL SECURITY SERVICES PVT. LTD.,"New Baneshwor,","4470654,,"
Chindits Security & Allied Services Group Nepal (P) Ltd.,"Kalanki, P.O. Box: 20430, Ktm,","00977-1-427249342885599851050435,,"
CHINDITS SECURITY AND ALLIED SERVICES GROUP NEPAL PVT. LTD.,"Kalanki,","42724934288559,,"
Grand Security Service (P) Ltd.,"Tripureshwor,","00977-1-4257842,,"
GRAND SECURITY SERVICE PVT. LTD.,"Tripureshwor,","4257842,,"
Group One Security & Workers Services (P) Ltd.,"Battisputali, P.O. Box: 8975 EPC 5384,","00977-1-4480520,,"
Group One Security,"GPO: 8975 EPC 5384, Old Baneshwor,","44731124480520,,"
Himalaya E-Security & Telecom Trade,"Kuleshwor,","00977-1-42863704286704,,"
Hi-Tech Security Refreshment Institute,"Maharajgunj, P.O. Box: 19125, Ktm,","00977-1-43731104374203,,"
HI-TECH SECURITY REFRESHER INSTITUTE,"Maharajgunj,","43731104374203,,"
Kalinchowk Security Services,"Dhumbarai, P.O. Box: 12447, Ktm,","00977-1-44193804419397,,"
Kalinchowk Security Guard Supply Services,"GPO: 12447, Ktm, Naxal,","4436469,,"
KALINCHOK SECURITY GUARD SUPPLY SERVICES PVT. LTD.,"Nagpokhari,","4436469,,"
Kanchanjangha Security Services (P) Ltd.,"Mahalaxmisthan, P.O. Box: 12562, Ktm,","00977-1-5544581,,"
KANTIPUR SECURITY SERVICE PVT. LTD.,"Chabahil,","4467012,,"
Kathmandu Security Service (P.) Ltd.,"Thapathali, P.O. Box: 319, Ktm,","00977-1-41016154101620,,"
Lahure Security Pvt. Ltd.,"Koteshwor,","00977-1-46010884600972,,"
MARCOPOLO SECURITY SERVICE PVT. LTD.,"Tinkune,","2052327,,"
Mobile Security Services (P) Ltd.,"Pulchowk, P.O. Box: 13289, Ktm,","00977-1-5549619,,"
Nepal Commercial Enterprises (P) Ltd.,"Pulchowk, P.O. Box: 148, Ktm,","00977-1-552107255244765535091,,"
NINE ONE ONE SECURITY AND PUBLIC SERVICES PVT. LTD.,"New Baneshwor,","47822684782591,,"
Security Alarms,"GPO: 20912, Ktm, Kuleshwor,","4285138,,"
Shree Ram Sita Security Guard Service (P) Ltd.,"Katunje,","00977-1-2131373,,"
Shree Ram Sita Security Guard Service (P) Ltd.,"Maharajgunj,","00977-1-44199092073167,,"
Silver Security Service Pvt. Ltd.,"Minbhawan,","00977-1-44769084476909,,"
SINDHU SECURITY SERVICES PVT. LTD.,"New Baneshwor,","4780654,,"
SMART NEPLESE SECURITY PVT. LTD.,"Dhumbarahi,","4371137,,"
TASK FORCE NEPAL PVT. LTD.,"Butwal/Bhairahawa,","6999659847025778,,"
TIGER SECURITIES PVT. LTD.,"New Baneshwor,","21013282123289,,"
UNIVERSAL SECURITY SERVICE PVT. LTD.,"Chabahil,","2140856,,"
Vigilant Security Services (P) Ltd.,"Chakrapath,","00977-1-4425766,,"
VIGILANT SECURITY SERVICE PVT. LTD.,"Maharajgunj,","4425766,,"
BABA Muktinath Fabricators Pvt. Ltd.,"1st Floor, Hospital Road,","+977-1-4100235,,"
Blue Diamond Security Service Pvt. Ltd.,"Pulchowk,","00977-1-5555739,00977-9841246780,"
Nissan Security Service Pvt. Ltd.,"Rabi Bhawan, P.O. Box: 341, Ktm,","00977-1-42895934288111,00977-9851093565,"
RHINO SECURITY SERVICE,"P89W+4HV, Chahahil Ring Road,","+977-1-4373714,,"
Shree Sher Security Service (P) Ltd.,"Lazimpat, P.O. Box: 8975 CPC 352,","00977-1-4429814,00977-9851049915,"
Sudarshan Security Service Pvt. Ltd.,"Hospital Line,","+977-25-580346,+977- 9817396114,"
The Rising Traders,"Ramshah Path,","00977-1-42262614226919,00977-9851027048,"
Welltech International,"Gyaneshwor, P.O. Box: 12967, Ktm,","00977-1-44459114435815,00977-9721468628,"
AAKASH SECURITY SUPPLIERS PVT. LTD.,"Kathmandu,","4495938,,"
ALL TOP PROTECTION SERVICE NEPAL PVT. LTD.,"Basundhara,","4382935,,"
Bajra Barahi Security Service,"Patan Dhoka,","00977-1-5005544,,"
Blue Heaven Security & Work Service Pvt. Ltd.,"Dilli Bazar,","4441698,,"
Eagle Eye Security (P) Ltd.,unknown,"525446,,"
Everest With Dog Security Service,"GPO: 5701, Ktm, Maitighar,","42250239851020302,,"
FAR EAST SECURITY SERVICE PVT. LTD.,"Baluwatar,","44168064427265,,"
FISHTAIL SECURITY SERVICE PVT. LTD.,"Kalanki,","2022127,,"
