Name,Address,Telephone
Himal Hydro & General Construction Ltd.,"Bhanimandal, P.O. Box: 12268, Ktm,","00977-1-5000032+977 1-5555977,,"
Raman Construction (P) Ltd.,"Dhanusha,","521733+977 -1- 4474017,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
Essel-Clean Solu Hydropower Pvt. Ltd.,"P.O. Box: 24773, Ktm,","00977-1-4264827,,"
GOMATI SANITARY,"#28, Sungava Marg, Bhotebahal, Kathmandu.,","+97714100020,+9779801101350,"
Sutra Construction & Designers(Prefab)P.ltd,"Tinkune Gairigaon,Gauri Marg; Kathmandu Nepal,","01-6924123,9851188409985124840998498254099748936524,"
Green Design Nepal Pvt. Ltd.,"1st Floor, Shankamul Tower, Shankamul,","9851120343,9851120343,"
Nabil Construction (P) Ltd.,"chabahil chuchepati Kathmandu ,","9851000641,9816900341,"
G.A Builders (P.) Ltd. (Former G.A. Smart Housing),"Lamingtan Marg, Kathmandu 44600,","+977-1-4537766,,"
Artwill Interior Pvt Ltd,"Kathamandu ,","9851253440,9841309009,"
Future Works Building Solutions Pvt. Ltd.,"Norkhang complex, 6th Floor, Jawalakhel,","9813390252,,"
Azad Metal engineering Pvt. ltd,"balkhu ,","014036232,+9779823087617,"
Structen Construction Pvt. Ltd.,"Kupondole,","9841470208,,"
BALKUMARI NIRMAN SEWA,"Basbari,","014018616,985115971898411444089849763076,"
Amatya Tar Jali and Steel Fabricator,"P8RJ+F9W, Chakrapath,","+977-1-4387227,+977 9851090155+977 9801090155,"
CA Construction and Consultancy P Ltd,"Sitapaila Kathmandu,","9801067615,9801067615,"
KESHARICHAND BHANWARLALL,"Near Radharaman Temple, Bargachhi,","+977-21-461127+977-21-463471,,"
Balkot Nirman Sewa,"Balkot,","00977-1-6635448,,"
J. J. MARBLE HOUSE,"Samakhushi,","4353017,9802034434,"
Lohani & Brothers (P) Ltd.,"Bharatpur-7,Krishnapur,Nepal,","00977-1-428431900977-56-524061,,"
Nepal Adarsha Nirman Co. Pvt. Ltd.,"Kuleshwor, P.O. Box: 5759, Ktm,","00977-1-42786254811612,,"
Sharma & Co. Pvt. Ltd.,"Sitapaila, P.O. Box: 1177, Ktm,","00977-1-4673001/2/3/4,,"
National Research and Development Creation,"Samakhushi-29, Kathmandu, Nepal,","+977 - 1 - 43508714350596,,"
Nepali Homework,"New Bansehwor, Kathmandu, Nepal,","9800088332,9800088332,"
Ghorahi Cement Industry,"Bagmati,","+977-1-5111147,,"
Janaki Fly Ash Brick Industries,"Sindhuli Bhittamod Rajmarg, Sinurjoda 45600,","unknown,+977-980-8213649,"
Jay Bajrang construction,"Bafal-13, Kathmandu,","9801000550,9801083664,"
Amatya Business Concern,"Thankot,","00977-1-4311096,00977-9841200912,"
Chandrajal Group,"Birendranagar Industrial Area, Surkhet,","00977-83-522380,009779858025100,"
Himalayan Builders & Engineers Co. Pvt. Ltd.,"Babar Mahal, P.O. Box: 9411, Ktm,","00977-1-42420184241276,,"
INNOVATIVE CREATEERS ARCHITECTS AND ENGINEERS PVT. LTD.,"Jyatha,","4249290,,"
Rajesh Hardwares,"2nd Floor, Bagmati Chambers, Teku, Tipureshwor,","01-4100152/4100153,9849208116,"
Siruwa Construction Company Pvt. Ltd,"Tinkune,","9851012118,9851012118,"
SKM Suppliers,"Medical Chowk , Khusibu,","9818455557,,"
Pokhara UPVC,"Pokhara-Baglung Hwy,","+977-61-526756,,"
aacbrickdamak,"Damak-6, jhapa, mechi, nepal ,","009779842156795,009779818357084,"
Dhakal Tractor Service,"Ratnanagar 18,","056-580187,9845273454,"
Samrakshyan Nirman Sewa Pvt. Ltd.,"Bharatpur 11, Hakim Chowk,","056524475,9855053675,"
BK Shrestha & Builders Pvt. Ltd.,"Ganabahal, P.O. Box: 5710, Ktm,","00977-1-42535084253478,00977-9851023133,"
ASIA PACIFIC TRADERS,"Teku,","42150754256049,,"
CE Construction Pvt. Ltd.,"Tripureshwor, P.O. Box: 1223, Ktm,","00977-1-42431204252124,,"
