Name,Address,Telephone
Grey-Hound Nepal,"Lakeside,","523093,,"
Driver Service for Care,"Sukedhara , Kathmandu, Nepal ,","9801644443,9801644442,"
TRANS HIMALAYAN EXPRESS PVT.LTD.,"Putalisadak,","+9771 44321074435513,985102061398510435695,"
Star Transport Service Pvt. Ltd.,"Sinamangal,","01 447914401 4479075,98510 6648198511 33932,"
SuperApp,"Basundhara, Kathmandu,","9803802177,,"
Kathmandu Car Services,"Rani Devi Marg, Lazimpat Road","+97714002108,+9779851036473,"
Ace Transport,"Nayabazar,","977-1-4387376/7,977-9851098143,"
Nepal Road Carrier,"Bus Park Road,","+977 81-531281,+977-985-8040456,"
sujata automobiles,"mahendra rajmarg lahan siraha nepal,","+977-33-560955,+9779801500510,"
Vehicle Consult Pvt. Ltd.,"Biratnagar, Pipal Chowk,","9851166880,9851166880,"
Kourtier Couriers (P.) Ltd.,"Nayabato, Dhobighat Lalitpur,","+977-1-5554516+977-1-5554517+977-1-5554518,,"
Raj Sahara Tour Service,"Sano Gaucharan,","00977-1-44143774440138,,"
WORLD WIDE TRAVEL AND TOURS PVT. LTD.,"Kantipath,","42682284226825,,"
YETI ENCOUNTER TRAVELS PVT. LTD.,"Kantipath,","42274234230801,,"
Buddha Air Pvt Ltd,"jawalakhel chowk, lalitpur,","+97715521015,15521015,"
HIMALAYAN TRANSPORT COMPANY PVT. LTD.,"Swyambhu,","014281857014036228,98510328579751032857,"
Greenline Tours Pvt. Ltd.,"Tridevi Marg, P.O. Box: 1307, Ktm,","00977-1-425388542575444226525,,"
Mt. Makalu Yatayat Sewa (P) Ltd.,"Kalanki (Booking Counter),","00977-1-42819724277552,,"
Sunny Travel Services (P) Ltd.,"Baluwatar, P.O. Box: 7823, Ktm,","00977-1-44321904442043,,"
Sunny Travel & Treks (P.) Ltd.,"GPO: 7823, Ktm, Baluwatar,","443219044267419851020794,,"
SUNNY TRAVEL SERVICES PVT. LTD.,"Baluwatar,","443219044267414420443,,"
Mt. Makalu Yatayat Sewa (P) Ltd.,"Gaushala (Booking Counter),","00977-1-4493757,,"
Laafa Pvt. Ltd,"Manapang 3, Tanahun,","065690420,9856040420,"
Grey-Hound Nepal,"Kantipath, P.O. Box: 4652, Ktm,","00977-1-42274234230801,,"
LAXMI USHA TRANSPORT CO.PVT. LTD.,"Khichapokhari,","42500474252912,,"
Thamel-Kathmandu Valley,"not sure,","412345,,"
AIR BUS AIR CONDITION,"Sundhara,","42666614266631,,"
Greenline Intercity Bus Service,"Lake Side,","531472,,"
Kirtipur Yatayat Sewa Co. Ltd.,"P.O. Box: 13521, Ktm,","00977-1-4330774,,"
NATIONAL TIGER TRAVELS AND TOURS PVT. LTD.,"Sundhara,","4259912,,"
SURAKSHIT PARIVAHAN,"Teku,","42694694262121,,"
MAKALU YATAYAT BUS SEWA,"Kalanki,","42819724277552,,"
KALPATARU CARRIERS,"Ganabahal,","42497304249595,,"
KARNALI TRANSPORT,"Ganabahal,","+977 1-4275891,,"
Mahakali Yatayat,unknown,"099-522491521627,,"
Nepal Road Carrier,"Bus Park Road,","unknown,+977-985-8040456,"
A. R. Vehicle Service,"Teku,","00977-1-426316820020644312866,,"
Bandevi Transport,"Dhunga Adda, P.O. Box: 841, Ktm,","00977-1-4312087,,"
Day & Night Bus Ticket Counter,"Satdobato, P.O. Box: 11938, Ltp,","00977-1-5542788,,"
Kalash Microbus Yatayat Pvt. Ltd.,"Kalanki, P.O. Box: 11430 DTO 73,","00977-1-4282125,,"
Laskus Vehicle Service,"Samakhushi,","00977-1-43525604355567,,"
L. K. Joint Transport (P) Ltd.,"Swoyambhu,","00977-1-42814254286521,,"
Remember Travels Service,"Sundhara, P.O. Box: 6767, Ktm,","00977-1-42498524249898,,"
Remember Travelers Service,"GPO: 6767, Ktm, Sundhara,","42498524249898,,"
Sagar Star Ticket Booking Service,"Thamel,","00977-1-4251497,,"
Chitwan Tiger Bus Sewa,unknown,"+977-51-524874+977-51-524047,,"
Mahakali Yatayat,"Gongabu,","00977-1-4352188,,"
Agni Yatayat Pvt. Ltd.,"Gausala Counter,","00977-1-4491823,,"
Agni Yatayat Pvt. Ltd.,"Kalanki Counter,","00977-1-42856354285633,,"
Agni Yatayat Pvt. Ltd.,"Lagankhel Counter,","00977-1-5550327,,"
Agni Yatayat Pvt. Ltd.,"Mahalaxmisthan,","00977-1-5524421,,"
Agni Yatayat Pvt. Ltd.,"Sundhara Counter,","00977-1-4267803,,"
ALPINE TRAVEL PVT. LTD.,"Ghantaghar,","521615521439,,"
ANGEL TRAVELS,"Sundhara,","4259946,,"
Anjana Overland,"Khichapokhari,","00977-1-4249629,,"
ANMOL TRAVELS PVT. LTD.,"Gaushala,","448821742682584245334,,"
Annapurna Bus Sewa,"Bus Stand,","528734,,"
ANNAPURNA TRANSPORT PVT. LTD.,"Ganabahal,","4213804,,"
A-ONE TRAVELS,"Teku,","4268322,,"
Apsara Yatayat Bus Sewa,"Dharan Road,","523332,,"
Aryatara Transport,"Ganabahal,","00977-1-4229546,,"
Aryatara Transport,"Kalanki,","00977-1-4281623,,"
Aryatara Transport,"Awa Road, Bhairahawa, Bhairahawa","525283,,"
Asian Yatayat Sewa (P) Ltd.,"Main Road,","520917,,"
BANIYA TRAVELS,"Kalanki,","4272538,,"
Bheri Anchal Yatayat Byabasai Sangh,unknown,"520736,,"
Bhootpurba Sainik Transport (P) Ltd.,"Naya Bazar,","520680,,"
BHOOTPURBA SAINIK TRANSPORT,"New Bus Stand,","520680,,"
Bipul Yatayat,"Kalanki,","00977-1-4279386,,"
Bipul Yatayat,"Teku,","00977-1-4243305,,"
Biratnagar Yatayat Sewa,unknown,"+977-1-522436,,"
Boudha Booking & Ticketing Centre,"Durbarmarg,","00977-1-4483771,,"
Budha Subba Bus (P) Ltd.,unknown,"520044,,"
Chakradev Travels,"Branch Office,","522301,,"
Chandralok Travel,"Branch Office,","523203,,"
Chitwan Tiger Bus Sewa,"Sundhara,","00977-1-42599124262213,,"
Das Bus Service,"Shreepur,","522011,,"
Deurali Yatayat Sewa,"Gwarko,","00977-1-5201224,,"
Deurali Yatayat Sewa,"Koteshwor,","00977-1-4479737,,"
Deurali Yatayat Sewa,"Sundhara,","00977-1-42499644266296,,"
Dhanju Panauti Travels,"Sundhara,","00977-1-4262313,,"
DOOARS TRANSPORT CO. PVT. LTD.,"Main Road,","520820,,"
Everest Ticket Reservation Service,unknown,"521224,,"
Gongabu Bus Park,"Gongabu,","4353030,,"
Greenline Tours Pvt. Ltd.,"Lake Side,","531472,,"
Greenline Tours Pvt. Ltd.,unknown,"580220,,"
Greenline Tours Pvt. Ltd.,"Sunauli, Bhairahawa","524758522221,,"
Guheshwori Bus Sewa (P) Ltd.,unknown,"523990,,"
Himal Yatayat Bus Services,"Dharan Road,","525893,,"
Himal Yatayat Pvt. Ltd.,"Gaushala,","00977-1-4492363,,"
