Name,Address,Telephone
High Camp Adventure,"Thamel Marg, Thamel, Kathmandu,","985-1031822,985-1031822,"
Glorious Himalaya Trekking [P]Ltd.,"Kaldhara-17,","+977 01 4365453,+977 9843760242,"
Star Adventure Asia Treks (P) Limited,"Boudha-6, Kathmandu, Nepal,","00977-1-4499244,00977-9803626021,"
Mystique Highland Resort,"Astahm, Dhital-8, Kaski,","061 696663,985603007498560707749846087761,"
Mountain River Rafting,"Thamel, Kathmandu Nepal,","09851088440,09851088440,"
Adventure West Travels,"Dhangadhi Kailali,","+977-091-520001,9814612261,"
Accessible Adventure Pvt. Ltd,"Kaldhara, Thamel,","+97714701444+9779851058702,+9779801026351,"
Alfresco Adventure Travel p. ltd,"Dabali Marg, Bhagwan Bahal Thamel,,","+9779851049483,,"
Best Trekking in Nepal,"Thamel 29,","9851213326,9860313326,"
Nature Lovers Treks and Tours,"Tarkeshwar-9,","9851244768,9851244768,"
Hotel Dream City,"Paknajol marg-16, Thamel ,","+9779849683092,,"
Exotic Mt. Treks Pvt. Ltd.,"5th floor, in front of Infinity Movies Hall, 44600,","+977 14958704,+977 9841457324,"
Four Season Mountain Trek Pvt Ltd,"Golfutar Kathmandu, Nepal,","+977-1-4371301,+977-9851073354,"
Go for Nepal Treks and Expedition,"Kaldhara Marg,Thamel,","+977 9841071401,+977 9841071401,"
Open Trail Treks,"Paknajol, Kathmandu, Nepal,","014262719,09860225686,"
Splendid Holidays Tours and Travels Pvt.Ltd,"View Tower-Baneshwor-Kathmandu,","009779811670742,009779811670743,"
Himalayan Trekkers P. Ltd,"Thamel marg-, Thamel -29,,","+97714414678,+977- 9851042334,"
Splendid Holidays Tours,"Baneshwor, Kathmandu, Nepal,","523350,9812683297,"
Unique Path Trekking & Expedition,"Thamel, Kathmandu, Nepal,","977 - 1 - 4701464,977-9851098143,"
INCENTIVE TOURS AND TRAVELS PVT. LTD.,"Lazimpat,","+977 1 4414739/ 4420413 / 4,,"
Mountain Rock Treks & Expedition Pvt. Ltd.,"Z-Street, Thamel, Kathmandu, Nepal,","+977 1 4701233,+977 9849023179,"
Shakti Treks and Expedition Nepal,"Lazimpat ,","0097714428552,009779851026424,"
Ganesh Himal Hiking Team,"Thamel,","977-14411596,+977 9851047508,"
Nepal Trekking in Himalayas,"Nayabazar, Kathmandu-16,","014385008,9851096366,"
Wind Horse Trekking,"Dhumbarahi, New Colony,","977-1-4376641,9818668917,"
BOUNDLESS ADVENTURE NEPAL,"Address:P O Box: 11670, Thamel, Kathmandu, Nepal,","9851033819,,"
Mountain Tiger Nepal Pvt Ltd.,"Kamalpokhari,","00977-1-441400044226814420644,+977 9851033087,"
WINDHORSE TREKKING PVT. LTD.,"Dhumbarahi, New Colony,","977-1-4376641,,"
