Name,Address,Telephone
HOTEL JAY VIJAY,"Sunauli, Butwal/Bhairahawa","523029,98470122119804482622,"
Retreat Serviced Apartments,"Bijeshworimarg, Swayambhunath,","977-01- 4274837,977-9801098941,"
Thamel Apartments/Hotel,"Thamel marg,","+977-1-4220353,+9779813304069,"
Hotel Dream City,"Paknajol marg-16, Thamel ,","+9779849683092,,"
Team Himalaya pvt.Ltd.,"sorakhute 16,kathmandu Nepal.,","01-4387378,9849234266,"
Future Nepal Friendship Organization,"Thamel,","9849056230,9849056230,"
Harihara Ashram Meditation Center,"Ganesthan, Gongabu,","01-4382825,9841532370,"
Future Nepal Travel and Volunteer,"Raniban,","9849056230,9849056230,"
Sagarmatha Apartment Bed & Breakfast,"Milap Road, Sanepa, Lalitpur,","+977-1-5525556,+977-9813118965,"
icicles adventure treks and tour,"nay bazar ,","+9774357622,+9779851058702,"
Splendid Holidays Tours,"Baneshwor, Kathmandu, Nepal,","523350,9812683297,"
Aaphanta Travels and Tours,"Centerpoint, lakeside,","+977-061-467054,+977-9816647729,"
Nepal Travel Guide,"Pepsicola, Swabalambi Marg,","unknown,9843397089,"
Nepal Trekking in Himalayas,"Nayabazar, Kathmandu-16,","014385008,9851096366,"
Mission Eco Trek,"Thamel,Kathmandu,","01-4442922,9851023758,"
Diani Wilderness Tours and Safaris/Logistics,"Po Box 806 , Asins shopping complex,","0726984161,0726984161,"
CROSS COUNTRY TOURS AND TRAVELS PVT. LTD.,"Naxal,","44200084415284,,"
