Name,Address,Telephone
Himal Hydro & General Construction Ltd.,"Bhanimandal, P.O. Box: 12268, Ktm,","00977-1-5000032+977 1-5555977,,"
S. W. Nepal Pvt. Ltd.,"89 Krishna Dhara Marga Maharajgunj, Kathmandu, Nepal,","4411156,9813983367,"
Arris Designs,"mahalaxmi-9,lalitpur,","015533896,9801163336,"
Shree Haratimata Drilling Company Pvt. Ltd,"Ward No. 15, Syambhu, Dallu,,","+977 01 4289363,+977 9841565636,"
Atrium Designers and Builders Pvt. Ltd.,"Anamnagar Kathmandu Nepal,","9851164971,9841641971,"
Voxel Pvt. Ltd.,"372- Hasapota Ganesh Marga Jhamsikhel, Sanepa, Lalitpur-3 Nepal,,","+977-01-5906122,+9779851108108,"
Naxalaya Pvt. Ltd.,"Jhamshikhel chowk,","05527517+977 14416543,9849102008,"
ArEiCon Architects and Engineers Consultants,"Kupondole, Jawgal, Lalitpur, Nepal,","01-5524457,9849028039,"
TriShakti Itta Bhatta Udhyog Pvt. Ltd.,"harisiddhi, lalitpur,","015250606576,9851166448,"
Mirror Technology and Training Center,"Rajmarg Chauraha,","9867763123,9863630302,"
Geospatial Innovation Solution (GIS) Pvt. Ltd.,"Chabahil-7, Gaurighat, Kathmandu,","01-41145362,9851073570,"
Medha Builders Pvt.Ltd,"kathmandu , Nepal, sankhumul,","0144786657,9851148723 / 9803545818,"
Vision engineering consultants,"ITAHARI 20,","9814358885,9862133755,"
Future Works Building Solutions Pvt. Ltd.,"Norkhang complex, 6th Floor, Jawalakhel,","9813390252,,"
PCT,"Swayambhu, Kathmandu,","9818952881,9818952881,"
Manifold Consult Pvt. Ltd.,"Sahayoginagar-32, Kathmandu,","01-4154876,98601313009860816776,"
Mega Techno & Services Group P. Ltd.,"Newbaneshwor, Kathmandu, Nepal.,","977-1-4115788,977-9851194044,"
New Shubha-Laxmi Engineering Works,"Urlabari, Morang,","+977-021541377,+9779816362468,"
Pumori Engineering Services Pvt. Ltd.,"Basanta Marg-351, Babarmahal, KMC-11, Kathmandu,","00977-1-4216034/42399839851104112,00977-98511096179851006427,"
PrefabhomesNepal,"Charkhal, Dillibazar, Kathmandu, Nepal,","01-6207568,9843715705,"
Rawa Engineering,"Bishalnagar, Kathmandu,","9843952389,9842286861,"
Sutra Construction Pvt. Ltd.,"New Baneshwor, Way to Thapa Gau,","016925009,9851195379,"
Marsyangdi Engineering Consultant and Construction,"Banasthali, Kathmandu,","9810044118,9810044118,"
RRP Survey Consults Pvt. Ltd.,"Nayabasti, Jorpati, Kathmandu,","014910475,9849875800,"
MACHHAPUCHHRE CONSULTANCY PVT. LTD.,"BP Marg, Newroad, Pokhara-9, Nepal,","521622530522,9842285622,"
Nepal Pipe Industries,"Sapahi, Dhanusha,","041-527103522272,9815877166,"
Nepal Power Solution (P) Ltd,"Palpasa road hetauda and sanepa lalitpur ,","0097757526606015530098012299766,009779855067760,"
Mastermind Engineering Consultancy,"Yeti Plaza,Bagbazar,","00977-1-4248199,+977-9851127076+977-9841469226,"
Nepal Adarsha Nirman Co. Pvt. Ltd.,"Kuleshwor, P.O. Box: 5759, Ktm,","00977-1-42786254811612,,"
Nepal Non Destructive Testing,"Balaju,Kathmandu,","9843009827,9843009827,"
Laxmi Shrestha and Company,"New Baneshwor,","01-4104345,,"
Pneumatic Vacuum Elevators Nepal Pvt. Ltd.,"Wada -4, Bishal Nagar, Kathamndu,","+97714528619+9779823487256,,"
Remodelers Nepal,"Sifal, kathmandu ,","+9779851122036,,"
DURGE SHREE FURNITURES,"kamal pokhrari,","014422436,9851072105.9803310408,"
Green Bricks,"Matepani-12,","9856035404,9861485353,"
National Research and Development Creation,"Samakhushi-29, Kathmandu, Nepal,","+977 - 1 - 43508714350596,,"
Royal Engineers and Associates,"Lahan-7,Siraha, Nepal,","+97733560851,+9779862923252,"
Sunrise Designers and Engineering Constructions Pvt. Ltd.,"Newroad,","unknown,,"
Amatya Tar Jali and Steel Fabricator Pvt Ltd,"Basundhra,","4387227,9851128750,"
Machhapuchhre Consultancy (P) Ltd.,"BP Marg, Newroad, Pokhara-9, Nepal,","521622,9856018463,"
Siruwa Construction Company Pvt. Ltd,"Tinkune,","9851012118,9851012118,"
Vertex Lifts Nepal Pvt. Ltd.,"Kathmandu, Nepal,","+977-1-4031520,+977-98510387769851238776,"
Kopiladevi construction n suppliers pvt.ltd,"lagalkhel batukbhairab,","9823267182,9848850206,"
C.A. Construction & Consultancy Pvt Ltd.,"Lazimpat,","9851176488,9848100918,"
Samrakshyan Nirman Sewa Pvt. Ltd.,"Bharatpur 11, Hakim Chowk,","056524475,9855053675,"
zoom star consultancy,"SAMAKHUSI, TRAKESWOR -18,","014026218,98417839059851010091,"
Total Station,"Banasthali,Kathmandu,","9841805187,9841805187,"
DIVERSE ENGINEERING CONSULTANCY PVT. LTD.,"Kalimati,","9803017968,9860187392,"
Engineering Construction,"Dhapasi,Kathmandu,","9843692991,9843692991,"
Engineering Incorporated,"Maharjgung, P.O. Box: 8969, Ktm,","00977-1-4423493,,"
International Engineers Group Pvt. Ltd. (IEG),"New Road, P.O. Box: 10219, Ktm,","00977-1-43586192082035,,"
National Estate Builders Co. (P) Ltd.,"GPO: 21486, Ktm, Putali Sadak,","4425335,,"
Elevator Solutions Nepal Pvt. Ltd,"Naxal ,","01 4433280,9802080880,"
Gajurmukhi Nirman Company Pvt. Ltd.,"Hakimtole,","014020014,9851041554,"
MMJ_RR's Vaastu and Engineering Consultancy,"Siddhartha Chowk,","061-528959,9856026229,"
Siddhi Sai Prakash Construction Pvt. Ltd.,"Ikhapokhari, Chhetrapati,","+977-1-4785883,,"
Construction Information Center,"Ghattekulo,","00977-1-9841373673,,"
Dynamic Consultancy & Construction Services,"W.No.13, Adarsh Nagar, Birganj, Nepal,","051-523041,9845495084,"
Shashank Engineering Suppliers,"Pepsicola Townplanniing,","9851153566,9801081066,"
Laafa Pvt. Ltd,"Manapang 3, Tanahun,","065690420,9856040420,"
Siddha Baba Engineering Workshop,"Simara (2), Gaddimai Municipality, Bara District, Narayani Zone, Nepal,","unknown,+9779845021838,"
Archen Design & Associates,"Jamal, P.O. Box: 2669, Ktm,","00977-1-422480255245249851025594,,"
Creative Engineering Consultancy,"Khairenitar, Tanahu","9856032357,9846079749,"
C. T. Designers Guild Pvt. Ltd.,"Ombahal,","00977-1-4268821,,"
Delhi Engineering Company,"S-17 badli Industrial Area, New Delhi 11004","9910002298,,"
Nepal Development Consultants,unknown,"00977-1-2064069,,"
Orient Engineering Consultancy,"Old Baneshwor, P.O. Box: 11016 KPC 144,","00977-1-4460678,,"
Shelter Engineering Consultancy,"Ekantakuna,","00977-1-5540905,,"
