Name,Address,Telephone
7S Incorporates Pvt Ltd,"Lalitpur-4, Bagdol, Lalitpur,","+977 9847 693 124,+977 9847 693 124,"
ADVOCATE MR SHITAL SUBEDI,"Lalitpur-4, Bagdol, Lalitpur, Bagmati, Province,","+977 98511 62105,+977 98511 62105,"
Divorce Lawyer Nepal,"Pepsicola, Kathmandu,","9801025303,9801025303,"
Kathmandu IP Law & Associates Nepal (KIPLAN),"Civil Trade Centre Sundhara,","9771 4212040,977 9849530970,"
Notary Public & Law Office,"Babarmahal Chowk, Kathmandu, Beside Tax Office, Way to Prashuti Marg,","4212109,984174314098511233129851047876,"
Neupane Law Associates,"2nd Floor - Central Business Park, Thapathali Road,","4101631,,"
Dhawalagigi legal Serivce,"Adittamarga Bagbazer,","9851049077,9851049077,"
KHADKA NOTARY PUBLIC-TRANSLATION,"PUTALISADAK, BESIDE SHANKARDEV CAMPUS,","977-9849008726,977-9849008726,"
Notary Public Office,"Bagbazaar (in front of Padma Kanya Campus),","9771 4219283,977 9849530970,"
Aabiskar Law Chamber,"Pokhara 17, Rastrabank Chowk,","061466957,9856032810,"
Matrika Niraula (Advocate/Legal Consultant),"Anamnagar,","00977-1-4252246,00977-9851052246,"
Lotus Law Associates,"P.O. Box: 19008, New Plaza, Putali Sadak, Kathmandu, Nepal,","00977-1-4436095,97798510 33866,"
