Name,Address,Telephone
Accessible Adventure Pvt. Ltd,"Kaldhara,","+97714254273+9779851058702,+9779846271875,"
Dream Heaven Adventure Pvt. Ltd.,"Thamel,","+97714411938,97714389321,"
High Camp Adventure,"Thamel Marg, Thamel, Kathmandu,","985-1031822,985-1031822,"
G.D.S. Fiber World,"opposit to Dudhfarm chowk,","9841872556,984187255698424010659849721102,"
Famous Gurkha Khukuri House,"Near the Hotel Radisson and Tibet, Lazimpat-2,","+977-1-4439412,+977-9851026872,"
Ex Gurkha Khukuri House,"Thamel-29,","1- 4425689,9841317812,"
Ex Gurkha Khukuri House,"Thamel-29,","977-1 4355032,98413178129851135201,"
Everest Base Camp Trek- itinerary/package cost,"GPO: 4453 Thamel, Kathmandu, Nepal,","+977-1-4252196,+977- 9841278579,"
Higher Path Treks & Expedition Pvt. Ltd.,"Kapan,","4374995,9841073728,"
Travel Times Treks P.ltd,"Thamel, P.O. Box: 8947 E 5537,","00977-1-2142826,00977-9851157461,"
Novelties International,"Durbar marg ,Woodland Hotel complex ,ward no 1,","00977-1-5328063,9843651531,"
SevenOn Tours Pvt. Ltd,"thamel,","+8138161568,+977 9813721754,"
Skyline Treks & Expedition (P) Ltd.,"14221, Kathmandu Nepal,","0097714212737,009779851065082,"
Ex Gurkha Khukuri House,"Thamel -29,","4355032,9841317812,"
Safe Holiday Adventure Pvt. Ltd,"Nayabazar-16,khusibu kathmandu Nepal,","+977 9849116284,+977 985-123-1026,"
HIMALAYAN TENT AND EQUIPMENT MANUFACTURER PVT. LTD.,"Gairidhara,","4437992,,"
YAK TREK AND MOUNTAIN GEAR,"Thamel,","4252990,,"
MOUNTAIN SPORTS PVT. LTD.,"Swayambhu,","0162116164671990,,"
MOUNTAIN HARD WEAR,"Thamel,","4411800,,"
NEPAL TENT AND TARPAULIN PVT. LTD.,"Balaju,","435653343566014350831,,"
NOMAD NEPAL TREK AND MOUNTAINEERING PVT. LTD.,"Baluwatar,","44235724425689,,"
SHERPA OUTDOOR SPORTS GOODS INDUSTRIES,"Tangal,","4416970,,"
Trade Chitwan Pvt. Ltd.,"Near Indradev Cinema, Shahid Chowk, Narayangarh, Chitwan,","unknown,,"
BISRANTI CATERING AND PARTY PALACE,"Maitidevi,","442047944906524428269,9851043236,"
MA LAXMI DECORATOR CATERING AND TENT HOUSE,"Dillibazar,","444187398510667739841237069,,"
NEPAL MOUNTAONEERING AND TREKKING SHOP,"Thamel,","42633224265400,,"
SHERPA ADVENTURE OUTLET PVT. LTD.,"Thamel,","4445101,,"
SHERPA OUTDOOR GOODS INDUSTRIES,"Thamel,","4230157,,"
SUPER EXPOR HOUSE,"Kathmandu,","44367894428585,,"
ANMOL CATERING SERVICE PVT. LTD.,"New Baneshwor,","44668614477640,,"
MERA PEAK TREKKING SHOP,"Jyatha,","4249067,,"
NEPAL MOUNTAINEERING AND TREKKING SHOP,"Thamel,","42633224265400,,"
SAGARMATHA TENT AND TARPAULIN PVT. LTD.,"Dhobichour,","441592044382254425379,,"
ANMOL BANQUET AND EVENTS PVT. LTD.,"Naxal,","44180064419392,,"
INTER-TECH TARPAULINS,"Butwal/Bhairahawa,","548147,,"
R.B. HOME CONCERN,"Jay Bageshwori,","44821564473700,,"
AASISTA KATHMANDU TENT HOUSE AND CATERING SERVICE,"Tripureshwor,","42456919851049857,,"
