Name,Address,Telephone
WINDHORSE CARPET MANUFACTURER PVT. LTD.,"Gokarneshwor-9, Attarkhel,","+977 1 4911851,+977 9803601601,"
Ananda plastic pvt.ltd,"manamaiju-8,","+9779851260072,+9779851000578,"
Bindabasini Metal Industry,"Devdaha-4,Bijayapur,Nepal,","9857057296,9821578557,"
GOPAL HARDWARE,"Main Road Opposite NIC Asia Bank, Biratnagar Branch Beside Ward Police Office,","+977-21-524497,98027001379852020957,"
Contech Concrete,"Satungal 2, Kathmandu,","97716200400,,"
Sagun Readymade Udhyog,"Buddha Marg, Ghogapulchowk, Biratnagar-9,","021-521582,98123513999804397470,"
Dimex - uPVC Window and Door Profiles,"Siyari-2, Rupandehi,","+9779857043358,,"
Grapple Arch Mines and Minerals,Jaipur Rajasthan - India,"+91 9351131834,+91 9351131834,"
International Green Developers Nepal,"Jagati, Bhaktapur Nepal,","01-5122026,,"
Nitya Traditional Tex Pvt. Ltd.,"Lubhu, Lalitpur","+977-14240422,,"
Omni Grain House,"Ghantaghar-10,","+97751200800,9855020121,"
Hindi online news,"himal,","9851166774,9851166774,"
Navin Polymer Industries Pvt. Ltd.,"Resham Kothi, Road no. 3,","9802900938,9801026614,"
SHIV SHAKTI PACKAGING PVT. LTD.,"Teku,","41000414100042-45,9802910490,"
JIBSON CEMENT TILES UDYOG,"RAJAPUR 6,DANG,","9849888441,9849888441,"
Unicorn Lubricants Pvt Ltd,"Ward No 19,","+977 52 532032,+977 9804240070,"
Holy plastic industry pvt. Ltd,"Industrial state ,nepalgunj,","081524386,,"
Unicorn,"ajshfakj,","unknown,,"
TRIVENI TOP KITCHEN INDUSTRIES,"P7HX+FJM, Sai Baba Marg,","+977 1-4387460,,"
Om bajaj perfumery,"Sanihaat,","021-515810,9801128228,"
AMAN ELASTIC TAPE UDYOG,"2WX3+H8H, Gandak Bus Stop, Tribhuvan Hwy,","+977-51-527276,,"
