Name,Address,Telephone
Helmets Nepal,"Anamnaga, kathmandu,","014268661,9802061944,"
Holidays Destination Travel and Trekking Pvt.Ltd.,"Thamel, Kathmandu,","+97714601732,+9779863197699,"
CityMotorbike,"thamel,","+977014260211,+9779843360610,"
SuperApp,"Basundhara, Kathmandu,","9803802177,,"
AMBA AGENCIES,"Tripureshwor,","4244308,9801128825,"
BikePricesinNepal,"Kalanki,","9860695751,,"
GORKHALI MOTORCYCLE WORKSHOP AND RECONDITION HOUSE,"Newroad, Kaski,","unknown,+977-9856028701,"
YETI MOTORCYCLE,"Narayangadh, Chitwan,","056571222056572177056532560,,"
Asian Motorcycle & Trading Pvt. Ltd.,"Kathmandu -29, Samakushi,","4020111,,"
Om Sairam Motorcycle Workshop,"Sankhamul,New Baneshwor,Kathmandu,","9818053045,9849147421,"
Sagun Auto Traders,"Bandipur 1, Tanahu Dumre,","065580066,9856042333,"
Yamaha Nepal,"Tripureshwor, Teku Road,","01-4268252,,"
HANSRAJ HULASHCHAND AND CO. PVT. LTD.,"Teku,","42300014261200,,"
Jay Balkumari Driving Center,"jwagal,kupondol lalitpur,","9849873605,9808107579,"
SAGUN MOTORCYCLE AUTO PARTS,"Nayabazar,","0612064519804134767,9856033381,"
SUBHA LAXMI AUTO CENTER,"Triyuga Municipality-2, Udayapur, Sagarmatha, Nepal,","035-420032,98425370009818653595,"
A.D. INTERNATIONAL,"Nayabazar,","528123,,"
DUNA INTERNATIONAL PVT.LTD.,"Khichapokhari,","4242136,,"
G.S.A. AUTO PVT. LTD.,"Tripureshwor,","42414714257458,,"
INTERNATIONAL AUTO PARTS,"Nayabazar,","537222537333535444,,"
RIDERS JOINT,"Gairidhara,","4436190,,"
SAPANA INTERNATIONAL,"Milanchowk, Butwal/Bhairahawa","545382551182,,"
SUGAN TRADING COMPANY PVT. LTD.,"Gangabu,","43558674353136,,"
AUTO WORLD,"Praharitole, Butwal/Bhairahawa","526300526100,,"
BHAIRAB AUTO MOBILES PVT. LTD.,"Milanchowk, Butwal/Bhairahawa","544549541676,,"
BUDDHA MOTORCYCLE SPARES,"Milanchowk, Butwal/Bhairahawa","6949949847028222,,"
FAST AND FINE AUTO INTERNATIONAL PVT. LTD.,"Putalisadak,","4410715,,"
NEW NEPAL MOTORCYCLES,"Nayabazar,","5256769856029330,,"
SANTOSH TRADE CONCERN,"Teku,","4242276,,"
ASIAN AUTO PVT. LTD.,"Teku,","42602354426106,,"
BHIMDHUNGA IMPEX INTERNATIONAL PVT. LTD.,"Jyatha,","42504064227337,,"
BIKE CITY,"Maitighar,","4263065,,"
NACHI AUTO INTERNATIONAL,"Kamaladi,","4231758,,"
NEPAL TRADING CONCERN PVT. LTD.,"Tripureshwor,","42611604261847,,"
RSK TRADE CONCERN,"Teku,","4232226,,"
AMIP INTERNATIONAL TRADING HOUSE,Lalitpur,"554977055434745527110,,"
A-1 MOTORCYCLE WORKSHOP SERVICING CENTER,"Narayangadh, Chitwan","5321919845045191,,"
ASHISH MOTORCYCLE WORKSHOP,"Gyaneshwor,","4412734,,"
BHAIREAV AUTO PARTS,"Putalisadak,","4424766,,"
BHAGWAN B. TRADERS,"Tripureshwor,","4240847,,"
BHAGWATI AUTOMOBILES,"Naxal,","4417049,,"
BHOMJAN AUTO PARTS CENTRE,"Bouddha,","4479104,,"
BINAYAK AUTO ENTERPRIS,"New Bus Stand,","4350461,,"
BINAYAK AUTO SPARE PARTS,"Teku,","4262142,,"
BUTWAL RE-CONDITION HOUSE,"Chauraha, Butwal/Bhairahawa","5468589857026226,,"
CHAUDHARY ENGINEERING WORKSHOP,"Mulpani,","9803155914,,"
FAIRDEAL SUPER IMPEX,"Kalimati,","4270677,,"
GANESH MOTORCYCLE RECONDITION,"Chitwan,","5306539855058210,,"
GANDAKI TRADE CONCERN PVT.LTD.,"Nayabazar,","532497522494539728,,"
GARRENTY WORKSHOP AND RECONDITION,"Shankhmul,","5535964,,"
GAURAV TRADING CIRCLE,"Dhunga Adda,","4270360,,"
GREEN LAND AUTO CENTER,"Lainchaur,","4435009,,"
ISUJU AUTO CENTER,"Kupandole, Lalitpur","50111809841322019,,"
JAIN AUTO MOBILES,"Teku,","4229015,,"
JAY LAXMI AUTO PARTS,"Lagankhel, Lalitpur","9841190895,,"
J.B. MOTERCYCLE WORKSHOP,"New Bus Stand,","4356622,,"
J.S. MOTORCYCLE PARTS,"Narayangadh, Chitwan","5703339845111426,,"
KALIMATI MO-BIKE WORKSHOP,"Kalimati,","4283271,,"
KESHU MOTORCYCLE AUTO PARTS,"Mitrapark,","44852159841586169,,"
KHUSHI AUTO,"New Baneshwor,","44604549841265604,,"
KOYOTO INTERNATIONAL,"Putalisadak,","44222844275764,,"
KUSUM MOTORCYCLE WORKSHOP,"Thahiti,","4251041,,"
LOTUS RECONDITION MOTORCYCLE HOUSE,"Butwal/Bhairahawa,","5477969857025534,,"
MAHALUXMI TRADERS,"Milanchowk, Butwal/Bhairahawa","6933399857027238,,"
M AND M MOTORCYCLE EXCHANGE SHOPPIE,"Teku,","4258793,,"
MODERN MOTORCYCLE REPAIRING WORKS,"Maitighar,","4262629,,"
MOTOR BIKE AND MOUNTAIN BIKE HIRE CENTER,"Thamel,","43603629851045818,,"
MOTOR CYCLE BAZAR,"Gyaneshwor,","4413405,,"
MOTOR CYCLE INTERNATIONAL,"Putalisadak,","4244506,,"
M.R. MOTORBIKE RENTAL SERVICE,"Thahiti,","42281119851046291,,"
M.S. MOTORCYCLE CENTRE,"Nagpokhari,","4435189,,"
NAVAKAR INTERNATIONAL,"Putalisadak,","4231433,,"
NEW SHIVASHAKTI AUTO PARTS,"Milanchowk, Butwal/Bhairahawa","2438649847024498,,"
NEW MUKESH IMPEX,"Milanchowk, Butwal/Bhairahawa","5208059847054705,,"
PARWAT RE-CONDITION HOUSE,"Chauraha, Butwal/Bhairahawa","43811598570257939847025604,,"
PASUPATI AGENCY,"Tripureshwor,","4231442,,"
POINT VIEW AUTO CENTRE,"Mid Baneshwor,","446884644882719851096096,,"
PRAJAPATI WORKSHOP AND RECONDITION,"Tripureshwor,","42434634218670,,"
RUDRAMANI AUTO WORKSHOP,"Old Baneshwor,","4490084,,"
SHAMBHU MOTORCYCLE REPAIRING CENTER,"Nayabazar,","5233229846024728,,"
SHARMA MOTORCYCLE PARTS,"Narayangadh, Chitwan","570848,,"
SHIWA MOTORCYCLE PARTS,"Teku,","42150964270648,,"
SHIDDHI GANESH SPARE PARTS,"Shankhamul,","98413792139841280610,,"
SHREE KAILASHPATI MOTOR WORKSHOP,"Chakrapath, Lalitpur","5528048,,"
SHREE KRISHNA AUTO WORKS,"Dillibazar,","44302944430612,,"
SHREE MACCHINDRA RECONDITION HOUSE,"Pulchowk,","5551529,,"
SHREE TRADE CONCERN,"Teku,","20237364230862,,"
SHREE MA BRAHMANI AUTO PARTS,"Teku,","4212397,,"
SHRESTHA MOTORCYCLE SPARE PARTS,"Nayabazar,","527398,,"
SOALTY AUTO PARTS,"Nayabazar,","5353159856026992,,"
STAR AUTO CENTER,"Lainchaur,","44255799851095897,,"
STAR GENOUN AUTO PARTS,"Nayabazar,","5275715273529846020013,,"
STAR AUTO TRADING,"Milanchowk, Butwal/Bhairahawa","5431189847047153,,"
SUMAN AUTO PARTS,"Teku,","4261238,,"
SUNIL MO-BIKE SERVICING CENTRE,"Old Baneshwor,","4497371,,"
SURYA MOTOR WORK SHOP,"Baluwatar,","4425920,,"
