Name,Address,Telephone
Internet Market Today,"Ward No. â 5, Laxmipur Bagewa,","+977-98176-88178,+977-98176-88178,"
GUIDE FOR ALL SEASONS TREKKING PVT.LTD.,"Gairidhara,","4410897,,"
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
OUTSIDE VALLEY,"Kathmandu,","4257800425790001-5554982,,"
Nepal Planet Treks and Expedition,"Thamel , Kathamandu ,","977-1-4252196+977 9841613822,977-1-9841613822,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
Prabidhi Info,"New Baneshwor, Kathmandu, Nepal,","9804136959,,"
Ultra Led Display Nepal,"Mid Baneshwor,","014495163+977 1-5244905,,"
SEO Company Nepal,"Satghumti-29, Thamel,","+977 9841827520,,"
Professional Computer Systems (P) Ltd.,"Kupondole,","00977-1-55480825543554+977 -1-5260820,,"
Marketing In Nepal,"Gongabu, Kathmandu ,","9823861286+977 9843613265,9823861286,"
Analogue Inc,"Gausala,","+9779802320803,,"
Photo Choice Nepal Wedding photography,"Koteshwor,","015149951+977 1 443 8055,9841509591,"
Convergetree Technologies Pvt Ltd,"Tinkune, BasukiNagar,","15199579+977 9851161789,9869052525,"
Federation of Nepal Cottage and Small Industries (FNCSI),"GPO Box: 6530, Maitighar Height,","+977-1-4222751+977-01-2003080,+977-985-7832505,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Elance Digital Media Pvt Ltd,"Bhimsengola,","977 981-8097976+9779843210144,,"
Raindrops Creation,"Lazimpat,","9849167154+977 9801842333,9849167154,"
International Nepal Fellowship,"Jawalakhel, P.O. Box: 1230, Ktm,","00977-1-5521183+977 61-570111,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Grey-Hound Nepal,"Lakeside,","523093,,"
I. Nepal Pvt. Ltd.,"Koteshwor-35,","00977-1-9851014638+977 9842037889,,"
NEPAL YELLOW PAGES,"Baneshwor,","44766334461716+977 984-1472979,,"
Nepal Yoga Institute,"Budhanilkantha-11,Nepal - 44600,","+977-9813777458+977-9849521819,+977 9860480478,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Amnil Technologies,"Manbhawan,","00977-1-5531784,,"
Sparrow SMS,"8975, EPC 1887 Bakhundole, Pulchowk (100m ahead from opposite of Entrance Cafe), Lalitpur,","+977-1-5522942,9802005007,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Vianet Communications Pvt. Ltd.,"Pulchowk,","+977 1 421 7555+977 16600188444,+977 98 0104 6410,"
