Name,Address,Telephone
Biratnagar Taxi Rental,"biratnagar main road,","9807028682,,"
Enigma Travels and Tours Inc. Reiansu Intl.pvt.ltd,"Jadibuti Kathmandu,","4990067,9860744727,"
Gun Taxi Service,"Pulchowk, P.O. Box: 11630, Ktm,","00977-1-5525105,,"
Chitwan Taxi Services Ltd.,"Narayangadh,","+977-1-520434+977-1-521509,+977-984-5111877,"
KAILASH CAB COMPANY,"Boudha, P.O. Box: 8257, Ktm,","00977-1-44805124481820,,"
Pokhara Cab Ltd.,"Nag Dhunga,","520681,,"
Anna Cab Service Ltd.,"Srijana Chowk,","520223,,"
Annapurna Cab,"Lalitpur,","00977-1-5521058,,"
Comfort Cab Service,"Baluwatar, P.O. Box: 4016, Ktm,","00977-1-44106334433466,,"
Exim Cab Ltd.,"Sifal, P.O. Box: 6737, Ktm,","00977-1-4472186,,"
Fishtail Cab Ltd.,"Rani Pauwa,","520278520878,,"
Gangadharam Taxi Sewa Ltd.,unknown,"521137,,"
J. K. Cab Limited,"Mahendra Pool,","440848,,"
LUMBINI CAB LIMITED,"Gallamandi, Butwal/Bhairahawa","520386,,"
Night Taxi Service,"New Road,","00977-1-42243744266642,,"
NIGHT TAXI SERVICES,"New Road,","42243744266642,,"
NIGHT TAXI,"New Road,","42243744266642,,"
Palpa Bhairab Taxi Sewa,"Butwal-6, Palpa Road, Bhairahawa","542606,,"
Panda Cab Ltd.,"Koteshwor,","00977-1-4601663,,"
RAJ TRANSPORT,"Belahiya, Butwal/Bhairahawa","520430,,"
SIDDHARTHA TEMPO AND TAXI ENTEREPRENEUR ASSOCIATION,"Devkota Sadak, Butwal/Bhairahawa","520700,,"
Thorungla Cab Ltd.,"Mahendra Pool,","521591525691,,"
