Name,Address,Telephone
Prabidhi Info,"New Baneshwor, Kathmandu, Nepal,","9804136959,,"
Softech Foundation Pvt. Ltd.,"Baneshwor (Office),","00977-1-243892301-4435890,,"
MUNCHA HOUSE,"New Road,","977-1-5535757977-1-553941442214704255479+977 1-5550877,,"
NEPAL YELLOW PAGES,"Baneshwor,","44766334461716+977 984-1472979,,"
Best Nepal Pvt. Ltd.,"Thamel,","00977-1-47008080097714426808,,"
MeroNetwork,"Thapathali Rd,","+977 (1) 5111100+977 -01-4426702,09808213062,"
Pracas Infosys,"Main Road Pokhariya,","021-4633777+977 98520-25735,9852025735,"
SoftNEP,"Bhimsen Gola Marg, Min Bhawan,","977-01-4115934,,"
Subisu Cablenet (P) Ltd.,"Baluwatar,","00977-1-44296164429617+977-14235888,,"
Delta Tech Nepal,"Tinpaini, Biratnagar, Nepal,","9802753996+977 -980-4067-116,9804067116,"
Esewa Nepal,"Dillibazar,","00977-1-44424354424743,,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
"Thakur International for Call Centre, BPO Services","Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","0097714720270,9851187077,"
Safalnews,"Bindhyabasini,","unknown,,"
NGT Mobiles,"Indradev Marg, Narayangarh, Chitwan ,","9860129290,9845506426,"
Sathi ko Pasal,"Maitidevi,","9815658205,9868400955,"
Collegenp,"Anamnagar,","9851179881,,"
TV Annapurna,"Basantanagar-16, Balaju, Kathmandu, Bagmati, Nepal 44611,","014380648,,"
Yolo Directory,"Kathmandu, Nepal,","4110826,98010035019801003502,"
MultiTechSys,"Tinkune , Kathmandu ,","01-4117917,9807777076,"
Get Well Soon Nepal Pvt Ltd,"Dhobighat, Lalitpur-3,","+977-015153315,,"
NEPBUD,"jwagal, Lalitpur, Nepal,","01-5260276,9801978832,"
Biskoon Marketing Pvt Ltd,"Prayag Marg, New Baneshore,","+9779801233000,,"
Cellzen pvt ltd,"thamel-29,","09813999902,09813999902,"
Arcube Games & Animation,"Thulo Kharibot Marga,","+977-1-4491278,+9779803078818,"
Creatu Developers,"Amrabati Marga, Koteshwor,","015147238,98510876729851123950,"
Hamroonline.com,"Tulsipur 6,dang,","unknown,+9779801325874,"
ICT frame,"Madhya marga, New Baneswor, Kathmandu, Nepal,","unknown,,"
Management Notes,"Shantinagar,","9868444365,9868444365,"
Online Khawar,"NP, janakpur,","+9779803985540,+9779803985540,"
Smart Prabidhi Pvt. Ltd,"Padam Road, Power House,","+97751525771,+9779802940006+9779802940005+9779802969093+9779802969094,"
Social Aves Private Limited,"Jawalakhel, Lalitpur,","+977-1-5537595,9801115322,"
Yolo Classifieds,"Sinamangal,","4110826,98010035019801003502,"
Adarsha Samaj National Daily,"Newroad, Pokhara,","977 6153120061521484,,"
Danphe Magazine,"Mitranagr-29, Samakhushi Gongabu,","9843710350,,"
Haatemaalo - Free Classified site of Nepal,"Pako, Newroad,","4115648,9803787208,"
Hamrobazar.com,"Central Business Park,","+977 1-5135034,,"
meroJob.com,"Baneshwor,","+977 1 448 1262+977-1-410-6701,,"
Poultry Nutri,"Bharatpur-3, Chitwan,","+9779845784021,,"
Infomerge Pvt. Ltd.,"Teku, Kathmandu,","00977 1 4240069,977 9841213342,"
Techno Cottage Nepal,"Shangrila Street (Opp. Greenwich Village), Kupondole Heights, Lalitpur, Nepal,","977-9841550702,977-9841550702,"
KAMANA NEWS PUBLICATIONS PVT. LTD.,"Kamana Estate, Maru Bhimsensthan, Kathmandu, Nepal,","(977) 1 â 4261179,9841409014,"
MaxBlogPress,"6XHJ+69W, Pokhara 33700,","+977 014428125,,"
Nepali Dainik,"M8XH+XPH, Ghattekulo Marg, Kathmandu 44600,","(+977) 9844694048,,"
Rolp VMS,"Sambhu Marg, Sinamangal Near Airport, Kathmandu 44600,","+977 985-1255000,,"
TodayClicks,"M8RH+JWJ, Bhaktithapa Road, Kathmandu 44600,","+9779841179649,,"
Webheart Pro,"Kathmandu 44600,","+977 984-1642933,,"
Admandu,"Gusingal, Kupondole,","9841446187,9841348067,"
Kollywood Life,"Lokanthali,","9860428211,,"
Kritya Hub,"Bluebird Mall, Kathmandu 44600,","+977 1-533-8338,,"
Tekvortex,"M8H4+XH, Lalitpur 44700,","+977 1-552-9599,,"
Vurung Technologies,"Sanepa 2, Lalitpur 44600,","+977 9818087752,,"
Yarsa Labs,"6243+53R, Pokhara 29, Lekhnath 33700,","+977 9801022055,,"
Bhoos,"Bagmati,","unknown,,"
Doorsanchar,"Bagmati,","unknown,,"
Redox International,"NewRoad,","015713535,9841434734,"
Sajhaonline.com,"Pako, New Road, Kathmandu, Nepal,","9867201618,,"
Babaaal,"New Baneswor,","9819449393,9819449393,"
Himalayan Times News,"Putali sadak,","9851173691,9851173691,"
Neptel Yellow Pages (P) Ltd.,"Baluwatar, P.O. Box: 5929, Ktm,","00977-1-44450504445419,00977-9851066900,"
NepYou,"New baneshwor,","+977 01- 4784835,,"
