Name,Address,Telephone
Real Estate in Nepal,"Munibhairavmarg,","9851183984+977014479043,9841641971,"
Raman Construction (P) Ltd.,"Dhanusha,","521733+977 -1- 4474017,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
Gharghaderikinaun.com,"Kapan, Kathmandu,","9841935603,9841935603,"
Pokhara Rental,"New Road 8,","9815150803,,"
Nepal Real Estate Solution Pvt Ltd,"Kusunti, 14 Lalitpur, Nepal,","9851169909,9801299092,"
Nepal Property Services (NEPROSE),"Namuna Marga, Hanuman Nagar, Birtamod 1, Jhapa,","023546089,9852646089,"
1DHUR,"Butwal-11, Milan Chowk, Rupandehi,","9869843165,,"
Basobaas.com,"Bagmati,","+9779851143935,,"
Next Properties,"Bagmati,","+977 9851316348,,"
