Name,Address,Telephone
Raindrops Creation,"Lazimpat,","9849167154+977 9801842333,9849167154,"
Young Innovations Pvt. Ltd.,"Pulchowk, P.O. Box: 9876 EPC 241,","00977-1-2291892+977-1-5536093,,"
HoneyGuide Apps,"Bagmati,","+9779841370673,,"
LogicaBeans,"Bagmati,","+977 9801879217,,"
Naxa,"Do Cha Marg, Kathmandu 44600,","+977 14416543,,"
Tootle,"Lalitpur 44600,","unknown,,"
DalloTech,"Bagmati,","+9779863021119,,"
KTM Coders,"Tinkune -32, Kathmandu 44600,","+977 9843367243,,"
Phunka Technologies,"Bagmati,","+977 984-1157853,,"
Source Taggers,"Bagmati,","+977 9849361433,,"
Verisk Nepal,"Bagmati,","+977-1-5553546,,"
Dr. Tech,"Bagmati,","+977-9860251015,,"
Giznp,"Bagmati,","unknown,,"
Enbeeone3,"Bagmati,","unknown,,"
Chordpedia,"Bagmati,","unknown,,"
