Name,Address,Telephone
Om Krishna Trading,"Makhan Tole,","00977-1-4263913,,"
Butwal Beauty Academy & Makeup Studio,"Butwal-11, Devinagar, Janajagaran path,","9817520565,9841526761,"
24Seven Health & Beauty Pvt. Ltd.,"Maharajgunj,","01-4720313,9841417240,"
Vicky Stationers,"Bhedasingh,","00977-1-42215014244299,9851060602,"
ATM Pharmacy,"Koteswore, Kathmandu,","9801165986,9861665986,"
Nobel Trade Concern Pvt Ltd,"Binayek Basti Marga, Balaju-16, Kathmandu,","014390437,9851050803,"
OK Pharma - Online Pharmacy Pokhara,"Bhakti Marg, New Road, Behind Lumbini Bank and Kantipur Dental Hospital,","9846198129,,"
DXN NEPAL,"Butwal ,","9805478488,9847315795,"
Nepal Chemical & Soap Industries,"Murli,","+977-51-522141,,"
Enliven Global,"Kalanki,","9801132751,,"
KRIPAZ BEAUTY PARLOR,"Dhobighat, Lalitpur (Near Sunrise Tower),","98420-78512,98420-78512,"
DÌ COSMO NEPAL,"Kumaripati ,","015555648,9803887087,"
Trishuli Group Pvt. Ltd.,"Khumaltar-15, Lalitpur,","9851176901,9801620900,"
Riddhi Siddhi Chemical Traders,"Kathmandu, Nepal,","+977-1-5107118,+977-9851120308+977-9851240308,"
Sparkle Beauty Parlour Cosmetics Pokhara,"Prithivi chowk Naghdhungha - 9, Near Muktinath Bikash Bank, Opposite Himalyan petrol pump Pokhara Nepal 33700,","9805895577,9805895577,"
Top Brand Nepal WSN,"720 Thamel Margh,","01-441815101-4417647,9841815891,"
Aeron International Nepal,"Kathmandu Nepal,","009779801109909,009779841055795,"
Greenplus Energy & AgroTech Industries P.Limited,"Millanchowk 10,","+977-071-229553,9857030446,"
Oriflame Cosmetic Products,"Mahendrapul Pokhara,","9846046256,9846046256,"
AARTI SOAP AND CHEMICALS INDUSTRIES PVT. LTD.,"P87F+4HF,","+977-1-4430976+977-1-4430997,+977-9801166610,"
JK Products,"Biratnagar -6 ,","527449,9802700431,"
BlushyLady Enterprises Pvt.Ltd,"Kuleshwor, Kathmnadu,","+977 9843320604,,"
Natural Resources Industries,"GPO: 410, Ktm, Old Baneshwor,","4461848,,"
SHIV SHAKTI SOAP INDUSTRIES,"Parsa,","+977-51-521384+977-51-529784,,"
Namaste Mart Pvt. Ltd.,"Swoyambhu, Kimdol Taxi Stand,","01-4278914,00977-9818110550,"
Everest Aroma,"Chabahil,","977/6915253,009779851035949,"
TRIVENI DAL AND OIL INDUSTRIES PVT. LTD.,"8th Floor, Triveni Complex, 1951 Ramshah Path,","+977-1-4224074+977-1-4224589,,"
Bahubali Herbal Essence & Extract (P) Ltd.,"Surkhet Road,","520829521381,,"
BAHUBALI HERBAL ESSENCE AND EXTRACTS PVT. LTD.,"Surkhet Road,","520829521381,,"
Bechnus dot com,"Dhambhojhi, Surkhet Road, Ward No. 2,","9813494719,,"
