Name,Address,Telephone
Global Adventure Trekking,"44600 Chakshibari Marg,","97714700356+977 1 4700355,9841485631,"
Tesla Air Conditioner,"Saibaba Marg,Banasthali,","+977-1-4387745+977-1-4356446,+977-9801164367,"
GLOBAL IMPEX INTERNATIONAL PVT. LTD.,"Radha Bhawan, Saraswoti Marg 115,","+977-1-4256765,,"
Butwal automobile(butwal krishi yantra ghar),"butwal-5 , pulchowk , rupandehi,","071550196,9857033906,"
New Baba Service Center,"Siddhartha chowk 12,","021-530414530415,98027815729802781573,"
Nplmarket,"banasthali,","9823474650,9823474650,"
KHADKA HARDWARE CONCERN PVT.LTD,"BASUNDHARA,","01 4357727,9860107531,"
SHRESTHA WOODS,"GARKWO,","9843779037,9841211327,"
Manakamana Boys Hostel,"Ghattekulo, kathmandu, Nepal,","9841392113,,"
Nepal Laptop Solution pvt ltd,"New Road 22 tadhahiti galli,","+977 1 4220125,,"
Mobiland electronic pvt ltd,"kritipur,","977014334235,9779861087804,"
BaleyoStore,"Newroad Gate, Kathmandu, Nepal,","5218008,9843075040,"
ICS POKHARA CENTRE,"Chipledhunga, Pokhara, Gandaki Zone, Nepal,","061-541118,9856072858,"
SKYMECH Engineers,"K-03, Opp. Civil Lines Circle, 22-Godam Road, Hawa Sadak, Jaipur ,","9314421021,9694066771,"
Tourist Link Treks & Expedition Pvt. Ltd,"Narsing Chowk, Thamel ,","00977-4249624,00977-9851268523,"
Treks Himalaya,"Thamel, Kathmandu, Nepal,","0097714700422,0097714700422,"
Inspire Nepal 2015,"Pulchowk,","977 1 5543018,,"
IBase Technologies,"Computer Bazar, Ground Floor, Putalisadak, Kathmandu,","01-4421983,,"
Tamrakar Corporate Group (TCG),"Mibachhen 15, Bhaktapur,","+977-(0)1-6618985,+977-9851194085,"
INTERNATIONAL LAW SOCIETY FORUM,"Kathmandu,","977-1-446246,,"
New Namaste Multi Trade Center,"Dudharakshya-5, Rupandehi,","071-694851,9804416755,"
ANKUSH TRADERS,"BIRGANJ,BHANSAR,","9802901341,9855021589,"
Billion Glass house,"Simalchaur-8, pokhara,","061527255,9856029005,"
Jbc Watch and Radio Centre,"MAHENDRAPOOL,","+977061532738,9856021633,"
JBC Watch and Mobile Centre,"Mahendra Pool,","+977061532738,9856021633,"
MRF-International Tyre Centre,"Kalanki,KTM,Nepal","01-4284387,9841296108,"
JAWALAKHEL DISTILLERY PVT.LTD.,"Jawalakhel,","+977-1-5522010+977-1-5538875,,"
Nepal Rudraksha Kathmandu,"pashupati temple,","+977-9803021519,+977-9803021519,"
Nyokas Concern,"Naghdhunga,","061536661,9802812226,"
S.J. Mobile Center,"Naxal-01, Bhagwati bahal, Kathmandu,","unknown,+977-9843583602,"
ESSEN CONSTRUCTION,"S-2 / A-42, 43, 44-Mancheswar Ind. Estate ,","2588877,9437503369,"
Namaste Kedar Craft,"Chhetrapati, Thamel. (Infront of Tibet Guest House and Beside of Everest Steak House),","unknown,98510144709841046534,"
Traditional Tae Kwon-Do Center of South Tampa,"3617 Henderson Blvd Suite C Tampa, FL 33609, United States","813-350-9400,,"
Trademark Garage Floors,"5839 Trouble Creek Rd New Port Richey, FL 34652, United States","727-848-0642,,"
Ason Bazaar Dot Com Pvt. Ltd.,"Ason Tole, Kathmandu,","unknown,,"
New Catering Service,"Pokhara Nadipur-3,","9856034868,9806536848,"
PRITI VALVE AND FITTINGS INDUSTRIES PVT. LTD.,"Industrial estate,","+977-25-520430+977-25-533701,,"
SHISAS TRADING CONCERN PVT.LTD,"Yak & Yeti Entry Road, Durbarmarg,","42336034233604,,"
Abee Lamination,"Yangal,","+977-1-4253837+977-1-4225285,,"
SamZ,"34 NK Singh Margh,","977 1 4473545977 1 4477909,,"
Sushil Vanaspati Pvt. Ltd.,unknown,"+977-1-522536+977-1-521212,,"
Nakhu Jail,"Nakhu,","+977-1-5521112,,"
Seng Yoan Housing Company Pvt. Ltd.,"Sorhakhutte,","+977-1-6912634+977-1-4386588,,"
Women Cell,"Kalimati,","+977-1-4286969,,"
