Name,Address,Telephone
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
Sutra It Consult Pvt. Ltd.,"Butwal , sukhrapath,","071541762,9815425233,"
PrintShop Nepal,"New Road, P.O. Box: NA,","00977-1-4245166,00977-9851085325,"
Silkroad Investment & Trading P. Ltd,"Newroad-22, Sankata Tebahal,","977-1-5713705,9851004802,"
Technotronic Solution Pvt. Ltd.,"Naya Marga,","9779845288888,9845288888,"
Techno Savvys,"Jaycees Chowk, Near Sadak Bivag Gate,","023-585947,97723585947,"
Planet Infosys P.Ltd,"Lalitpur, UN Park, Chakkuupath 22,","01-5261837 | 9818-333394,9851128029,"
Baleyo IT Store,"Dharmapath, New Road,","+977-1-4242956,,"
A-Roll Pvt. Ltd.,"Baluwatar, Gairidhara,","+977-1-4438501+977-1-4438519,,"
Instand IT Support Pvt. Ltd,"Anamnagar, Opposite of Hanumansthan Temple,","00977-1-5705396,9851191460,"
NASA COMPUTER SYSTEM,"Traffic Chowk,","+977-71-540514,+977-985-7033900,"
Servicing Nepal Pvt. Ltd.,"Ichunadi Marg, Baluwatar, Ward No. 4,","977-01-4420896977-01-4419215,(977) 9841400051,"
Techno Trade Concern,"Battisputali -09, Branch Tripureshwor,","01-4222014,9841249043,"
Printronix Computing Solution Pvt. Ltd.,"Pako NewRoad,","014212402,9841380626,"
CAS Techno Sales Pvt. Ltd,"CAS Building, New Plaza, Putalisadak,","977-1- 4440271-24430858,,"
Hosanna Printers,"Bhanimandal, Lalitpur,","977-1-5000-2205000-210,9851010673,"
IT Global Pvt. Ltd,"Putalisadak,","4418184,9802078520,"
Logix Digital System,"Putalisadak,","01-4439793,,"
Dipesh Infosys,"Dhangadhi-4 mainroad,","091-521810,9851168979,"
SHREE NAWDURGA SUPPLIERS,"Mishra market, Shib Chowk, Janakpurdham,","041590042,98443119139807807261,"
NewSoft Technology Pvt.Ltd.,"Kathmandu Valley All Over,","98010672904485299,9841970617,"
Best IT Solution Nepal (Bits Nepal),"Ratopul, Battisputali,","014478584,9841249043,"
