Name,Address,Telephone
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
NepalLink Network Pvt. Ltd.,"Khusibu,","00977-1-42608222296776+977 1 5525877,,"
Websanjal,"Balaju, Banasthali, Dhungedhara Kathmandu, Nepal,","977-01-4880155+977 9841 688 226,,"
Nimble Infosys,"New Baneshwor,","01-4104381/82+977 -1-597-0077,98511-26328,"
Alignstech (P). Ltd.,"Anamnagar, P.O. Box: 1818, Ktm,","00977-1-62083592041825+977 1-4350441,,"
Web Technology Pvt. Ltd.,"Thamel,","00977-1-444162016914019,00977-9841319835,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Best Nepal Pvt. Ltd.,"Thamel,","00977-1-47008080097714426808,,"
AccessWorld Tech Pvt. Ltd,"5th Floor , Bhatbhateene Super Store , Pulchowk ,","9801000575,9801053824,"
Weblink Nepal IT Institute Pvt. Ltd,"Bagbazar, P.O. Box: 21466, Ktm,","00977-1-4248668+977 980 1114897,00977-9841506331,"
Webpal Private Limited,"Koteshwor-32,","9864900900+9779801096633,,"
Volunteer and Internship Foundation Nepal,"Banasthali kathmandu,","+977-9843290700,,"
Websoft Nepal (P) Ltd,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan,","+977-56-527600,+977-9845506426,"
Decade International P Ltd,"Samakhushi Townplanning,","014383043,9851044707,"
Nxtech Web Development in Itahari,"Itahari 8, Sunsari. Biratnagar Line Bus Stop,","025- 580812,9813478383,"
Amsoft Technologies,"Gwarko-17, Lalitpur,","01-5007646,9841347121,"
Magnetic Web Solution,"Kupondole -1,","5529553,9810166373,"
Global Host Inc.,"Dhumbarahi, ,","+15102554577,+12032869429,"
THAKUR INTERNATIONAL AND INVESTMENT Pvt. Ltd,"Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","+977-1-4720270,,"
Hosting Ground,"Jawalakhel,","014781149,9843515578,"
Orasoft Pvt. Ltd,"Minbhawan,","00977-1-46210429801000269,00977-9851000269,"
Sutra It Consult Pvt. Ltd.,"Butwal , sukhrapath,","071541762,9815425233,"
Hostinzer Nepal,"Power Electronics and Hostinzer Nepal Pashupati Vision Multi Complex Shopping Center, 44600,","+977-1-4335066,,"
Roshan computer & Web Creation World Pvt. Ltd.,"tulsipur 6 dang,","9801325874,9847944874,"
