Name,Address,Telephone
Nepal Art & Craft Industries,"Dallu, P.O. Box: 9614, Ktm,","00977-1-9841549384+977 -1-4248003,,"
SHANKER GROUP,"G.P.O. Box 2513,","+977 -1-4523733+977-1-4523734+977-1-4545823,,"
BHAJURATNA AGENCY PVT. LTD.,"P898+9XH, Lazimpat Rd,","+977-1-4411786061-527293,,"
Khumbu Carpet Industries,"Chapali,","00977-1-437006143720714472418,,"
Lucky Group,"Tripureshwor, P.O. Box: 2337, Ktm,","00977-1-42608784260785+977 -1-4117249,,"
Probiotech Industries Pvt. Ltd,"KUK Building- 3rd Floor Sinamangal-10 P.O. Box 5751,","+977-1-4567791+977-1-4567792+977-1-4567793+977-1-4567794,,"
Agile Solutions Pvt. Ltd.,"Nil Saraswati Marga, Gairidhara, Kathmandu, Nepal,","01-400478901-4004790,,"
Caravan Readymade Company Private Limited,"Baburam Acharya Sadak,Setopul, Old Baneshwor,,","9841017539+977 9851097552,9851097552,"
Jyoti Group,"Kantipath, P.O. Box: 133, Ktm,","00977-1-42254904225230+977-9801178845,,"
Mahavir Shree International,"Old Baneshwor, P.O. Box: 410, Ktm,","00977-1-44618484461847+977 -1411-0 860,,"
PANCHAKANYA STEEL PVT.LTD.,"Krishnagalli, Lalitpur,","552655155482355526357,,"
Hilltake Gas Geyser,"Durbar Marg,","00977-1-42157714215788+977 1 4388691,,"
Vianet Communications Pvt. Ltd.,"Pulchowk,","+977 1 421 7555+977 16600188444,+977 98 0104 6410,"
Hulas Wire Industries (P) Ltd.,"Ganabahal, P.O. Box: 363, Ktm,","00977-1-4250001+977-21-420117,,"
SIPRADI TRADING PVT. LTD.,"Thapathali,","+977 1 4311501+977 1 4311502+ 977 1 4311510,,"
E-Signature Pvt. Ltd,"Chandol,","+977 1-4410178,,"
Panas Pharmaceuticals Pvt. Ltd.,"Baneshwor,","00977-1-4491153+977-81-403005,,"
Maruti Pharma Pvt. Ltd.,"Jawalakhel,","00977-1-5540531+977 1454 4183,,"
Reliance Spinning Mills Ltd.,"Basantapur, P.O. Box: 545, Ktm,","00977-1-42415044245905+97714241853,,"
Nepal Clearing Agency,"Bagmati,","525981523958+977 -1-4255306,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
Essel-Clean Solu Hydropower Pvt. Ltd.,"P.O. Box: 24773, Ktm,","00977-1-4264827,,"
Contech Concrete,"Satungal 2, Kathmandu,","97716200400,,"
North Engineering Company P Ltd,"Maina Nagar,","071-5501819857020664,98570341819857034182,"
Sundar Cement Samagri Udhyog,"Chaukitole-2, Hetauda Bazar, Nepal,","98550723519855056006057-526244,,"
Aaryan Wires Industries,"Tankisinwari-01,Morang,Nepal,","00977-21-420340,9852026775,"
KATHMANDU DIESEL CONCERN,"Teku,","01-5193200,9851109532,"
Hulas Steel Industries Pvt. Ltd.,"Ganabahal Golchha House , Sundhara,","+977 9861844855+977 01-5350772+977 01-5350773,,"
JAKSON LIMITED,"P8VV+5XR, Jhaldhunga Marg,","+977-1-4017104+977-1-4017108,+977 -9802025127+977-980202510,"
NOBLE TEXTILES PVT. LTD.,"House No. 219, Ward No. 11 Resham Kothi, Road No. 3 Mahabir Mandir Temple Street,","unknown,+977-9802750991,"
Butwal Dhago Karkhana,"M824+G89 Karyabinayak 44700, 44600,","+977 1-4412624,,"
Fulchoki International Pvt Ltd,"Baneshwor 10,Kathmandu,","4473161,9860664528,"
JAY TRADERS AND HARDWARES,"Surkhet Road,","+977-81-411102+977-81-411003,985802001698195325519858033650,"
Hetauda Industrial District,"hetauda, 9 makwanpur,","520457520309,9855070795,"
Adex International,"Bagmati,","+977 9801832778,,"
Ghorahi Cement Industry,"Bagmati,","+977-1-5111147,,"
Paraphase controls & transformers,"334/9 Shastri nagar Delhi-110031,","01165257851,92106382058376863221,"
NEPAL MOUNTAINEERING ASSOCIATION (NMA),"Naxal,","44345254435442,,"
DAI,"P965+QVC, Kathmandu 44600,","+977 -1-5107445,,"
Technos Electronics,"Bagmati,","+977 14267629,,"
Techroadians,"M8VQ+7W7, Sangam Chowk Marg, Kathmandu 44600,","+977 - 01 - 4478491,,"
Apurva International Pvt. Ltd.,"Teku,","00977-1-42616174248537,9851128909,"
CHACHAN GROUP,"Tripureshwor,","422512442449934242696,,"
Nepal Chamber of Commerce,"Kantipath, P.O. Box: 198, Ktm,","00977-1-423074742309474222890,,"
Nepal-Britain Chamber of Commerce & Industry,"New Baneshwor, P.O. Box: 24714, Ktm,","00977-1-2042770,,"
Nepal-German Chamber of Commerce & Industry,"Naxal, P.O. Box: 201, Ktm,","00977-1-441320844132094413286,,"
NEPAL-BRITAIN CHAMBER OF COMMERCE AND INDUSTRIY,"Lainchaur,","44105834414588,,"
NEPAL-GERMAN CHAMBER OF COMMERCE AND INDUSTRY,"Putalisadak,","42260994226101,,"
SHIV SHAKTI SOAP INDUSTRIES,"Parsa,","+977-51-521384+977-51-529784,,"
SHIV SHAKTI PACKAGING PVT. LTD.,"Teku,","41000414100042-45,9802910490,"
SOMET MACHINERY,"Odhav, Ahmedabad","91-79-2289457791-9824301667,,"
G.U.P. PVT. LTD.,"Sanepa,","422877942566414256626,,"
BHARAT PATTERN WORKS,"Odhav, Ahmedabad","91-79-22874815255244596291-9825309633,,"
Bickram Rana & Company,"Thapathali,","00977-1-4248361,00977-9808493371,"
ENERGY AND CONSTRUCTION CO. PVT. LTD.,"Kalanki,","01622018998510180639741106152,,"
Munal Foods Pvt.Ltd,"Gaindakot, Nawalpur","+977-78-501017,,"
BALAJU INDUSTRIAL DISTRICTS MANAGEMENT LTD.,"Balaju,","43505204350850-1,,"
BELTRONIX COMPUTER AND ELECTRONICS ENGINEERS,"Newplaza,","4429777,,"
BEST WHOLESALES CO.PVT. LTD.,"Naxal,","44397984420392,,"
Bhaktapur Chamber of Commerce & Industry,"P.O. Box: 1, Bkt,","00977-1-66113486614851,,"
B.T.C. TEXTILE,"Bhaktapur,","6610853,,"
Clean Energy Financial Institution Ltd.,"Sitapaila Chowk, RingroadKathmandu, Nepal,","46714444671666,,"
CLEAN COMBUSTION LTD.,"Navrangpura, Ahmedabad","91-79-2640285526405068,,"
DUGAR GROUP OF COMPANIES,"Kantipath,","4244352,,"
Eastern Sugar Mills Ltd.,"14/3/1 lokenath chatterjy lane, shibpur, Howrah711102, west Bengal Kolkata, India,","0091033264232253607,9809801379,"
"European Economic Chamber of Trade, Commerce and Industry","Dillibazar,","00977-1-44403364421301,,"
Federation of Nepalese Chambers of Commerce and Industry (FNCCI),"Teku, P.O. Box: 269, Ktm,","00977-1-426206142622184266889,,"
FEDERATION OF NEPALESE CHAMBERS OF COMMERCE AND INDUSTRY,"Teku,","426206142622184266889,,"
GAUTAM OVERSEASE,"Kuleshwor,","42878144285783,,"
GMINI PLASTIC UDYOG PVT. LTD.,"Baneshwor,","44701114494724,,"
handmade paper,"Potterey Square, Bolachhen-14,","610218,,"
IMTC INTERNATIONAL MARKETING AND TRADING CO. PVT. LTD.,"Jawalakhel, Lalitpur","55310235547666,,"
International Chamber of Commerce,"Kamalpokhari, P.O. Box: 3295, Ktm,","00977-1-44452014445202,,"
Jai Laxmi Metal Udhog,"BIRATNAGAR,","unknown,,"
Jaspsin Industrial Instrumentation,"Teku, P.O. Box: 307, Ktm,","00977-1-4262035,,"
Kanchanpur Chamber of Commerce & Industry,"P.O. Box: 3, Kanchanpur,","099-522059521325,,"
KOSHI PLASTIC UDYOG PVT. LTD.,"Shiva Arcade,","4241504,,"
KRISHNA CHEMICALS AND PAINTS INDUSTRIES. PVT. LTD.,"Tripureshwor,","42679694258375,,"
Lalitpur Chamber of Commerce & Industry,"Mangalbazar, P.O. Box: 26, Ltp,","00977-1-55217405530663,,"
Luv-Kush Engineering Metal Works (Pvt.) Ltd.,"Kapan,","00977-1-48113159851085526,,"
MAHASHAKTI SOAP AND CHEMICAL IND. PVT. LTD.,"Exhibition Road,","42266384225947,,"
Namokar Cable Industries Pvt. Ltd.,"Satungal, P.O. Box: 2030, Ktm,","00977-1-43105914312592,,"
Narayangarh Chamber of Commerce & Industry,"Narayangarh,","056-520108522145525512,,"
Nawalparasi Chamber of Commerce & Industry,"Nawalparasi, Nawalparasi","078-520724,,"
NB GROUP (NEPAL) PVT. LTD.,"Kamaladi,","44411974442458,,"
Nepal-China Chamber of Commerce & Industry(NCCCI),"Kamalpokhari, P.O. Box: 3295, Ktm,","00977-1-44452014445202,,"
Nepal-France Chamber of Commerce & Industry,"Panipokhari, P.O. Box: 630, Ktm,","00977-1-40025534002558,,"
Nepal-India Chamber of Commerce & Industry,"Naxal, P.O. Box: 13245, Ktm,","00977-1-4444607,,"
NEPAL-FRANCE CHAMBER OF COMMERCE AND INDUSTRY,"Kamalpokhari,","44395914439594,,"
NEW BHAGAWATIVIJAY ENGG. WORKS,"Odhav, Ahmedabad","91-79-2287045491-9824480454,,"
Panchakanya Plast (P) Ltd.,"Bhairawa, Bhairahawa","560371560368,,"
Pashupati Tube Mills Pvt. Ltd.,"GPO: 20690, Ktm, Kupondole,","5544771,,"
Pokhara Chamber of Commerce & Industry,"Gaira Patan,","061-520264522264,,"
Radha Structure & Engineering Works (P.) Ltd. (Steel Fabricator),"Baneshwor, P.O. Box: 20989, Ktm,","00977-1-44721114491132,,"
Ratnanagar Chamber of Commerce & Industry,unknown,"056-560448561454,,"
SES INTERNATIONAL PVT. LTD.,"Baluwatar,","4445523,,"
