Name,Address,Telephone
Shangri-La Hotel,"Lazimpat, P.O. Box: 655, Ktm,","00977-1-441299944197424419743,,"
Chhaimale Resort,"Ramche Bhanjyang-6, Kathmandu, Nepal,","01-4268121,98511814099860676495,"
HOTEL DEEP SAGAR RESTAURANT AND BAR,"New Road,","5261829856026382,,"
Red Roof Cafe,"New Baneshwor,","00977-1-4784786,,"
"Namgyal Lodge, Machermo","Gokyo Lake Marg, Khumjung, Solukhumbu, Nepal,","+977 98101188409803615643,+977 98101188409803615643,"
Royal Indu Hotel,"Gaur 6,Rautahat (Nepal),","9865014303,,"
Bender Beans Pvt. Ltd.,"New Colony, Sukedhara,","014015236,9808362580,"
Hotel Swapna Bagh,"Sumipatan, Lakeside, Baidam-6, Pokhara, Nepal,","00977-61-467223,9851123614,"
Folsom Cafe and Restaurants,"1st floor, Mishra Market, Shiv Chowk, Janakpur, Nepal,","9812327166,,"
Jyoti Equipments Pvt Ltd.,"C-4,Metro Bajar Near Nangloi Metro Station ,","9968336244,9968336244,"
B.P.N Pizza House,"SAMAKHUSI,","9869531333,9851229025,"
Cmdfoodland,"Naxal Tangal,","00977-1-44384464415997,9851011734,"
Greedytraveller,"House no- 18, Gate no- 1, surya chandra colony, kandaghari, kathmandu, 44600,","9801018909,,"
Kailasa Food and Sweets,"Guru Marg, Pashupati,","977015241373,,"
Open house restro and lounge bar,"Pokhara metropolitan-4 mahendrapol ,","061 520748,9856030012,"
Anchalpur Restaurant and Party Place,"Anchalpur-9, Bhairahawa ,","071523000,98470883269800753939,"
Hotel Himal & Bhanchha Ghar,"Bypass Road 18,","051-417122,9855021555,"
Nag Pukhu Guest House,"Nag Pokhari Bhaktapur - 4, Nepal.,","01-6613736,,"
Swiss International Hotel Sarowar,"50087, Nairobi,","+977 61 463 037,,"
Hotel Earth House,"Thamel, Bhagwan Bahal,","014418197,,"
Wok Up Thai Inspired Kitchen,"Musya Bahal,Thamel,","01-4223637,9818093093,"
Yellow House Resort,"Kalika, Gaindakot,","9806927163,9806927163,"
Cafe De' Gurkha Grill,"Baudhanath Stupa, Baudha-6, Kathmandu,","98510901139841393131,98510901139841393131014910891,"
Janapriya Thakali Bhanchha Ghar & Restaurant,"Pokhara-6, Lakeside, Street No 17, Nepal,","+977-9856080616,,"
Rusty Garden,"Jhamsikhel Lalitpur,","+9779813928043,,"
Tattato Food Delivery,"Buddha Path,","unknown,+977-986-2417655+977-981-5427836,"
Vintage Food Factory,"Putalisadak, mobile bazar complex,","unknown,+977-98602974409803344764,"
Momotarou Restaurant,"Lakeside,","061-464134,9816167914,"
Paradise Sweets & Snacks,"Gudri Line, Ward No. 2,","02550701,9852031127,"
Steamer Coffee Shop,"Patan Dhoka, Patan 44600, Nepal ,","9860900466,,"
Arts Space Out,"Chhauni, Museum Marg,","9860142406,9841569691,"
Bhojdeals,"Lalchan Plaza Road Lalchan Plaza 4th Floor, Kathmandu 44770,","+977 014425914,,"
Mike's Breakfast Pvt. Ltd.,"Naxal, P.O. Box: 11846, Ktm,","00977-1-4424303,9851070170,"
Amigos Cafe,"Jhamsikhel,","9818542727,9841780613,"
The BAZAAR,"Rastra Bank Chowk,","977-61-460415460351,,"
Bhojan Griha P. Ltd.,"Dillibazar, P.O. Box: 536, Ktm,","00977-1-441642344116034420169,00977-9851043103,"
Krua Thai Nepal Restaurant & Bar,"Thamel, P.O. Box: 4401, Ktm,","00977-1-47012914424751,9851064644,"
Ankur Garden Restaurant,"Chaksibari Marg, Thamel,","01-4243683,,"
Arniko Room,"Durbar Marg, P.O. Box: 140, Ktm,","00977-1-4221711,,"
"Chobhar ""LE CAFE"" Sculpture Garden","GPO: 8974 CPC 552, Chobhar Village,","433355544181514417647,,"
Gorkha Palace Restaurant,"Thamel, P.O. Box: 4607, Ktm,","00977-1-44170954411573,,"
H. Twin Peaks & Fawlty Towers Restaurant,"Pardi,","522867,,"
Krishnarpan Restaurant,"Battisputali, P.O. Box: 459, Ktm,","00977-1-44707704473725,,"
Lumbini Coffee Shop,"Tripureshwor, P.O. Box: 983, Ktm,","00977-1-4228833,,"
NERULA'S RESTAURANT,"Lakeside,","461779464458,,"
Rendezvous,"Lekhnath Marg, P.O. Box: 787, Ktm,","00977-1-44106204418385,,"
The Coffee Shop,"Durbarmarg, P.O. Box: 140, Ktm,","00977-1-4221711,,"
The Vesper Cafe,"Pulchowk, P.O. Box: 21158, Ktm,","00977-1-5548179,,"
Tushita Cafe & Bar Lounge,"Lazimpat, P.O. Box: 3004, ktm,","00977-1-44329574432960,,"
Utsav Authentic Nepali Restaurant,"Durbar Marg,","00977-1-44301704431014,,"
Ace Himalayan Cafe Restaurant & Bar,"Paknajol-16,","14218078,9851205942,"
Flavor's Cafe & Restaurant,"Boudha-6,","00977-1-4498748,00977-9851007521,"
Hotel Golden,"Sundhara, Baghdurbar,","01-4255379,9721503762,"
Bhoe Chhen Newari Restaurant & Bar,"Basantapur, P.O. Box: 9659, Ktm,","00977-1-2331028,,"
Boudha Kitchen & Gallery Restaurant,"Boudha Stupa, P.O. Box: 4912, Ktm,","00977-1-44903642042418,,"
Cafe De Patan,"Mangalbazar,","00977-1-5537599,,"
Cafe De Wheels,"Kupondole,","00977-1-50111229841550249,,"
Cafe du Temple,"Boudha,","00977-1-2143256,,"
Cafe du Temple,unknown,"00977-1-5527127,,"
"CHOBHAR ""LE CAF","Chovar,","433355544181512191010,,"
GORKHA PALACE RESTAURANT AND BAR,"Thamel,","4417095,,"
Lhakpaâs Chulo,"Pulchowk, Patan,","01-5542986,,"
Malingo Restro Bar & Ghazal,"Durbarmarg, P.O. Box: 23608, Ktm,","00977-1-42445374223966,00977-9851045707,"
Mezze by Roadhouse,"Mercantile Plaza, Durbarmarg,","01-4223087,,"
Nachghar Restaurant & Bar,"Lazimpat,","00977-1-4428748,,"
Walter's Restaurant & Bar,"Baber Mahal Revisited,","(1) 425 3337,,"
Baithak Restaurant,"GPO: 294, Ktm, Babar Mahal,","4267346,,"
Beijing Duck Restaurant Pvt. Ltd.,"New Baneshwor,","4468589,,"
BEIJING ROAST DUCK RESTAURANT,"New Baneshwor,","44685894466124,,"
Bhanchha Ghar,"Kamaladi, P.O. Box: 3011, Ktm,","00977-1-42251724228723,,"
Chikusa Coffee Shop,"Jyatha, P.O. Box: 5741 PCN 235,","00977-1-4223216,,"
Chimney Restaurant,"Hotel Yak & Yeti, P.O. Box: 1016, Ktm,","00977-1-4248999,,"
China & World Restaurant Pvt. Ltd.,"Kamaladi,","00977-1-42401474241603,,"
City View Restaurant & Bar,"Minbhawan, P.O. Box: 8975 EPC 5391,","00977-1-410661641066154106615,,"
Cloud 9,"Durbarmarg,","00977-1-4438385,,"
CW RESTAURANT PVT. LTD.,"Kamaladi,","4240147,,"
E.D.EN. Restaurant & Bar,"The Kathmandu Mall, P.O. Box: 10204, ktm,","00977-1-41500624150063,,"
Eden Food Court & Lunch Bar,"Kathmandu Mall, P.O. Box: 10204, Ktm,","00977-1-41500624150063,,"
E.D.EN FOOD COURT AND LOUNG BAR,"Kathmandu Mall,","41500624150063,,"
Feed 'N' Read Restaurant & Bar,"Thamel, P.O. Box: 3872, Ktm,","00977-1-4700942 ext 332001332 (Hot Line),,"
Fire And Ice Pizzeria,"Thamel, P.O. Box: 12998, Ktm,","00977-1-4250210,,"
Four Season Restaurant & Bar,"Thamel, P.O. Box: 6517, Ktm,","00977-1-47017154701545,,"
FourSeasonRestaurant&Bar,"Thamel,","4701715,,"
FOUR SEASON RESTAURANT AND BAR,"Thamel,","44355454250262,,"
Gajabko Restaurant & Bar,"Kamal Pokhari, P.O. Box: 2769, Ktm,","00977-1-44154324416432,,"
Garden Restaurant,"Hiti Durbar, P.O. Box: 9273, Ktm,","00977-1-44344764444144,,"
Garden Terrace,"Soaltee Crowne Plaza, P.O. Box: 97, Ktm,","00977-1-4273999Ext.6152,,"
Ghar-E-Kabab,"Durbar Marg, P.O. Box: 140, Ktm,","00977-1-4221711 Ext. 4116,,"
HOLIDAY RESTAURANT AND BAR,"Bagbazar,","422303142222004230807,,"
Honey Moon Garden (Korean Restaurant),"Lakeside,","530031,,"
Hotel Mandap,"Thamel, P.O. Box: 3756, Ktm,","00977-1-47003214700435,,"
Hotel Utse Restaurant & Bar,"Jyatha,","00977-1-422694642289524257614,,"
H.TwinPeaksandFawityTowersRestaurant,"Pardi,","522867,,"
Irish Pub,"Lazimpat, P.O. Box: 2989, ktm,","00977-1-4416027,,"
Kilroy's of Kathmandu,"Thamel, P.O. Box: 10542, Ktm,","00977-1-42504404250441,,"
KILROY,"Thamel,","42504404250441,,"
K-Too Beer & Steakhouse,"Thamel, P.O. Box: 10542, Ktm,","00977-1-4700043,,"
K-Too Beer & Steak House,"GPO: 10542, Ktm, Thamel,","4700043,,"
K-TOO BEER AND STEAK HOUSE,"Thamel,","4700043,,"
"La Dolce Vita, ristorante:bar italiano","Thamel, P.O. Box: 9315, Ktm,","00977-1-4700612,,"
Manakamana Cafe,"Naxal, P.O. Box: 4416, Ktm,","00977-1-44346904434648,,"
Nepali Chulo,"Lazimpat, P.O. Box: 1764, Ktm,","00977-1-44182064002009,,"
New Kabab Corner Restaurant & Bar,"Jyatha, P.O. Box: 931, Ktm,","00977-1-4263201-3,,"
New Himchuli Cultural Group & The Festival Restaurant,"GPO: 3409, Ktm, Lazimpat,","4415280,,"
Northfield Cafe & Jesse James Bar,"Thamel, P.O. Box: 1764, Ktm,","00977-1-47005304700884,,"
NORTHFIELD CAFE,"Thamel,","47008844700530,,"
Online Cafe Pvt. Ltd.,"Kumaripati,","00977-1-55268955590952,,"
Osho Restaurant,"Nagarjun Hills, P.O. Box: 278, Ktm,","00977-1-43537624357312,,"
Roadhouse Cafe,"Thamel, P.O. Box: 9315, Ktm,","00977-1-42601874262768,,"
RoyalHanaGardenRestaurant&Bar,"Lazimpat,","4436200,,"
Rum Doodle,"Jyatha, Thamel, P.O. Box: 989, Ktm,","00977-1-42489154248692,,"
RUM DOODLE BAR AND RESTAURANT,"Thamel,","47011074701208,,"
SHANGRI-LA RESTAURANT PVT. LTD.,"Thamel,","44134714423557,,"
Tea House Inn,"Nagarkot, P.O. Box: 2769, Ktm,","00977-1-668008066800836680048,,"
Thamel House Restaurant,"Thamel, P.O. Box: 995, Ktm,","00977-1-4410388,,"
The Festival Restaurant & Bar,"GPO: 3409, Ktm, Lazimpat,","4415280,,"
THE FESTIVAL RESTAURANT AND BAR,"Lazimpat,","4415280,,"
Vaishali,"Tripureshwor, P.O. Box: 2161, Ktm,","00977-1-4228833,,"
Villa Everest Shangrila Restaurant P. Ltd.,"Thamel, P.O. Box: 3165, Ktm,","00977-1-441347144415934423557,,"
Villa Everest Korean Food Restaurant,"GPO: 3165, Ktm, Thamel,","44415934413471,,"
Wunjala Moskva Pvt. Ltd.,"Naxal,","00977-1-4415236,,"
WUNJALA MOSKVA RESTAURANT PVT. LTD.,"Naxal,","44152364440314,,"
A Square Restaurant with Garden,"Boudha,","00977-1-9849743932,00977-98030278099808287313,"
Boudha Stupa Restaurant & Bar,"Boudha,","00977-1-2130681,00977-9841484408,"
CORN AND BARLEY,"Dillibazar,","44177614414614,,"
Delices de France,"Thamel,","00977-1-4260326,00977-9803818253,"
Mitho Restaurant,"Thamel,","00977-1-9841219339,00977-9841290995,"
MOTI MAHAL RESTAURANT,"Durbar Marg, Kathmandu ,Nepal. (Above Hot Bread, opposite of Investment Bank),","4222189/4222179,,"
Villa Rendez-Vous Lounge Restaurant & Bar,"Jawalakhel,","00977-1-5555217,00977-9841124661,"
"Baryo Fiesta, Kathmandu","Naxal,","00977-1-4414395,,"
Basantapur Jeans Lounge and Bar,"Basantapur,","00977-1-42213244239256,,"
Begam Indian Cuisine Resaurant & Bar,"Bhatbhateni,","00977-1-44159974438446,,"
Buddha Bar,"Thamel, P.O. Box: 8974, Ktm,","00977-1-4426944,,"
Buddha Gallery Zen Cafe Pvt. Ltd.,"Thamel, P.O. Box: 8975 CPC 128,","00977-1-4441689,,"
Cafe Chops,"Thamel,","00977-1-4701289,,"
Candles Restro Lounge,"Kamaladi,","00977-1-4438017,,"
COZY CAF,"Thamel,","4259367,,"
DO.CO FOOD SERVICES,"Jawalakhel, Lalitpur","55363859851077390,,"
Electric Pagoda Bar & Cafe,"Thamel,","00977-1-4700123,,"
E-Z Fast Food,"Thamel, P.O. Box: 1764, Ktm,","00977-1-470007847003164700080,,"
E-Z FASTFOOD,"Thamel,","4700078470107947003164700080,,"
FOOD COURTYARD,"Naxal,","4414395,,"
Fresh Cafe,"Seto Durbar, P.O. Box: 9796, Ktm,","00977-1-4231876,,"
Frienshipfoodland,"Shankamul,","014484776,9862377548,"
Garden Restaurant,"Janakpurdham,","520922,,"
Green Organic Cafe,"Thamel,","00977-1-4215726,,"
Hotel Elight,"Bhanu Chowk,","041522394,,"
HOTEL OM PALACE AND FAST FOOD RESTAURANT,"Gaushala,","4490973,,"
HOT POT RESTAURANT AND ICQ BAR,"Thamel,","4425111,,"
Ja Zoo Cafe` de Restaurant,"Jawalakhel, P.O. Box: 20463, Ktm,","00977-1-55383215530823,,"
JAZOO CAFE DE RESTAURANT,"Jawalakhel, Lalitpur","5538321,,"
Jiva Cafe & Spa,"On Phewa Lake Walking Path between Mike's Breakfast and Boomerang Restaurant,","061 465379,,"
Kaiser Cafe Restaurant & Bar,"Kesharmahal, P.O. Box: 459, Ktm,","00977-1-4425341,,"
KAISER CAF,"Thamel,","4425340,,"
K.C.'sRestaurant&BamboozeBarP.Ltd,"Thamel,","4700387,,"
Kharsay Khang,"Lazimpat,","00977-1-4439888,,"
Lobsters,"Sherpa Mall,","00977-1-42313234231437,,"
NAKED CHEF,"Nagarkot,","6680006,,"
New York Pizza,"Kupondole, P.O. Box: 183, Ktm,","00977-1-553934555202945529299,,"
OR2K Restaurant,"Thamel, P.O. Box: 5820, ktm,","00977-1-44220974422496,,"
Picnic Korean Kitchen,"Thamel, P.O. Box: 8974 CPC 047,","00977-1-4442420,,"
POTALA TOURIST HOME PVT. LTD.,"Thamel,","44103034426109,,"
1905 Restaurant,"Kantipath,","00977-1-42252724215068,,"
Restaurant & Bambooze Bar Pvt. Ltd.,"Thamel, P.O. Box: 1619, Ktm,","00977-1-4701387,,"
ROYAL THAI RESTAURANT PVT. LTD.,"New Baneshwor,","4781104,,"
Siddhartha Cottage Restaurant & Bar (P) Ltd.,"Tinkune,","00977-1-4465901,,"
Thakaliz Flavor,"Anamnagar,","00977-1-9803225750,,"
The New Winds Hotel,"Lakeside,","534643,,"
The Organic Cafe & Salad Bar,"Thamel,","00977-1-4215726,,"
THE ORGANIC CAF,"Thamel,","4215726,,"
Veggie Mamas,"Jawalakhel, P.O. Box: 6460, Ltp,","00977-1-55493949841274102,,"
Via Via Cafe,"Paknajol,","00977-1-4700184,,"
Furusato,"Thamel, P.O. Box: 11976, Ktm,","00977-1-4413404,00977-9851031876,"
Absolute Bar,"Pulchowk, P.O. Box: 8975 EPC 2316,","00977-1-5521408,,"
Al Fresco,"Soaltee Crowne Plaza, P.O. Box: 97, Ktm,","00977-1-4273999Ext.6123,,"
ArnikoRoomChineseRestaurant,"DurbarMarg,","421711,,"
Baan Thai Restaurant (P) Ltd.,"Durbar Marg, P.O. Box: 1137, Ktm,","00977-1-4243271,,"
