Name,Address,Telephone
D.P.ENGINEERS,"A-12,LGF, Pandav Nager Complex, Ganesh Nager, Near Aggarwal Sweet, Delhi-110092 ,","9811065204,9871014210,"
Himal Trade Link Pvt. Ltd.,"lalitpur, Satdobato,","015553931,9805226000,"
Himal Engineering And Power Concern,"Udayapur,","+9779852835025,+9779852835025,"
Gujarat Apollo Industries LTD,"pokhara (Ahmedabad Gujarat),","+91 79 26444598,+91 9998607794,"
Apex Elevators Pvt. Ltd.,"Gairidhara-2, Kathmandu, Nepal.,","+977-1-4435831,00977-9851016354,"
BIKASH SURGICAL CONCERN PVT. LTD.,"Tripureshwor,G.P.O. Box:11982,","+977-1-4261897+977-1-4268429+97-1-4268542,,"
Shree Carriers,"Bhotebahal,","+977-1-4228956+977-1-4230135+977-1-4244346+977-1-4244347,,"
Surya Paints & Chemical Industry Pvt. Ltd.,"Kupandole,","+977-1-5422432+977-1-5203542,,"
Asian Paints (Nepal) Pvt. Ltd.,"Sitapaila,","+977-1-4038265+977-1-4038277,,"
OTIS Elevators (Continental Trading Ent. Pvt. Ltd.),"P89F+8XC, Uttar Dhoka Sadak,","+977-1-4426465+977-1-4426475,,"
Paraphase controls & transformers,"334/9 Shastri nagar Delhi-110031,","01165257851,92106382058376863221,"
Mount Kailash Techopark and Soultions,"Butwal-10, Kalikanagar, Rupandehi, Nepal ,","071-419299,9857030382,"
Nepal Road Carrier,"Bus Park Road,","+977 81-531281,+977-985-8040456,"
Sarina Enterprises,"Chhetrapati,","00977-1-42219584248027,,"
R.P. Flour Mill,"Geta, Dhangadi,","091-575044,,"
ASIA PACIFIC TRADERS,"Teku,","42150754256049,,"
"Chengdu Lift Machinery & Electrical Equipment Co., Ltd.","No.1169 Xiangyun Road, Wuhou District","862862326636,,"
NEPAL TRADITIONAL CRAFTS PVT. LTD.,Lalitpur,"55279165523608,,"
NEPAL MACHINERY TRADERS,"Alkhiya Road,","530352529397,,"
NGO FORUM FOR URBAN WATER AND SANITATION,"Tripureshwor,","20421224216606,,"
Chandra Trade Concern Pvt. Ltd.,"Balkumari,","00977-1-5555095,00977-9841469371,"
MANAKAMANA REFRIGERATION TRADING PVT. LTD.,"Kalimati,","016923292,+977-98510949289841384272,"
SANTOSHI MACHINERY STORES,"Surkhet Road,","+977 81 411013,9848035422,"
Auto-Electro-Mech Pvt. Ltd.,"Balkumari, Lalitpur, Nepal,","00977-1-500607398511034339851103436,9851103436,"
Fuji Lift & Escalator,"Pulchwok, P.O. Box: 7925, Ktm,","00977-1-425731169224836922499,00977-9841222262,"
Skk Homes,"Putalisadak,","00977-1-44165124416179,,"
AERO THERM SYSTEMS PVT. LTD.,"Vatva, Ahmedabad","91-79-2589015825895243,,"
AEROMATIC VACUNAIR ENGINEERING CO. PVT. LTD.,"Rakhail, Ahmedabad","91-79-22910771/2/3,,"
AXPERT ENTERPRISE,"Vatva, Ahmedabad","91-79-55455513,,"
CONTECH INSTRUMENTS LTD.,"Mumbai, MUMBAI","91-22-32459901/ 02/06/1831Mumbai- 400 705Ph 91-22,,"
EMERALD POOLS (A DIVISON OF EKALABYYA ENTERPRISES),"Rajdanga, Kolkata","91-33-241579739830026886,,"
Global Alpha Tech Service,"Samakhushi,","43620109841280949,,"
HANSRAJ HULASHCHAND AND CO. PVT. LTD.,"Teku,","42300014261200,,"
HEAVY HELP LINK PVT. LTD.,"Kamaladi,","4433044,,"
Interworld Trading Pvt. Ltd.,"Minbhawan, P.O. Box: 3383, Ktm,","00977-1-44703074474127,,"
Jay Janta Pvt. Ltd.,"Bagbazar,","00977-1-4244843,,"
MAHAGUTHI CRAFT,unknown,"55331975521607,,"
National Institute for Technical Studies,"Kushunti,","5551874,,"
Neupane Engineering (P.) Ltd.,"Balkhu, Ring Road,","00977-1-51870855187086,9851044521,"
NEW TECHNICAL WATER PROOFING SERVICE AND REHABILITATION PVT. LTD.,"Kupandole, Lalitpur","55452425538655,,"
ON METAL ARTS AND CRAFTS,"Mahabaudha, Lalitpur","5531282,,"
Poly Glass Industries,"Sanepa, P.O. Box: 55, Ltp,","00977-1-5520992,,"
SHAH TRADE CONCERN PVT. LTD.,"Putalisadak,","4425335,,"
"Shree Shanker Rice, Oil & Flour Mills","Bhrikuti Chowk, P.O. Box: 116, Brt,","530935,,"
Sipradi Earthmovers Pvt. Ltd.,"Gwarko,","00977-1-52027865202787,,"
SUMY DISTILLERIES PVT. LTD.,"Maharajgunj,","47208184720849,,"
Transport Corporation Of India Ltd.,"Khichapokhari,","00977-1-42495024249786,,"
Unicorn Lubricants Pvt Ltd,"Ward No 19,","+977 52 532032,+977 9804240070,"
B. T. C. PRIVATE LIMITED,"Pulchowk, Lalitpur","55201875539711,,"
Goenka Foods Pvt. Ltd.,"5/41, Maitri Path, Bhairahawa, Nepal,","71-520451561851,9857020451,"
Jeevan Deep Pvt. Ltd.,"Kalimati,","00977-1-4274534,00977-9851024129,"
SS Group of Industries Pvt. Ltd.,"Jaycees Bhawan, Thapathali-11,","+977-1-4259778+977-1-4100528,+977-9801620900,"
Blue Sky Traders and Builders (P) Ltd.,"Tinkune, P.O. Box: 9072, Ktm,","00977-1-4499931,,"
Global Alpha Tech Service (P) Ltd.,"Kamalpokhari,","00977-1-44355389841280949,,"
NEPALESE HANDICRAFTS,"Bhaktapur,","6612392,,"
Neupane Engineering Pvt. Ltd.,"GPO: 33, Chitwan, Bharatpur-10,","524439526904,,"
PARTH ENGINEERS AND CONSULTANT,"Rakhail, Ahmedabad","91-79-2273212155256009,,"
Paxi Glassfiber Industries Pvt. Ltd.,"New Baneshwor, P.O. Box: 2373, ktm,","00977-1-47803764782086,,"
Poly Glass Industries,"Kupondol,","00977-1-5538735,,"
PRINTING MACHINE SUPPLIER,"BALKHU,","279706,,"
"Shree Shanker Rice, Oil & Flour Mills","Lahan-4, Shiraha,","033-560375,,"
Tractors Nepal Pvt. Ltd.,"Nakkhu, Lalitpur,","00977-1-55923915592060,,"
B L Goenka Group,"Siddharthnagar, Bhairahawa","71-520451526851,9857020451,"
Color Zone,"Mid Baneshor,","00977-1-4469634,00977-9851020318,"
Nepal Shalimar Paints Pvt. Ltd.,"Kuleshwor, P.O. Box: 2342, Ktm,","00977-1-42815694285414,00977-9851021126,"
Siddha Baba Engineering Workshop,"Simara (2), Gaddimai Municipality, Bara District, Narayani Zone, Nepal,","unknown,+9779845021838,"
AAR BEE ENTERPRISES,"Naxal,","44346904434825,,"
Adarsha Paint & Chemicals,"Kamaladi,","00977-1-44141404410226,,"
Adarsha Paints & Chemicals,"Kamaladi,","44102264414140,,"
A. S. ELECTRIC AND MACHINERY STORES,"Sundhara,","42305974262438,,"
AWAI AUTO TRADING COMPANY,"Jyatha,","42493754249115,,"
Baba Paints Pvt. Ltd.,"P.O. Box: 203, Brt,","5262389851088958,,"
Berger Jenson & Nicholson (Nepal) Pvt. Ltd.,"Koteshwor, P.O. Box: 3530, Ktm,","00977-1-44660384466039,,"
BHAJURATNA ENGINEERING AND SALES PVT. LTD.,"Kantipath,","42254904225134,,"
Birganj Khadya Udhyog Pvt. Ltd.,"Alakhiya Road, P.O. Box: 20, Birgunj,","522045522464,,"
BISHAL PLASTOCAB IND. PVT. LTD.,"Koteshwor,","44936744461172,,"
Buddha Construction (P) Ltd.,"Kamaladi, P.O. Box: 1655, Ktm,","00977-1-4433044,,"
City International (P) Ltd.,"New Baneshwor, P.O. Box: 8973 NPC 557,","00977-1-47803204780200,,"
DEVTEC NEPAL PVT. LTD.,"Kantipath,","422683542291864253172,,"
DIAMOND ELCTRODES PVT. LTD. SUNDER WELDING ROD,"Kalimati,","42707304274882,,"
DIGI REFRIGERATION AND ELECTRICAL INDUSTRIES PVT. LTD.,"New Road,","4245735016221013,,"
DINESH METAL INDUSTRIES,"Kailali,","521292521392,,"
Dooars Carriers Pvt. Ltd.,"Bhote Bahal, P.O. Box: 4571, Ktm,","00977-1-424101442411574255654,,"
Earthmoving Spares Nepal,"Gwarko,","00977-1-2111328,,"
ELECTRIC AND MACHINERY TOOLS,"Narayangadh, Chitwan","520920521513,,"
Equipment Maintenance Centre (P) Ltd.,"Satungal,","00977-1-4312008,,"
Everest Paints,"New Road,","00977-1-4249918,,"
Evergreen Transport Co. P. Ltd.,"Khichapokhari, P.O. Box: 1100, Ktm,","00977-1-4269844,,"
General Trading Concern,"Putalisadak, P.O. Box: 236, Ktm,","00977-1-441214044154654483856,,"
GEO-TECH INTERNATIONAL PVT. LTD.,"Bhanimandal, Lalitpur","553507858549206,,"
Global Commercial Center (P) Ltd.,"Sanepa, P.O. Box: 13982, Ktm,","00977-1-55255919851024616,,"
"Gopal Oil, Dal & Flour Mills","Bohara Niwas, P.O. Box: 18, Btr,","522203530313,,"
Harisiddhi Paint Industries,"Mitrapark,","00977-1-0162164954486384,,"
Heavy Help Link (P) Ltd.,"Kamaladi, P.O. Box: 1655, Ktm,","00977-1-4433044,,"
H.G. ENT. PVT. LTD.,"Koteshwor,","460067446011722050100,,"
HIMALAYAN YAK AND SHEEP WOOL,"Thamel,","44169154429381,,"
Jyoti Shree Enterprises,"Minbhawan, P.O. Box: 13254, Ktm,","00977-1-44770944476927,,"
KANTIPUR TRADING HOUSE,"Teku,","42556564262089,,"
KATHMANDU GLOW,"Putalisadak,","44208989851007160,,"
Kayo Fibre Glass Udyog Pvt. Ltd.,"Tripureshwor, P.O. Box: 2058, Ktm,","00977-1-42602904261389,,"
Khadya Udyog Ltd.,"Kalimati, P.O. Box: 483, Ktm,","00977-1-427120842710144271593,,"
K. M. Inter Trade,"Gabahal,","00977-1-55265505530552,,"
Kumar Trading Co.,"Kalimati,","00977-1-42868604288863,,"
KUSHAL INTERNATIONAL TRADING CONCERN,"Dhalayacha, Lalitpur","55346295545011,,"
LABTECH SYSTEMS PVT. LTD.,"Pulchowk, Lalitpur","21133629851075714,,"
MENAKA ENTERPRISES PVT. LTD.,"Thapathali,","42606749851036917,,"
Minar Lodge,"Sundhara, P.O. Box: 11960, Ktm,","00977-1-423106442162394252470,,"
M. R. Carriers Pvt. Ltd.,"Balkhu,","00977-1-4670371,,"
NALINI ELECTRODE PVT. LTD.,Lalitpur,"5542764,,"
National Paints,"Tahachal, P.O. Box: 1228, Ktm,","00977-1-4278101,,"
