Name,Address,Telephone
Incredible Himalayan Sherpa Adventure Pvt.Ltd,"Amrit Marg st. Bhagwan Bahal, Thamel, ktm,","+977-1-4411641,+9779841071023,"
Himalayan Monk Travels & Treks P. ltd.,"100 mtr south. Narshing Chowk Thamel.,","+97714253402,9856021538,"
Namaste De Cargo Pvt. Ltd.,"Thamel Kathmandu Nepal,","014223989,9851148116,"
Nepal River Runner pvt.Ltd.,"Thamel, Paknajol Chok DRS Bhaban,","+977 1 4701456,+977 9851188261,"
The Nepal Trekking Company (p).Ltd,"Yapikhya Marga,Thamel Kathmandu Nepal,","014 219082,+977 9841812218,"
Mountain River Rafting,"Thamel, Kathmandu Nepal,","97714700770,9851088440,"
Soul Himalaya Trek and Tours,"https://goo.gl/maps/KMRUv4AiCup,","5223308,9841482294,"
Liberty Holidays Inc,"Narayanhiti Palace Museum North Gate Rd, Lazimpat, Nepal.,","01-4411001,,"
SAGAURAV JHUMKA TRAVEL & TOURS (P) LTD.,"Main Road, Night Bus Station, Jhumka,","025562186,9815361407,"
Snow touch travel and treks pvt. ltd,"lakeside 6 pokhara,","061-467645,9856047927,"
PEC ATTESTATION & APOSTILLE SERVICES,"F3, SAHAJANAND COPLEX, Near Associate Petrol Pump, CG Road, Ahmedabad 380006,","079 40396163,9879872707,"
Hotel florid nepal,"Z street thamel,","014701233,9849023179,"
Travel Corporation Nepal,"Dhapasi-1, Kathmandu Nepal,","4370213,9801749941,"
Classic Himalayan Travels & Tours,"G. P. O. Box 7860, Nag Pokhari, Naxal Kathmandu, NEPAL,","+977 (1) 4414943,+977 (1) 4414944,"
TheEverestHoliday,"sorakhutte,Thamel,","+977-9851022303,,"
