Name,Address,Telephone
Hilltake Gas Geyser,"Durbar Marg,","00977-1-42157714215788+977 1 4388691,,"
ANAND OVERSEAS,"link road ghantaghar-10 birgunj ,","51529388,9855029388,"
Prudential Services and Trading Pvt. Lt.,"chabahill,","01-4484776,98404686189842211970,"
Ananda plastic pvt.ltd,"manamaiju-8,","+9779851260072,+9779851000578,"
Cleaning Service Nepal,"Chabahil,","9861607898,9861607898,"
Mangalam Doree Industries,"Bajrang Tol Road, Behind Thakur Ram Campus, Adarshnagar, Birgunj, Nepal,","+9779855020770,+9779855022930,"
Bishnu-Laxmi Concern,"Aloknagar Marg, Kathmandu, Nepal,","01-4106898,9841355155,"
Petrogreen Petroleum,"Andheri Kurla Road, Andheri west Mumbai,","09315460835,09315460835,"
Motion Traders,"Jagati,","9841134915,9851330385,"
Prudentialcleaningservices,"chabahill,","01-4484776,9843231365,"
Kathmandu Pest Control Service,"basundhara,","9849194481,9849194481,"
Smart Cleaning,"Khusibhu,","014361839,9841706122,"
Roshni Lamp Industries Pvt. Ltd.,"Patan Industrial Estate,","00977-1-42230685535814,,"
Clean Services,"Gaurighat,","014485999,9851152299,"
Nepal Chemical & Soap Industries,"Murli,","+977-51-522141,,"
Redata pvt.ltd,"Chhetrapati,kathmandu,","014249371,9803290184,"
MM PLASTIC UDHYOG PVT. LTD.,"Malaya Road,","527186530295,,"
J. J. MARBLE HOUSE,"Samakhushi,","4353017,9802034434,"
Bottlers Nepal Limited (Coke),"Balaju Industrial District, Balaju,","+977-1-4352986+977-1-4352988,,"
FUJIMA OIL COMPANY PVT. LTD.,"M8PX+VW9,","+977-21-421195+977-1-4117930,,"
"Nepal Overseas Trading Concern Pvt. Ltd., Castrol Lubricants",unknown,"+977 1-5522020,,"
Pashupati Polypropylene Ind. (P) Ltd.,"Vidhapith Path,","+977 -21- 416032,,"
Riddhi Siddhi Chemical Traders,"Kathmandu, Nepal,","+977-1-5107118,+977-9851120308+977-9851240308,"
Surya Paints & Chemical Industry Pvt. Ltd.,"Kupandole,","+977-1-5422432+977-1-5203542,,"
Krishna Plastic Industries,"sunakothi, simako chowk,","+9779851179034,,"
Panchakanya Group,"Krishnagalli, Lalitpur,","5526551,,"
Supreme Chemicals Pvt Ltd,"Mid-Baneshwor, Near White House College, Sahabhagita Marg, Kathmandu-10,","+977-1-5172664,98510521679851231905,"
Closure Systems International Nepal Pvt. Ltd.,unknown,"57-523543,,"
Shree Chemicals,"House Number:-43, Ward Number:-10, Adarsh Nagar,","+977-51-5211205+977-51-526699+977-51-526700+977-51-524987,,"
Gorakhnath Enterprises,"Narayanghat,new road,","00977-56-572237,9855063945,"
BHARAT PETROLEUM CORPORATION LIMITED,"Makar-VDC-4, Bardghat, Nawalparasi,","078-580132,9857080132,"
AARTI SOAP AND CHEMICALS INDUSTRIES PVT. LTD.,"P87F+4HF,","+977-1-4430976+977-1-4430997,+977-9801166610,"
NB Traders,"Kamal Tole Inaruwa,","+9779842503997,+918130114011,"
Dattashri Enterprises,"Shivne,Pune,","912025293781,9822068688,"
Mithila Chemical Enterprises,"Jorpati,","00977-1-6915703,00977-9851101091,"
Namaste Books and Statiomery,"Dhaneswor Chowk , Kushma ,","067420835,9847625925,"
U.K. Plastic Industries-Anisha Plastic Udhyog,"Jahada Road,","021-417173021-417073,,"
ASIA PACIFIC TRADERS,"Teku,","42150754256049,,"
Fame storage system Pvt Ltd,"A T Complex,","9811926887,9811926887,"
Kotaa Dhuku Oil Store,"Balaju, Kathmandu, Nepal,","01-435044401-4350555,9851036056,"
Shell Trading Pvt. Ltd.,"Gatthaghar, P.O. Box: 8975 EPC 7273,","00977-1-66327402131140,,"
Alternative Profile UPVC Industries,"Bansbari,","00977-1-43717894373584,,"
Jay Hanuman Trade Concern,"Jay Hanuman Trade Concern, Birtamode, beside Mega complex, jhapa, Nepal,","023-530212,,"
Kuber Trading Company,"2336 Tilak Bazar, Tilak Bazar, India, Bhojpur","011-23960648,9868154829,"
PerfumeAndCologne.com,Ned York,"718 779 9535,,"
Piya Plastic Industries,"441, Mainroad, Narayangarh,","056-596210,,"
