Name,Address,Telephone
Himal Hydro & General Construction Ltd.,"Bhanimandal, P.O. Box: 12268, Ktm,","00977-1-5000032+977 1-5555977,,"
BHAJURATNA AGENCY PVT. LTD.,"P898+9XH, Lazimpat Rd,","+977-1-4411786061-527293,,"
Eco Cell Industries,"Banepa, Kavre,","9841907186,98410065549841622325,"
Raman Construction (P) Ltd.,"Dhanusha,","521733+977 -1- 4474017,,"
Golyan Group,"Mills Area,","522790525829525271+977 1 4671200,,"
Essel-Clean Solu Hydropower Pvt. Ltd.,"P.O. Box: 24773, Ktm,","00977-1-4264827,,"
Sutra Construction & Designers(Prefab)P.ltd,"Tinkune Gairigaon,Gauri Marg; Kathmandu Nepal,","01-6924123,9851188409985124840998498254099748936524,"
Green Design Nepal Pvt. Ltd.,"1st Floor, Shankamul Tower, Shankamul,","9851120343,9851120343,"
Nepal Construction Mart,"Kupondole, Lalitpur,","015180320,9801188110,"
Vara Architects and Builders (Pvt) Ltd.,"Baneshower , Kathmandu,","9851000641,9816900341,"
Nabil Construction (P) Ltd.,"chabahil chuchepati Kathmandu ,","9851000641,9816900341,"
G.A Builders (P.) Ltd. (Former G.A. Smart Housing),"Lamingtan Marg, Kathmandu 44600,","+977-1-4537766,,"
Medha Builders Pvt.Ltd,"kathmandu , Nepal, sankhumul,","0144786657,9851148723 / 9803545818,"
Future Works Building Solutions Pvt. Ltd.,"Norkhang complex, 6th Floor, Jawalakhel,","9813390252,,"
PCT,"Swayambhu, Kathmandu,","9818952881,9818952881,"
Azad Metal engineering Pvt. ltd,"balkhu ,","014036232,+9779823087617,"
Vinayak Interiors Dharan,"Chhata Chowk,Dharan,","9829366914,98293669149804334430,"
Structen Construction Pvt. Ltd.,"Kupondole,","9841470208,,"
Sutra Construction Pvt. Ltd.,"New Baneshwor, Way to Thapa Gau,","016925009,9851195379,"
Amatya Tar Jali and Steel Fabricator,"P8RJ+F9W, Chakrapath,","+977-1-4387227,+977 9851090155+977 9801090155,"
MAHAVIR INTERNATIONAL,"2V7J+M7M,","+977-51-529388,,"
Marsyangdi Engineering Consultant and Construction,"Banasthali, Kathmandu,","9810044118,9810044118,"
Bilat sons&Construction Co.Pvt.Ltd.,"Sanhaitha,","009779814741914,9814741914,"
Nepal Adarsha Nirman Co. Pvt. Ltd.,"Kuleshwor, P.O. Box: 5759, Ktm,","00977-1-42786254811612,,"
P. M. Construction and Engineers Pvt.Ltd.,"Balkhu-14,","4331327,98510264629860129946,"
National Research and Development Creation,"Samakhushi-29, Kathmandu, Nepal,","+977 - 1 - 43508714350596,,"
Nepali Homework,"New Bansehwor, Kathmandu, Nepal,","9800088332,9800088332,"
Sunrise Designers and Engineering Constructions Pvt. Ltd.,"Newroad,","unknown,,"
Sustainable Building Design Nepal,"Kalimati, Kathmandu, Nepal,","+977-9841403407,+977-9841403407,"
Ghorahi Cement Industry,"Bagmati,","+977-1-5111147,,"
Windor UPVC Industries - Best UPVC in Nepal,"Zero Kilometer, Malepatan,","+977-61-525771,+977-981-3183405,"
Samrakshyan Nirman Sewa Pvt. Ltd.,"Bharatpur 11, Hakim Chowk,","056524475,9855053675,"
ASHMA Construction Company Pvt. Ltd,"Balaju-16, Kathmandu ,","016221650014390268,9851063231,"
Green Design Nepal Pvt. Ltd.,"Sankhamul,","9851120343,9851120343,"
NATIONAL DRILLING COMPANY PVT. LTD.,"Maharajgunj ,Kathmandu, Nepal,","977-1-4016148977-1-4016198,98510238679851038236,"
UNIPAVE ENGINEERING PRODUCTS,"Ahraiwadi, Ahmedabad","91-79-2287098422870806,,"
Himalaya Filmfestival,"Scheepmakerstraat 461825 BP Alkmaar,","00 31 72 56 28120,,"
National Structure & Engineering (P) Ltd.,"Lagankhel, P.O. Box: 20157, Ltp,","00977-1-55214055542393,,"
HEAVY HELP LINK PVT. LTD.,"Kamaladi,","4433044,,"
Khadka Nirman Sewa,"Baijanath -1, Banke,","081403026,,"
AAR BEE ENTERPRISES,"Naxal,","44346904434825,,"
Ascender Associate (P) Ltd.,"Tinkune,","4495455,,"
Geoce Groundwater Development Company (P) Ltd.,"GPO: 624, Ktm, New Plaza,","44240139851021204,,"
INCO PVT. LTD.,"Kalikasthan,","44319924433045,,"
PARADIGM TRADING PVT. LTD.,"Teku,","42522304219155,,"
UNITED SUPPLIER,"Putalisadak,","4424013,,"
WORLDWIDE TRADING CO. PVT. LTD.,"Lazimpat,","44125474415647,,"
CON-TECH PVT. LTD.,"Tinkune,","44873354473154,,"
Sitaldevi Machinery and Tools,"Newroad- Pokhara,","061-526331,,"
Aaron Windsor Rothschild + CASTMARK.COM,unknown,"01-1-310-268-0800,,"
P. S. Construction Company Private Limited,"Dillibazaar-32, Kathmandu, Nepal,","00977-1-4417136,,"
UNION TRADE CARE (NEPAL),"Dharmapath,","42437814248049,,"
AUCTION ROVER PUMP PLANNING,"Maitidevi,","4415849,,"
BANGLAMUKHI SOLAR AND WATER TREATMENT CENTER,"Shankhamul,","98415151929841887748,,"
PUBLIC POWER PUMP AND BORING SERVICE,"Chabahil,","4496044,,"
