Name,Address,Telephone
Lucky Group,"Tripureshwor, P.O. Box: 2337, Ktm,","00977-1-42608784260785+977 -1-4117249,,"
Probiotech Industries Pvt. Ltd,"KUK Building- 3rd Floor Sinamangal-10 P.O. Box 5751,","+977-1-4567791+977-1-4567792+977-1-4567793+977-1-4567794,,"
MUNCHA HOUSE,"New Road,","977-1-5535757977-1-553941442214704255479+977 1-5550877,,"
NEPAL YELLOW PAGES,"Baneshwor,","44766334461716+977 984-1472979,,"
PRANAM INTERNATIONAL,"Kalimati,","42770219851052097,,"
PANCHAKANYA STEEL PVT.LTD.,"Krishnagalli, Lalitpur,","552655155482355526357,,"
Hulas Wire Industries (P) Ltd.,"Ganabahal, P.O. Box: 363, Ktm,","00977-1-4250001+977-21-420117,,"
Panas Pharmaceuticals Pvt. Ltd.,"Baneshwor,","00977-1-4491153+977-81-403005,,"
Khetan Group,"GPO Box: 6156,","+977-1-4446400+977-1-4446401+977-1-4446402,,"
Foodmandu Pvt. Ltd.,"Anamnagar, P.O. Box: 7469, Ktm,","+977 1-4444177+977 1-4440979,,"
Laxmi Confectionery Udyog,"Sangam Chowk,","520876,,"
MOHAN BISCUIT FACTORY,"Dhankuta,","520208,,"
Laxmi Dalmoth Udhyog,"Bag Bazar,","522251,,"
NOCHINI Pvt. Ltd.,"Thamel ,","9808980015,9851076401,"
"The Beekeeping Shop, Beekeeping & Research Centre","Manbhwan, 2546 The Beekeeping Shop, Patan, Lalitpur-5, P.O. Box: 12780, Ktm (shifted from Kumaripati),","+97715547278,,"
Warsi Foods,"Bhairahawa, Rupandehi, Nepal,","+977-71-522372,+977-9847451897,"
Cmdfoodland,"Naxal Tangal,","00977-1-44384464415997,9851011734,"
Dealgarnu super App,"Balawa Mahottari Nepal,","9807635902,9807635902,"
The Beekeeping Shop,"Manbhawan, Lalitpur, P.O. Box: 12730, Kathmandu,","00977-1-5547278,,"
Orchid Food Pvt. Ltd.,"Dadhikot-3, Bhaktapur,","977 014212463,,"
Sarawagi Group,"48/57,, Khadya Bazaar Marg, Balkhu - 14,,","9802069589,,"
Anuyant Traders,"GR Garden, Greater Noida West UP","+91 7500432378,+91 7500432378,"
Happily Baked,"Main Road, Opposite Nepal city bank,","9862989591,9862989591,"
Sancheti Tea,"Kathmandu, Nepal,","021516882,,"
Himalayan Coffee Trading,"Gairidhara,","014040082,9851013373,"
Himalayan Coffee Trading,"Gairidhara-2, Kathmandu,","4004082,9841194732,"
Tealaya,"Jyatha, Thamel,","014226678,9851011499,"
YourKoseli,"Gongabu, Ganeshthan,","068521083,986762168998436132659861007803,"
Himalayanadventureintl,"Budhanilkantha,","9803526139,9803526139,"
Justnep,"Munibhairab Marga, Tinkune, Kathmandu, Nepal,","01-5199731,980188158898018815839801881590,"
Shubha Medina Tours & Tavels,"Jorpati Chowk,","unknown,9819335079,"
SKYTECH INDUSTRIES,"Budhanilkhantha Road, Kathmandu, Nepal,","9968336244,9968336244,"
Aqua World Pvt. Ltd.,"Gokarna, Kathmandu,","5223028,9851029159,"
Himal Farm,"Khumaltar, Lalitpur,","00977-1-5230579,,"
Saptakoshi Jal Udyog,"Pashupati Chowk, Itahari-2,","unknown,+977-981-3055271+977-985-2065271,"
Vokopoko,"Juneli Marg, Biratnagar,","9824357895,9824357895,"
Online cake delivery Shop Coimbatore - Friend In Knead,"No 14 Sankar Layout, Lakshmipuram, Peelamedu Post, Coimbatore - 641004,","unknown,7092789000,"
Valley Cold Store Pvt. Ltd.,"Naya Bazar, Balaju,","+977-1-4358560,,"
Kumar Oil Mill,"Khim Rana Path, Yogikuti, Tilottama 2, Rupandehi,","+9779768280411,,"
Kwality Biscuits Industries Pvt. Ltd.,"Krishna kunj, Matrika Marg,","+977-21-526815+977-21-518771,,"
Mad Honey,"Trakeshwor-4,","+977 9851023014,,"
N. STONE BEE CONCERN,"Satdobato, Lalitpur, Nepal,","+977-01-5523853,+977-9851064935,"
Aeron International Nepal,"Kathmandu Nepal,","009779801109909,009779841055795,"
Choice Mart,"Jadibuti kathmandu Nepal,","01-6924355,,"
DUGAR BROTHERS AND SONS,"Balaju Industries Estate,","+977-1-4362992,,"
Easy Trading Pvt Ltd,"Jarebar, Pokhara-06,","061-467330,9856026233,"
Himali Herbal Industries,"Kavre,","011-663262,9849284030,"
One House Solution Pvt Ltd,"Rajdurbar uttar Dhoka, behind hotel hiranya, tej bhawan Premisis,","unknown,98496808139851145462,"
