Name,Address,Telephone
Oldpinch Online Shopping,"Bagdol-4, Lalitpur,","015191399+977 -9864478470,9864478470,"
Next Generation World,"Kathmandu Mall, P.O. Box: 24678, Ktm,","00977-1-4150066+977 01 4469417,,"
Neoteric Nepal Pvt. Ltd.,"Ganabahal, P.O. Box: 363, Ktm,","00977-1-42124114250001+977 1 5553222,,"
Mahavir Shree International,"Old Baneshwor, P.O. Box: 410, Ktm,","00977-1-44618484461847+977 -1411-0 860,,"
Daraz Nepal,"Kathmandu, Central Development Region,","+977 980 1292 929,,"
Tech Partners Nepal,"New Road, Samsung Galli (Durbarthok Marga), Pokhara,","061-526550,9801024374,"
Nepal Construction Mart,"Kupondole, Lalitpur,","015180320,9801188110,"
Arun Smart Interactive Services,"Shantinagar-4, Nepal,","9844431480,9844431480,"
Nplmart.com,"newroad,","9861651393,,"
Archana Electronics Hub,"Gaur-1, Nagarpalikka Road, Rautahat, Nepal,","055-521505,9855040404,"
Airwell Nepal Pvt. Ltd.,"Budhnagar, Kathmandu,","9851054683+977 9851136944,9808100093,"
Electro - Ref Tech Pvt. Ltd,"Kupondol, Lalitpur ,","01-5260961,9818776832,"
RemaxPokhara,"Arbind Complex, New Road-8, Kaski,","061550434,9802823728,"
Singh Solutions P. Ltd.,"New Road,","01-4231572,+977-98510899879801089987,"
Vision World,"C/o Ramit Emporium,Gaighat-2,","+97735420233,+9779852830280,"
Add Link It Solution,"Bharatpur-3, Sheedchowk,","9867854777,9867854777,"
Dealgarnu super App,"Balawa Mahottari Nepal,","9807635902,9807635902,"
Ganapati manufacturing company pvt.ltd.,"Sitapaila,","unknown,+977-985-1112819,"
Sulabhbazar,"Boudha, Nayabasti,","9851154847,,"
Aircon Nepal Private Limited,"Tahachal, Soalteemod,","01-4302740,9802958402,"
Newamax Digital,"Laxmi Bhawan, Purano Sinamangal, Pepsi Chowk,","015156166,985114425198602677409849281925,"
KTM Plaza Nepal,"Infront Of Shankar Dev Campus Putalisadak,","01-4168085,9851295154,"
Muin International Pvt. Ltd,"Jwagal, Kupondole, Lalitpur, Nepal,","01-2239988,9851068979,"
Pro Tech Enterprises,"Bagbazar 31, Kathmandu, Nepal,","01-4256699,98410180989849779758,"
Jirel Electronics,"Dhobhighat, Kathmandu,","9813821252,+9779848864762+9779803045545,"
Neo Store,"Norkhang Complex, Jawalakhel,","+977-1-5553222,+977-9801200105,"
Crusade Himalaya,"Keshar mahal, Thamel,","4423578980-8121644,,"
DISTAR HOME APPLIANCES PVT. LTD.,"Mahabaudha,","4246113,,"
NPLmart.com,"New Road,","9851221241,9851221241,"
ProjectroniX Pvt. Ltd.,"Dhapakhel,","+977-1-5550577,9851198753,"
Reeva ElectroTech Pvt. Ltd.,"satdobato-15, Lalitpur,","4478305,9849987898,"
Electron International,"Sunghava Marg, Bhotebahal,","00977-1-4269721,,"
Muin International Pvt. Ltd.,"Kupondole,","+977 1 2239988,+977 9851068979,"
Satyam impex,"9/147 main road,","021-526337,9852026021,"
Faiz International,"Siddharthanagar-8, Bhairahawa,","9802673541,9847032521,"
KALINCHOWK ELECTRONICS AND MOBILE CENTER,"New Baneshwor,","4787711,9841003402,"
Renu Air Conditioning Suppliers,"Kalimati, Near Mali Petrol Pump,","+9779861611221,+9779801004440,"
MEGAtech,"Main road,","+977-21-572000,+977-982-0756280,"
EVERNAL ELECTRIC FANS,"Butwal,","071544954,9847045599,"
Prabhat Digital Photo Studio,"Buddhapath,","+97771546934,9847026663,"
HMT Electronics,"jagati choke,","016619876,9851004560,"
Bipassana International,"Teku,","00977-1-4258342,00977-9851037741,"
HARI OM T.V. CENTRE,"Hospital Line, Butwal/Bhairahawa","540506,,"
LG Electronics Inc.,"Khichapokhari, P.O. Box: 1275, Ktm,","00977-1-42500664249880,,"
Oscar Traders,"Lazimpat, P.O. Box: 1387, Ktm,","00977-1-44285764224210,,"
Pramilan electronic,"Shera Bazzar,","066520161,9819111424,"
New Khan Automobiles & Electronics,"Rajbiraj-04, Gajendra Chowk, Saptari,","031-522502,9814792800,"
Raja Electronics Pvt. Ltd.,"Kupandole,","00977-1-5435451,9851112208 / 07 / 09,"
Eco Visions,"Bhatbhateni,","00977-1-44413944413568,,"
EOL Pvt. Ltd.,"Sanepa,","00977-1-55251695525401,,"
ICT store Nepal Online shopping,"Newroad,","9851126092,9851126092,"
Sine Wave Electronics (P.) Ltd.,"kantipath,kathmandu,Nepal,","+977-1-4223495,+977-9841285760,"
Zoey Corporation,"3/184 Spall Street Purannagar,","00923217126162,,"
Abell Electronics Inc.,"Baneshwor, P.O. Box: 582, Ktm,","00977-1-478163947841774782345,,"
Attari International,"New Road, P.O. Box: 19865, Ktm,","00977-1-4229790,,"
AVCO International Pvt. Ltd.,"Lal Durbar,","00977-1-422988642250824225115,,"
Beltron Trading Pvt. Ltd.,"New Plaza,","00977-1-442977744298884423376,,"
BELTRONIX COMPUTER AND ELECTRONICS ENGINEERS,"Newplaza,","4429777,,"
Bitronic Telecoms Co. Ltd.,"Baneshwor, P.O. Box: 582, Ktm,","00977-1-478163947823454784177,,"
D AND D INTERNATIONAL,"Khichapokhari,","42488954244408,,"
Dewoo T.V. International Sound Service,"New Road,","00977-1-42636454230515,,"
ELECTROBYTE TECHNOLOGY PVT. LTD.,"Naxal,","44455804445581,,"
Touchstone Sales & Services Pvt. Ltd.,"GPO: 8975 EPC 1751, Harihar Bhawan,","55469495546950,,"
TOUCH STONE SALES AND SERVICES PVT. LTD.,"Sharp House, Lalitpur","55469505546949,,"
Uniphone Telecom Industries,"New Baneshwor,","4784177,,"
Shaktibya Trade Concern Pvt. Ltd.,"Chabahil,","00977-1-4483794,00977-9841273783,"
Digital Outreach Pvt.Ltd,"New Baneshwor, P.O. Box: 24953, Ktm,","00977-1-4499067,,"
HIGHER ELECTRONICS CONCEPT,"Jawalakhel, Lalitpur","5000167,,"
Neptel Global Pvt. Ltd.,"Maitighar, P.O. Box: 7940, Ktm,","00977-1-410155941015560,,"
Novel International Pvt. Ltd.,"Tripureshwor,","523734,,"
ROYAL ELECTRONICS,"New Road,","4238081,,"
"Shenzhen Xiaogen Elec. Equipment Co., Ltd","No. 163 in Fanshen Road, No. 48 in Baoan Area, Shenzhen","86-13798216807,,"
Square Infosys Pvt. Ltd.,"Patan Dhoka,","00977-1-5005554,,"
Valley Electronics,"New Road,","00977-1-4222454,,"
Aashraya Investment P. Ltd.,"Kalimati,","00977-1-42747544278423,00977-9851048230,"
BESTONE ELECTRONICS,"Dharmapath,","4220625,9841233844,"
Kashi Electric Stores,"Amarpath 6,","+977-71-530298,+977-985-7058177,"
Kathmandu Repairing Center,"Kupandole, P.O. Box: 86, Ltp,","00977-1-55374185530844,00977-9851055318,"
Thapa Engineering Industry,"Butwal Industrial Area, P.O. Box: 29, Butwal, Bhairahawa","71- 543658551560,9857020616,"
Ashoka Elelctronics,"Putalisadak,","4441874,,"
Asiatic International Trading Pvt. Ltd.,"New Baneshwor, P.O. Box: 13448, Ktm,","00977-1-478510747852239851021176,,"
Asmita Commercial Centre,"Gyaneshwor, P.O. Box: 6165, Ktm,","00977-1-44120864422062,,"
Atlas Enterprises Pvt. Ltd.,"Teku,","00977-1-4246594,,"
BUDDHA NATIONAL NETWORK PVT. LTD.,"Putalisadak,","42691654241247,,"
Cable Technology (P) Ltd.,"New Road,","00977-1-42422374225961,,"
Chandra Surya International Nepal Pvt. Ltd.,"Bagdurbar,","00977-1-4216347,,"
Chandrasurya International Pvt. Ltd.,"Bardurbar,","00977-1-4216347,,"
CHITWAN KITCHEN LINKS,"Chitwan,","5338729845055508692500,,"
Core Multisystem,"Kupondole,","00977-1-5545015,,"
Digital Home Pvt. Ltd.,"New Road, P.O. Box: 12046, Ktm,","00977-1-42465924218273,,"
Electro Complex Traders,"Kuleshwor, P.O. Box: 9116, Ktm,","00977-1-42834574283161,,"
Engineering Equipment Enterprises,"Lazimpat, P.O. Box: 10958, Ktm,","00977-1-441254744156474429539,,"
Gates Electronics,"Kuleshwor,","00977-1-42799474280194,,"
GAUTAM ELECTRIC AND ELECTRONIC CENTRE,"Thapathali,","4230908,,"
GENIAL TRADING PVT. LTD.,"Kamaladi,","44294154443014,,"
Greyhound Electronics (P) Ltd.,"Lazimpat, P.O. Box: 2894, Ktm,","00977-1-44328074411891,,"
HANSOPHONE ELECTRIC AND ELECTRONICS,"Old Baneshwor,","44927964492970,,"
Hemant Trade Concern (P) Ltd.,"Khichapokhari, P.O. Box: 1275, Ktm,","00977-1-42500664249880,,"
HOLDING ASIA INC.,"Old Baneshwor,","44730244477526,,"
