Name,Address,Telephone
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Shera Sherpa Adventures,"Post Box - 3417 Kathmandu, Nepal,","977 980816038000977984382313,977 9808160380,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
NepalLink Network Pvt. Ltd.,"Khusibu,","00977-1-42608222296776+977 1 5525877,,"
KlientScape Pvt. Ltd,"Gairidhara,","98020005929808362580+977 1-4425513,,"
S. W. Nepal Pvt. Ltd.,"89 Krishna Dhara Marga Maharajgunj, Kathmandu, Nepal,","4411156,9813983367,"
Target Consultants Human Resources Pvt. Ltd.,"Lazimpat,","00977-1-4005039+977 014478737,00977-9851079010,"
Sagarmatha Insurance Company Ltd.,"Chippledhunga,","061-535037+977-1-452904,977-9846219262,"
Solutions Consultant,"Thamel, P.O. Box: 8974 CPC 281,","00977-1-42242464269008+977-1-4001095,,"
Alignstech (P). Ltd.,"Anamnagar, P.O. Box: 1818, Ktm,","00977-1-62083592041825+977 1-4350441,,"
Elance Digital Media Pvt Ltd,"Bhimsengola,","977 981-8097976+9779843210144,,"
Agile Solutions Pvt. Ltd.,"Nil Saraswati Marga, Gairidhara, Kathmandu, Nepal,","01-400478901-4004790,,"
Himalayan World Wide Educational Consultancy,"4th Floor of Himalayan Bank, Opposite to, BICC Hall, (South Gate ) New Baneshwor, Kathmandu 44600, Nepal,","+977 1-4785685,,"
Til Ganga Eye Centre,"Gaushala, Bagmati Bridge P. O. Box # 561,","+977-1-597 0048,,"
Landmark HR Consultant,"Maitidevi, Kathmandu,","01-4390092,9813054004,"
MANAGEMENT SUPPORT SERVICE PVT. LTD.,"Kathmandu,","42714304271157+977-1-4276129,,"
Kantipur Management Private Limited,"Lagankhel-19, Lalitpur, Nepal,","+977 1 55305995532572,9801800020,"
Vigorous IT Solution,"Chhorepatan-17, Pokhara 33700, Nepal,","061460932,9816162802,"
Consult Sapkota,"Naxal ,","+9779808767283,,"
Tokyo International Education Institute,"Mid Baneshwor,","+977-1-4569078+977-9745667878,,"
Adex International,"Bagmati,","+977 9801832778,,"
Bitsbeat,"Bagmati,","+977 9808588164,,"
Curl Labs,"Bagmati,","+977 -984-1027948,,"
Elscript Technology Pvt Ltd,"Bagmati,","+9779818439664,,"
IT Advisors Nepal,"P8FQ+MRG, Baraha Marg, Kathmandu 44600,","+977 15713141305,,"
Pathway Technologies and Services,"Bagmati,","+977 1 5901054,,"
Swift Innovations,"3rd Floor, IME Complex, Kathmandu 44600,","+977 1-4417952,,"
Vairav Technology,"Bagmati,","+977-01-4441540,,"
Web Experts Nepal,Lalitpur 44600,"+977 1-5533059,,"
Jujutsu Tech,"P97C+X9C, Kathmandu 44600,","unknown,,"
AIP Education,"NIC Asia Bank, New Baneshwor, Second Floor, Above, Kathmandu 44600,","+977 -1-4793667,,"
Ambit Techno,"Kathmandu 44600,","+977 986-1884865,,"
AskMe Management,"Bagmati,","+977 -1-4537389,,"
Communicate Technologies,"Pradarshani Marg, Kathmandu 44601,","+977 015338464,,"
EveMoo,"Kathmandu 44600,","+977 981863384301-4491396 +977 9818633844,,"
Featherwebs,"Balkumari Rd, Lalitpur 44700,","+977 980-235-6014,,"
Kalpa Creatives,"Kathmandu 44600,","+977-1-6203488,,"
LIS Nepal,"Nepalganj, Bagmati","+977 5552226,,"
Palm Mind,"Kathmandu 44600,","+977 -01-5912155,,"
Soft9,"Complex, New Baneshwor Chowk, Kathmandu 44600,","+977 9802349994,,"
STARNET Enterprises,"Pargati Nagar Road, Kathmandu 44600,","+977 1-4791945,,"
Verisk Nepal,"Bagmati,","+977-1-5553546,,"
Expertranslations,"Bagmati,","+9779849658494,,"
Ample International Education,"Bagmati,","+977 1 4254445,,"
Shepherd Biz Advisory,"Bagmati,","+977 9867478501,,"
Himalayan Climate Initiative,"Bagmati,","+977 980-181-9080,,"
NMB Laghubitta Bittiya Sanstha,"Bagmati,","+977 61-400427,,"
