Name,Address,Telephone
Environmental Camps for Conservation Awareness (ECCA Nepal),"Kupondole, P.O. Box: 9210, Ktm,","00977-1-55504525553870,,"
ADVENTIST DEVELOPMENT AND RELIEF AGENCY NEPAL (ADRA),"Sanepa, Lalitpur,","55559135555914,,"
Federation of Nepal Cottage and Small Industries (FNCSI),"GPO Box: 6530, Maitighar Height,","+977-1-4222751+977-01-2003080,+977-985-7832505,"
International Nepal Fellowship,"Jawalakhel, P.O. Box: 1230, Ktm,","00977-1-5521183+977 61-570111,,"
BP Koirala Memorial Cancer Hospital,"PO Box 34,","056-245012+977-1-4413174,,"
Women LEAD,"Maitri Marg, Lalitpur 44600,","+977 981-855-3355,,"
Development Inn Pvt Ltd,"Bagmati,","+9779813054012,,"
National Innovation Center Nepal,"Bagmati,","+977 9841592361,,"
NepaliVivah,"Bagmati,","unknown,,"
Niriv,"M9FQ+7Q, Koshi Haraicha 56600,","982-7380957,,"
Indra Foundation,"Bagmati,","unknown,,"
