Name,Address,Telephone
Internet Market Today,"Ward No. â 5, Laxmipur Bagewa,","+977-98176-88178,+977-98176-88178,"
Nepgeeks Technology,"Putalisadak Kathmandu,","9869178426984-3026054,9869178426,"
Boss Digital,"Unit 2209, 22/F, Wu Chung House, 213 Queens Road East, Wan Chai, Hong Kong,","2402 4289,,"
Core Dreams Innovations Pvt Ltd,"Tikhedewal,Bishalchowk,Lalitpur.44700,","015543015,,"
OUTSIDE VALLEY,"Kathmandu,","4257800425790001-5554982,,"
Websanjal,"Balaju, Banasthali, Dhungedhara Kathmandu, Nepal,","977-01-4880155+977 9841 688 226,,"
GLOBAL IT SUPPOERT PVT. LTD.,"Putalisadak,","42557474243455,9851060143,"
SEO Company Nepal,"Satghumti-29, Thamel,","+977 9841827520,,"
Analogue Inc,"Gausala,","+9779802320803,,"
Convergetree Technologies Pvt Ltd,"Tinkune, BasukiNagar,","15199579+977 9851161789,9869052525,"
Trinity Infosys Pvt. Ltd.,"New Road-22,","+977-01-4238034+977 985-1007524,+977-9851007524,"
Capital Eye Nepal,"Jhamsikhel,","00977-1-5013564+977-01-5526615,,"
Web Technology Pvt. Ltd.,"Thamel,","00977-1-444162016914019,00977-9841319835,"
Young Innovations Pvt. Ltd.,"Pulchowk, P.O. Box: 9876 EPC 241,","00977-1-2291892+977-1-5536093,,"
Neptrox Solutions Pvt. Ltd.,"Imadol, Gwarko, lalitpur, Kathmandu Valley, Nepal,","01-6201277,98511201719851220381,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Nur Nepsol Solutions Pvt Ltd,"Munni Bhairab Marg, Tinkune, Koteshwor,","977 980 10 111 85,,"
I. Nepal Pvt. Ltd.,"Koteshwor-35,","00977-1-9851014638+977 9842037889,,"
Web Creation Nepal Pvt. Ltd.,"Bagbazar,","977 42462494243968,977 9851029233,"
Best Nepal Pvt. Ltd.,"Thamel,","00977-1-47008080097714426808,,"
Amnil Technologies,"Manbhawan,","00977-1-5531784,,"
Vertex Solution Inc,"Puspalal Path,","9841238560+977-1-4381826,9851238565,"
Weblink Nepal IT Institute Pvt. Ltd,"Bagbazar, P.O. Box: 21466, Ktm,","00977-1-4248668+977 980 1114897,00977-9841506331,"
Broadway Infosys Nepal Pvt. Ltd. (Computer Training Institute ),"Tinkune,","00977-1-20505334117578,00977-9841936873,"
Digital Gurkha,"Old baneshwor, Kathmandu,","+977980518755101-5913819,,"
Delta Tech Nepal,"Tinpaini, Biratnagar, Nepal,","9802753996+977 -980-4067-116,9804067116,"
Webpal Private Limited,"Koteshwor-32,","9864900900+9779801096633,,"
Websoft Nepal (P) Ltd,"2nd Floor Pashupati Plaza, Honkong Bazar Rd, Narayangarh, Chitwan,","+977-56-527600,+977-9845506426,"
Digital Terai,"New Baneshwor,","+9779863992047,+9779863992047,"
Salfox IT Solutions,"1043/31 Bhagawati Marg, Naxal, Kathmandu ,","01-4413364,984154856098400119999803507241,"
Journey4tech,"Ramanad Chowk , Janakpur,","9801035905,9801035905,"
Green Edge Technologies Pvt. Ltd. (GETS),"Aadrasha Marga, Newroad-8, Pokhara, Gandaki,","061526092,985602609298028311339802831134,"
InDesign Media Pvt. Ltd.,"Sansari Maisthan,","9841653356,9852039585,"
Orangic Smart Technology Pvt. Ltd.,"Mills Area(Near of Holy Cross School), Janakpurdham,","9824890248,,"
Magnetic Web Solution,"Kupondole -1,","5529553,9810166373,"
Tech Care Infosys,"Gokarneshwor-11, Namgyal Bus Park,","+97714801214,,"
Neosphere,"New Baneshwor Kathmandu, Nepal,","977-1-5551515,,"
SIDDHARTHA GRAPHIC AND PRE PRESS SUPPORT,"Bagbazar,","4245091,,"
THAKUR INTERNATIONAL AND INVESTMENT Pvt. Ltd,"Lamtangi Marg, Chundevi, Maharajgunj, Kathmandu-4, Nepal,","+977-1-4720270,,"
aapple technologies,"dhoka baha, jyatha,","014248763,9849143786,"
BMP Infology Pvt. Ltd.,"Baluwatar Kathmandu,","01-44168169849326436,98418271959841851230,"
Orasoft Pvt. Ltd,"Minbhawan,","00977-1-46210429801000269,00977-9851000269,"
Transparent Digital Agency,"Adarshanagar, Kathmandu,","01-4822063,98036768589851118518,"
Bikashsoft Technology pvt. Ltd.,"Kapan Kathmandu Nepal,","014378541,9841558333,"
Bramento Technology,"Maitidevi,","+977 9803737690,+977 9843526650,"
Graphic Design Nepal,unknown,"unknown,98037328649849028652,"
Mega Innovative Nepal Pvt .Ltd,"Junhall Road,","056530836,9851249338,"
SEO Expert in Nepal - Pradip Khanal,"Samakhushi,","01-6200858,(984) 966-2858,"
Podamibe Nepal,"Blue Star Complex,Tripureshwor,","01-4101043,,"
Prime Soft Services Pvt. Ltd.,"Milan Chowk,","9857041343,9867157330,"
Zen IT Hub Pvt. Ltd.,"Satdobato, Lalitpur,","+977-1-5521533,+9779849123571,"
Softbenz Infosys Pvt. Ltd,"Sankhamul Kathmandu, Nepal ,","01-4786657,9801848492,"
Sutra It Consult Pvt. Ltd.,"Butwal , sukhrapath,","071541762,9815425233,"
Vertex Web Surf Pvt. Ltd,"Samakhusi, Near Tokha Road, Tokha Rd,","014388511,9849662858,"
