Name,Address,Telephone
Agile Solutions Pvt. Ltd.,"Nil Saraswati Marga, Gairidhara, Kathmandu, Nepal,","01-400478901-4004790,,"
Kumari Job,"Thapagaun,","+977 1-5199600,9801178845,"
MANAGEMENT SUPPORT SERVICE PVT. LTD.,"Kathmandu,","42714304271157+977-1-4276129,,"
Broadway Infosys Nepal Pvt. Ltd. (Computer Training Institute ),"Tinkune,","00977-1-20505334117578,00977-9841936873,"
Kantipur Management Private Limited,"Lagankhel-19, Lalitpur, Nepal,","+977 1 55305995532572,9801800020,"
Digital Gurkha,"Old baneshwor, Kathmandu,","+977980518755101-5913819,,"
International Standard Icon- ISI NEPAL,"Balkumari,Kathmandu,","+977-1-5 186 186,9851117676,"
Achievers Consulting Services Pvt. Ltd.,"Jahada Road, Biratnagar-13, Morang- Nepal,","9804606448,9852026448,"
NIIT Dharan Centre,"Ratna Road,","526728526729,9779842234302,"
Quick Fix Pvt. Ltd,"Adharsnagar-13, Birgunj, Parsa, Nepal ,","+9779855038080,+9779801716000,"
Delta Educare Nepal,"2nd Floor, BBC Bhawan, Chipledhunga,","+977-61-589853,+9779806777053,"
Triveni driving centre,"Chitwan,Bharatpur10,birendracampuschock,side of cg landmark,Nepal,","056528091,98550654779855085977,"
Global Institute of Hotel Management & Tourism Technical Pvt. Ltd.,"Shantinagar Gate, Baneshwor,","01-4621098,9841588259,"
JST Consultants,"Milap House, Sanepa, Lalitpur, Nepal,","+977 1 55354335521691,98609309609818329805,"
Geospatial Innovation Solution (GIS) Pvt. Ltd.,"Chabahil-7, Gaurighat, Kathmandu,","01-41145362,9851073570,"
Global Wings Pvt. Ltd.,"Putalisadak,","014233864,98010627699851192769,"
School of Information Technologies,"Raja Janak Marg, Tinkune ,","01 4117999,9861666678,"
Supra Services Pvt. Ltd.,"Kanibahal, Level 2, Ward No.6, Lalitpur 44600,","9880597634,9880597634,"
Eurowings Aviation & Consulting Ltd.,"12 Ventouri Street, 15561 Athens, Greece","+302106525100,+306944568701,"
FLYTECH INTERNATIONAL AIR HOSTESS ACADEMY,"New Plaza, Putalisadak,","4432169,9841245427,"
ICA Training Centre,"Kriti Marg, Koteshwor, Kathmandu Nepal,","01-514712201-5147123,9851035715,"
Air Hostess Training Institute (P) Ltd.,"New Baneshwor, P.O. Box: 5112, Ktm,","00977-1-47835642042030,,"
Four Ace Business Solutions Pvt. Ltd.,"Sorhakhutte,","01-4361444,,"
Muse Education,"Ram Kunja, Level-1, Putalisadak,","014446077,9803999299,"
Prime Multipurpose Services Pvt. Ltd.,"Srijanachowk,","unknown,98251535049825153505,"
UNISTAR Education,"Siddhartha Chowk, Pokhara,","061534957,9864428850,"
Yala Institute of Technology,"Lagankhel,","+97715537320,5261903,"
MiRON Laboratory & Research Center (MLRC) P. Ltd.,"Sairam Marg, Tinkune, Gairigaon-9, Kathmandu,","977-1-4483490,9851182019,"
National Institute for Career Education,"Adwait Marg, Bagbazar-31, ,","014240193,,"
Radisson Hotel Training Center,"Kalimati, Kathmandu,","01-430290901-4384986,9868108016985104426598510014569851044252,"
Nascent Education Foundation,"Ghantaghar, Link Road, Birgunj,","051-527522071-525028,9806881742,"
Nepal Speakers Bureau,"Kathmandu,","+977,9843772688,"
Universal Institute,"Pako, Newroad,","01-4246260,9851198723,"
Alliance Pvt Ltd,"Adwait Marg, Kathmandu,","01-4168211,9841030824,"
American Language Center,"Bhagwati Bahal Rd, Naxal,","00977-44150054421640,98181544169860041551,"
Yantra Solution,"Milap Marg, Sanepa, Lalitpur,","+97715525768,9841077158984156033298415749559841123947,"
Asian Himalaya Music School,"Jamal, P.O. Box: 23410, Ktm,","00977-1-4238188,00977-9841601629,"
Miracle Career Consult,"MCC House, Dillibazar,","+97714436022,+9779851056103,"
Earl Electronics and Technical Institute,"In front of Itahari Sub Metropolitan Municipality,","+977-9842035081,,"
Mastermind Engineering Consultancy,"Yeti Plaza,Bagbazar,","00977-1-4248199,+977-9851127076+977-9841469226,"
