Name,Address,Telephone
PIE,"Mitrapark, Chabahil,","014475239,9801820110,"
AccessWorld Tech Pvt. Ltd,"5th Floor , Bhatbhateene Super Store , Pulchowk ,","9801000575,9801053824,"
Delta Tech Nepal,"Tinpaini, Biratnagar, Nepal,","9802753996+977 -980-4067-116,9804067116,"
Speedy Travels & Tours Nepal P. Ltd.,"Thamel,","00977-1-44179284422710,,"
Aspark Systems,"Bagmati,","+9779820805601,,"
Eydean,"Bagmati,","+977 9840067049,,"
Delta Sales App | Sales Automation & Field Force Tracking Software,"Bagmati,","+977 9801563518,,"
Delta Sales CRM,"Bagmati,","+977 -9801563518,,"
Delta Inventory: Best inventory Managing Software In Nepal,"Bagmati,","+977 -9802753996,,"
StackBills,"Bagmati,","+977-1-4000099,,"
Edumonk,"Bagmati,","unknown,,"
