Name,Address,Telephone
Nepal Art & Craft Industries,"Dallu, P.O. Box: 9614, Ktm,","00977-1-9841549384+977 -1-4248003,,"
Rillmark Pvt Ltd,"Maitidevi, Setopool ,","01-4420115,98404457539851132116,"
Annies Icecream,"Jhamsikel Lalitpur,","5541935,9802055672,"
Heritage Craft & Export,"Ichangu,Kathmandu, Nepal,","977-9841942604,977-9841942604,"
Handicraft Karma,"Kanibahal,Patan,Central Region, Kanibahal, Patan, Nepal,","+9779849010614,+9779849010614,"
Lazimpat Glass House,"Narayangopal Sadak,","unknown,984-1271392980-8457204,"
ArEiCon Architects and Engineers Consultants,"Kupondole, Jawgal, Lalitpur, Nepal,","01-5524457,9849028039,"
Glass Etching Centre,"Shantinagar,","00977-1-4117788,00977-98412243469841733719,"
G Art Gallery,"Golfutar main road, Kathmandu,","+9779851108619,9851108619,"
GK&CO.KUKRI HOUSE,"Thamel-29,","977-1-4351393,977-9851015547,"
RK electronic and crafts,"Janpath tole, Biratnagar, Nepal ,","9812327166,9812327166,"
Siddhi Ratna Bhada Pasal,"Tichhu Galli, Lalitpur - 19, Nepal,","015531227,984157067498089013229813057360,"
Subha Sagun Wool Handicraft Industries,"Gongabu, Ganeshsthan,","+977(0)14359025,+9779849924135,"
Yolmo Lungta House & Exports,"Boudha,","01-49150444915383,+977 9818161722,"
Buddhist Art Gallery,"Boudha,","9818940763,9851054428,"
Creative Decor Pvt.Ltd,"446 Gairidhara Marga, Gairidhara,","977-4413499,9841242808,"
Kathmandu Montessori Training Center,"Putalisadak Chock Bagbazar,","012294222,9851082064,"
Pumori Engineering Services Pvt. Ltd.,"Basanta Marg-351, Babarmahal, KMC-11, Kathmandu,","00977-1-4216034/42399839851104112,00977-98511096179851006427,"
Curio Gallery,"Durbar Marg, P.O. Box: 12478, Ktm,","00977-1-4436746,9841241261,"
Mahaguthi Craft with Conscience,"Kupondole, Lalitpur,","552160755331975532981,,"
Arun Iron Stores and Asian Paints Colour House,"Shiva Mandir Tole- 2,","+977-76-560204,+977-9857053630,"
Unique FM,Musikot 1 Khalanga Rukum,"088530307,9857821873,"
Bishwa Art,"Sangam Chowk,","057-521880590890,9855067741,"
Dreamland Interior Solution,"Bhadrapur Road,","023-546423,9852689502,"
Microtek Printing House,"Dhangadhi-1, Kailali,","091-520594,9858421740,"
Kaal vairav art school,"ranipauwa,","9840603635,9840603635,"
Traditional Art of Nepal,"Changunarayan Rd. 8,","9841111599,9841111599,"
Great Gurkha Khukuri - GGK,"Pyafal Line, Near HanumanDhoka,","+977-1-4219950,9841211343,"
Saman Frame Store,"Dallu , Amar Chitra Marg,","01-4284602,97410324339843877288,"
SUMES GLASS TRADERS,"Siddhitol,gongabu-6,","9810224148,9810224148,"
Crafteria Nepal Pvt. Ltd.,"Thamel, P.O. Box: 3588, Ktm,","00977-1-42129599851049284,9851049284,"
Felt Ball & Rugs,"Khusiboo Road, Nayabazaar,","9843411060,9843411060,"
Himalayan Handicraft Center,"Lazimpat,","00977-1-44108062073284,00977-9841572355 and 9813351726,"
Buddhist Treasure International,"Harihar Bhawan, P.O. Box: 8975 EPC 368,","00977-1-55418009841283606,986447589098412836069861345443,"
Droppe creation,"Itahari Sub-metropolitan city, Narbhasha 15,","unknown,98415131269808056203,"
Hamro Hastakala Bikri Bhandar,"Tahachal,","00977-1-4276804,,"
Nepal curio arts and exports,"Thamel,","+977 9749344420,,"
CBA Handicraft,"Thamel,","00977-1-4380440,00977-9841825700,"
Kathmandu Exports Pashmina,"Thamel,","00977-1-42690754363905,9841266123,"
Carpet Design and Manufacture,"sainbu,lalitpur,","unknown,9851197624,"
Hamro Hastakala Bikri Bhandar,"Tahachal, P.O. Box: 10758, Ktm,","00977-1-4276804,9841242613,"
OM EVEREST CERAMIC,"Kamaladi,","9841095718,9841099616,"
The Carpenter Hardware Center,"Gyaneshwor,","4420522,9851029699,"
Boudha Stupa Thanka Centre,"Boudha, P.O. Box: 886, Ktm,","00977-1-44993909851030353,,"
Craft Seller,"Pyaphal Tole, P.O. Box: 571, Ktm,","00977-1-4218179,,"
Dhankuta Sister's Handicraft,"Imadol, Lalitpur, mahalaxmi-2 ,Nepel,","+977-01-5303209,+977-9841904996+977- 9841555990,"
Indigenous Handicraft Co-operative Ltd.,"Basantapur,","00977-1-4227600,,"
Nepal MasterMind,"College Road, Kalimati, Kathmandu, Nepal,","015165135,+9779851167311,"
Gautam Suppliers,"Chiple Dhunga,","521854524852520951,+9779856020593+9779846026672,"
BASNET GROUP Pvt. Ltd.,"Balaju, Kathmandu, Nepal,","unknown,9841283317,"
Cbs handicraft Nepal,"Chakupat,","9841651829,9803012846,"
Cottage Craft,"Lagankhel,","00977-1-5536209,00977-9851051384,"
Family Fashion,"Thamel,","00977-1-4411096,00977-9851051849,"
Khukuri House Handicraft Industry,"Patan Industrial Estate,","00977-1-2222616,00977-9841929055,"
Nepali Khukuri House Pvt. Ltd.,"Thamel, P.O. Box: 24736, Ktm,","00977-1-4420218,00977-9851079448,"
Primitive Knitwear Pvt. Ltd.,"Vanasthali, P.O. Box: 8975 EPC 247,","00977-1-4388660,00977-9751030965,"
Babu Kaji Knitwear,"Thamel, P.O. Box: 1128, Ktm,","00977-1-4220841,,"
Curio Concern,"Durbar Marg,","4223458,,"
Dharmapala Thangka Centre (P) Ltd.,"Durbar Marg,","00977-1-42237154435036,,"
Federation of Handicraft Associations of Nepal,"Upama Marga, P.O. Box: 784, Ktm,","00977-1-42442314245467,,"
Glory Handicrafts,"Mahaboudha, P.O. Box: 1271, Ktm,","00977-1-552006455388565532054,,"
Gupta Art Suppliers,"Thamel, P.O. Box: 816, Ktm,","00977-1-42236274433591,,"
Gurkhas Khukuri House P. Ltd.,"Thamel, P.O. Box: 7160, Ktm,","00977-1-4229862,,"
Gurkhas Khukuri House,"GPO: 7106, Ktm, Thamel,","42298624359764,,"
Handicraft Design & Development Center,"Pulchowk,","00977-1-55240685522815,,"
Harati Woollens Knitwear (P) Ltd.,"Swoyambhu,","00977-1-42854532180401,,"
Harati Woollens Knitwear Pvt. Ltd.,"Swoyambhu,","42854534288492,,"
Himal Trading Co.,"Kobahal,","00977-1-5537446,,"
Himalayan Arts & Craft Centre,"Boudha, P.O. Box: 4725, Ktm,","00977-1-44790394485446,,"
Himalayan Asia Craft Pvt. Ltd.,"Thamel, P.O. Box: 9379, Ktm,","00977-1-44124184414679,,"
Himalayan Handicrafts,"Thamel,","00977-1-4430258,,"
