Name,Address,Telephone
Jyoti Group,"Kantipath, P.O. Box: 133, Ktm,","00977-1-42254904225230+977-9801178845,,"
Panas Pharmaceuticals Pvt. Ltd.,"Baneshwor,","00977-1-4491153+977-81-403005,,"
Magnus Pharma Pvt. Ltd.,"Kantipath,","00977-1-42668786215915,,"
Maruti Pharma Pvt. Ltd.,"Jawalakhel,","00977-1-5540531+977 1454 4183,,"
Quest Pharmaceuticals Pvt. Ltd.,"Adarshnagar-13,","+977-51-418235+977-51-418177,,"
Dental Villa- Ortho & Speciality Dental Clinic,"Balkhu, Kuleshwor road, Hanagulu Marg, Near SBI Bank,","+977-1-4276659,9860042395,"
National Drug House,"Shantipatan, Lakeside,","9846026811,9856026811,"
Jharna scientific A to Z suppliers,"anamnagar,","4102895,09845441778,"
RAJDHANI MEDICAL HALL,"Kalimati-4,","+9779841476903,+9779841476903,"
D.P.ENGINEERS,"A-12,LGF, Pandav Nager Complex, Ganesh Nager, Near Aggarwal Sweet, Delhi-110092 ,","9811065204,9871014210,"
Everest Trade Link,"Subidhanagar , Tinkune-35, Koteshwor,","+977-1-5104013,9801029911,"
Krishna international,"Udyog Marg, Hattiban, Dhapakhel, Kathmandu Valley,,","+977 1 5250282,+977 9802540001,"
Shree Rani Sati Trading Concern,"Rani Sati House, Near Radha Bhawan,","+977-1-4215455,,"
Himshikhar Biomedicals Private Limited,"Milan Chowk, Mid Baneshwor, Kathmandu-34,","01-4109558,9851117186,"
24Seven Health & Beauty Pvt. Ltd.,"Maharajgunj,","01-4720313,9841417240,"
Joshi Surgi Care,"lalitpur , near sado bato chowk,","9822783801,9822783801,"
Online Aushadhi Pvt. Ltd.,"Sanepa, Jhamsikhel,","9841568568,,"
Swoyambhu Community Eye Centre,"Dallu aawas-15, Kathmandu, Nepal,","01-4280269,,"
NS Biomedical Equipment Services Pvt. Ltd.,"Kathamandu, Nepal,","5901001,9801404075,"
Bio-Science Traders,"Kumarimarg,","+977-1-4239797,+977 9851157598,"
Nobel Trade Concern Pvt Ltd,"Binayek Basti Marga, Balaju-16, Kathmandu,","014390437,9851050803,"
Get Well Soon Nepal Pvt Ltd,"Dhobighat, Lalitpur-3,","+977-015153315,,"
OK Pharma - Online Pharmacy Pokhara,"Bhakti Marg, New Road, Behind Lumbini Bank and Kantipur Dental Hospital,","9846198129,,"
MiRON Laboratory & Research Center (MLRC) P. Ltd.,"Sairam Marg, Tinkune, Gairigaon-9, Kathmandu,","977-1-4483490,9851182019,"
Diagnotech Support P. Ltd.,"Bhakta Marg, Baluwatar, Kathmandu,","00977-1-4782969,977-9851214861,"
Diasurge Medical,"Nepal, banepa,","0857608110,,"
Fairdeal Traders,"14-a, kanshi nagar, Model town, ambala city,","0171 - 2520016,+91 - 92540202009996818008,"
