Name,Address,Telephone
Eco Cell Industries,"Banepa, Kavre,","9841907186,98410065549841622325,"
Arris Designs,"mahalaxmi-9,lalitpur,","015533896,9801163336,"
Green Design Nepal Pvt. Ltd.,"1st Floor, Shankamul Tower, Shankamul,","9851120343,9851120343,"
Nepal Construction Mart,"Kupondole, Lalitpur,","015180320,9801188110,"
Vara Architects and Builders (Pvt) Ltd.,"Baneshower , Kathmandu,","9851000641,9816900341,"
Atrium Designers and Builders Pvt. Ltd.,"Anamnagar Kathmandu Nepal,","9851164971,9841641971,"
Nabil Construction (P) Ltd.,"chabahil chuchepati Kathmandu ,","9851000641,9816900341,"
Naxalaya Pvt. Ltd.,"Jhamshikhel chowk,","05527517+977 14416543,9849102008,"
ArEiCon Architects and Engineers Consultants,"Kupondole, Jawgal, Lalitpur, Nepal,","01-5524457,9849028039,"
G.A Builders (P.) Ltd. (Former G.A. Smart Housing),"Lamingtan Marg, Kathmandu 44600,","+977-1-4537766,,"
Artwill Interior Pvt Ltd,"Kathamandu ,","9851253440,9841309009,"
MEP Consulting Engineers Nepal,"Jwagal,","01 5551150,,"
DD ARCHITECTS,"Sanjha Chowk, Ratna Rajmarg, Kohalpur, Nepal, 21904,","980-2112178,,"
Medha Builders Pvt.Ltd,"kathmandu , Nepal, sankhumul,","0144786657,9851148723 / 9803545818,"
Evolve Design Studio,"Block 1, Tori Mill Compound, Near Gyaneshwor Community park,","+97714426022,9818932370,"
Future Works Building Solutions Pvt. Ltd.,"Norkhang complex, 6th Floor, Jawalakhel,","9813390252,,"
Ujjain Design Architect & Construction Pvt.Ltd,"kathmandu,","9851143808,9801024407,"
Pumori Engineering Services Pvt. Ltd.,"Basanta Marg-351, Babarmahal, KMC-11, Kathmandu,","00977-1-4216034/42399839851104112,00977-98511096179851006427,"
Kalpasara Studio,"Tripureshwor,","97715316564,,"
Kshamadevi Building Material Pvt Ltd,"Kaushaltar bHAKTAPUR,","9841309009,9841309009,"
Rawa Engineering,"Bishalnagar, Kathmandu,","9843952389,9842286861,"
Sutra Construction Pvt. Ltd.,"New Baneshwor, Way to Thapa Gau,","016925009,9851195379,"
Bangalamukhi Interior Pvt.Ltd,"Maharajgunj ,","9851024407,9851014407,"
