Name,Address,Telephone
Hk Traders,"lazimpat road, panipokhari,kathmandu,","01-4006615,9851014194,"
Rilu Enterprises,"Near Gopi Krishna Hall Chabahil, Kathmandu Nepal - 44602,","01- 4813017,981151504,"
Jyoti Equipments Pvt Ltd.,"C-4,Metro Bajar Near Nangloi Metro Station ,","9968336244,9968336244,"
Himalayan Coffee Trading,"Gairidhara,","014040082,9851013373,"
Bottlers Nepal Limited (Coke),"Balaju Industrial District, Balaju,","+977-1-4352986+977-1-4352988,,"
Birat Water Enterprise and general stores,"shiva chowk , ganga sagar,","+9779819644876,,"
DUGAR BROTHERS AND SONS,"Balaju Industries Estate,","+977-1-4362992,,"
One House Solution Pvt Ltd,"Rajdurbar uttar Dhoka, behind hotel hiranya, tej bhawan Premisis,","unknown,98496808139851145462,"
Himchuli SteelTech Industries,"Kalanki,","9856020425,9802033333,"
Hyundai Water Tech Nepal,"Guheswori,","+01 5155254,+977 9851020225/9851104585/9851150405,"
SUJAL PLASTICS PVT. LTD.,"Naxal,","+977 1 4417936 (4412276),,"
NGO FORUM FOR URBAN WATER AND SANITATION,"Tripureshwor,","20421224216606,,"
TSN GROUP,"Minbhawan,","4465165016218796,,"
BLUE SPRING WATER SUPPLIERS,"Satdobato, Lalitpur","22205465555195,,"
AMRIT ENGINEERING PVT. LTD.,"Ashram Road, Ahmedabad","91-79-2754693227546058,,"
DEVTEC NEPAL PVT. LTD.,"Kantipath,","422683542291864253172,,"
HIMALAYAN AQUA MINERALE IND.,"Kantipath,","42288134244352,,"
HIMALAYAN HYGENIC PRODUCTS PVT. LTD.,"Baneshwor,","44902244490248,,"
KAILASH TRADING COMPANY,"Himalaya Road,","525014530299,,"
MAHARJAN METAL INDUTRIES,"Teku,","42435374262032,,"
PADMA KHANEPANI PVT. LTD.,"Sitapaila,","42892854672466,,"
PASHUPATI HARDWARE CENTRE,"Maitidevi,","44179694420105,,"
PURE INT'L PVT. LTD.,"Kalimati,","46710729851098504,,"
RAJESH SANITARY WARE,"Tripureshwor,","42516964260714,,"
RAYBOT SPRING,"Gyan Chamber,","4279431,,"
R.C. TRADING CO. PVT. LTD.,"Putalisadak,","44308754437717,,"
SANI INTENATIONAL PVT. LTD.,"Tripureshwor,","42568655545830,,"
SHANGRILA MARKETING NEPAL PVT. LTD.,"Kantipath,","42498164268555,,"
SKY WAY INTERNATIONAL,"Battisputali,","2100286,,"
SRIJANA PURE DRINKING WATER INDS.,"Tripureshwor,","42509324256865,,"
SUMNIMA INTERNATIONAL PVT. LTD.,"Lazimpat,","4411925,,"
WATER ENGINEERING AND TRAINING CENTRE,"Dillibazar,","4418156,,"
ANGEL HEART ENTERPRISES,"Basundhara,","21717822315098,,"
AQUA PLUS SALES AND MARKETING,"Kantipath,","42582504238378,,"
ARYAN TECHNOLOGY PVT. LTD.,"Kupandole, Lalitpur","5528396553563498510421109851043310,,"
CREATIVE HOME APPLIANCES PVT. LTD.,"Sanepa, Lalitpur","55286602090506,,"
DOLPHIN INDUSTRIES PVT. LTD.,"Harisiddhi, Lalitpur","5528537,,"
JOSHI TRADING PVT. LTD.,"Dhumbarahi,","40075689841316911,,"
HIMALAYAN NATURAL SPRING WATER PVT. LTD.,"Dholahity, Lalitpur","5573896,,"
OLYMPIC MINERAL WATER PVT. LTD.,Lalitpur,"5527589,,"
ORION INTERNATIONAL,"Kalanki,","4274484,,"
PIONEER APPLIANCES,"Bhotebahal,","42120574261178,,"
WATER AND ENERGY TREADING HOUSE,"Kathmandu,","42423374242338,,"
WATER TREATMENT SERVICES PVT. LTD.,"Nardevi,","42493904256144,,"
AQUA MINERALS NEPAL PVT. LTD.,"Balaju,","43505524350554,,"
ALLIANCE MARKETING,"Putalisadak,","42668294219633,,"
ANNA MINERAL WATER,"Pokhara,","522016521386,,"
