Name,Address,Telephone
Foodmandu Pvt. Ltd.,"Anamnagar, P.O. Box: 7469, Ktm,","+977 1-4444177+977 1-4440979,,"
All Store,"Dharan-15, Sunsari,","9811303760,,"
Royal Indu Hotel,"Gaur 6,Rautahat (Nepal),","9865014303,,"
Jyoti Equipments Pvt Ltd.,"C-4,Metro Bajar Near Nangloi Metro Station ,","9968336244,9968336244,"
The Sunrise Hotel & Lodge,"Rolpa,","+977-86-440065440365,9867313759,"
Anchalpur Restaurant and Party Place,"Anchalpur-9, Bhairahawa ,","071523000,98470883269800753939,"
Hotnchilly,"Dhamboji-Banke,","9802548621,,"
Motedai Food Delivery Service,"Shivchowk,Dhanusha,Nepal,","9779801655556,9779801655556,"
Shubha Medina Tours & Tavels,"Jorpati Chowk,","unknown,9819335079,"
Cafe & Shop Mitini,"Rani Devi Marg 152, Lazimpat,","400206840020694002070,,"
K. C. Catering Service,"Gairapatan,","9856022821,9842276465,"
nepaldelivery.com,"newbaneshwor, Kathamdndu,","9841473002,9851173002,"
Amritbhog Caterers Pvt. Ltd.,"Kalikasthan,","00977-1-441351244332814433887,,"
Durbar Banquet,"Soalteemode,","00977-1-4278758,,"
BISRANTI CATERING AND PARTY PALACE,"Maitidevi,","442047944906524428269,9851043236,"
Hotel star banquet Pvt Ltd,"ratnanagar 1, chitwan,","056560992,9855050992,"
Royalty rental and catering service,"Jagati ( near jagati police),","9851183800,,"
Ashok Party Palace,"Baliphal, Patan Dhoka,","00977-1-553300455533279851044428,,"
Sahara,"Bagmati,","+977 980-380-2177,,"
Sr tiffin point,"birgunj,","9801569972,9801569972,"
A to Z Catering,"Prayag Pokhari, P.O. Box: 8975 EPC 2544,","00977-1-5541882,,"
Baluwatar Catering Service & Tent House Pvt. Ltd.,"Baluwatar, P.O. Box: 11731, Ktm,","00977-1-442619843773762080101,,"
Cafe Catering Service,"Mahapal, P.O. Box: 241, Ltp,","00977-1-55375995530208,,"
Nature Club,"GPO: 5152, Ktm, Dhapasi,","43734444375567,,"
Patan Party Palace,"Lagankhel, P.O. Box: 8975 EPC 2544,","00977-1-55421135534038,,"
A Shubha-Labha Catering & Rental Service,"Imadol, P.O. Box: 21078, Ktm,","00977-1-52014999851117003,00977-9741177848,"
Modern Catering Service,"Samakhushi,","00977-1-43569094357541,00977-9841229035,"
Nepal Facilities Service Pvt. Ltd.,"Baluwatar,","00977-1-4420162,00977-9849151738,"
ANMOL CATERING SERVICE PVT. LTD.,"New Baneshwor,","44668614477640,,"
Annapurna Dhuku,"Ason Bahal,","00977-1-42305259841234021,,"
A TO Z CATERING SERVICE,"Prayag Pokhari, Lalitpur","5541882,,"
B. B. Catering & Rental Service,"Lagankhel,","00977-1-5540230,,"
Catering World Pvt. Ltd.,"Sorakhutte, P.O. Box: 8160, Ktm,","00977-1-20904459851095905,,"
Chhetrapati Party Palace,"Chhetrapati,","00977-1-4215036,,"
Durbar Party Venue/Star Venue,"Durbar Marg, P.O. Box: 20979, Ktm,","00977-1-424464342322602001040,,"
Durbar Party Venue'Star Venue,"GPO: 20979, Ktm, Durbar Marg,","424464342322602001040,,"
Hamro Annapurna Catering Service,"New Baneshwor, P.O. Box: 3536, Ktm,","00977-1-4468676,,"
Happy - Lunch,"New Baneshwor,","00977-1-4785163,,"
Kshitij Rental & Catering Service,"Kamalpokhari,","00977-1-44111334417724,,"
Manakamana Aastha Catering & Tent House,"Gyaneshwor, P.O. Box: 20292, Ktm,","00977-1-443406320941759851051931,,"
Mandala House Party Palace,"Balkumari,","00977-1-50062912120199,,"
MANAKAMANA AASTHA CATERING AND TENT HOUSE,"Gyaneshwor,","443406320941759851051931,,"
Namaste Party Mahal,"Jyatha, P.O. Box: 8974 CPC 057,","00977-1-4258689,,"
Nepal Hart Pashmina Ind.,"New Road,","00977-1-21213430162189309841192040,,"
Royal Catering & Rental Service,"Kumaripati,","00977-1-5531645,,"
ROYAL CATERING AND RENTAL SERVICE,"Kumaripati, Lalitpur","55316459841218357,,"
Sewa Sadan Cooking & Catering Service Center,"Dillibazar, P.O. Box: 3052, Ktm,","00977-1-44368044440949,,"
SHREE GANESH VEHICLE AND CATERING SERVICE,"Maitidevi,","4435450,,"
Shubha-Labha Catering & Rental Service,"Talchikhel, KTM, Post Box No.21078, Lalitpur","9771 5201499,,"
Singh's Party Palace,"Balaju,","00977-1-4381344,,"
Yachu Rental & Catering Service,"Thimi,","00977-1-663073066349999851037162,,"
Ma Puchha,"Gophal,","00977-1-4266377,,"
Cosmo Family Buffet Restaurant,"Mainroad 10,","0097757525387,,"
Precious Wedding Planner,"New Road,","00977-1-421828742444444241958,,"
Anmol Banquet & Events (P) Ltd.,"Naxal,","00977-1-44180064419392,,"
ANMOL BANQUET AND EVENTS PVT. LTD.,"Naxal,","44180064419392,,"
KOPILA CATERING AND RENTAL SERVICE,"New Baneshwor,","4495242,,"
Puja & Puja Catering Service,"Bagbazar, P.O. Box: 14319, Ktm,","00977-1-422078642532244246502,,"
R. B. Home Concern,"Jayabageswori,","00977-1-4482156,,"
R.B. HOME CONCERN,"Jay Bageshwori,","44821564473700,,"
Celebrations Banquet,"Kamalpokhari,","00977-1-4419338,00977-9851077784,"
Swayambhu Party Palace,"Swoyambhu,","+977-1-4672287,,"
Teku Party Palace,"Teku,","00977-1-4254469,00977-9851063292,"
Yala Catering & Rent Service,"Mahabaudha,","00977-1-9841204005,00977-9841750963,"
AASISTA KATHMANDU TENT HOUSE AND CATERING SERVICE,"Tripureshwor,","42456919851049857,,"
A.B. CATERING HOUSE,"Samakhushi,","4355651,,"
ACTIVE SAVING AND CREDIT CO-OPERATIVE LIMITED,"Banasthali,","2171317,,"
AGAMAN HOTEL TRAINING CENTER AND CATERING SERVICE PVT. LTD.,"Samakhushi,","43528469841293748,,"
Agni Catering & Tent House,"Kumaripati,","00977-1-552439055419619851048828,,"
AGNI CATERING AND TENT HOUSE,"Kumaripati, Lalitpur","5524390,,"
