Name,Address,Telephone
Safe driving traning center,"Gothatar-1,","9803155709,9808027608,"
Triveni driving centre,"Chitwan,Bharatpur10,birendracampuschock,side of cg landmark,Nepal,","056528091,98550654779855085977,"
Devis Fall Driving School & Pre-Test Center,"Devis Falls, Siddhartha Rajmarg,","061-467619,,"
Miracle driving school,"Pipalbot Chabahil Kathmandu,","unknown,9843181279,"
NEW CHITWAN DRIVING INSTITUTE,"Chitwan,","528289,98450488639845278967,"
P&P Driving Training Center,"Tilotama -03, Yogikuti, Rupandehi,","9865111858,9818583782,"
Suzuki Driving School,"Ekantakuna Lalitpur,","+97715530374,+9779801130375,"
Syakar Safety Riding Training Center,"Gwarko,","00977-1-52019615200962,,"
Manakamana Driving Institute,"Pulchowk,","00977-1-5529837,,"
Shree Bishwokarma Driving Center,"Kalimati,","00977-1-4285904,009779841236291,"
Kanchanjangha Motor Driving Training Institute & Communication,"Chabahil, P.O. Box: 20842, Ktm,","00977-1-44846024479432,,"
Kathmandu Driving Centre,"Maharajgunj, P.O. Box: 13333, Ktm,","00977-1-4375339,,"
National Driving Center,"Maharajgunj, P.O. Box: 8975 EPC 4007,","00977-1-43703104375380,,"
Navadurga Motor Driving Training Center,"Putalisadak,","00977-1-4242059,,"
Pathivara & Siddhakali Motor Driving School,"Putalisadak, P.O. Box: 6732, Ktm,","00977-1-4267043,,"
Bishwokarma Motor Driving Centre,"Kalimati,","00977-1-4285904,,"
Nepal Woman Driving Centre,"Old Baneshwor,","00977-1-4474160,,"
Practical Motor Driving Institute,"Soyambhu,","00977-1-4276113,,"
Shrija Motor Driving Training Centre,"Thamel,","00977-1-4414620,,"
Gandaki Driving & Services,"Balaju,","00977-1-4354794,,"
New Gandaki Driving School,"Balaju,","00977-1-435479443566454356643,,"
Shree Manandhar Driving Center,"Kalimati,","00977-1-4277416,,"
Sagar Manandhar Driving Institute,"Kalimati,","00977-1-4285237,00977-9851068929,"
Shree Chandra Surya Motor Driving Centre,"Pulchowk Near Damkal, Lalitpur","015549055,98412140859808981373,"
Bishal Driving Training Centre,"Maharajgunj,","00977-1-4375378,,"
Buddha Driving Training Institute,"Maharajgunj,","00977-1-4720101,,"
Chamling Driving Centre,"Satdobato,","00977-1-5541989,,"
Chandra Surya Motor Driving Centre,"Pulchowk,","00977-1-5536202,,"
Dachhinkali Motor Driving Training Centre,"Putalisadak,","00977-1-4225763,,"
Dahal Driving Training Centre,"Near SSP Office,","+977-1-522427,,"
D. B. Motor Driving Training Centre,"Chandol,","00977-1-4420206,,"
Everest Motor Driving Training Centre,"Balkhu,","00977-1-4273382,,"
Gorakhnath Driving Training Center,"Sorhakhutte,","00977-1-4359198,,"
Gurung Motor Driving Training Centre,"Gongabu,","00977-1-4357775,,"
Himalayan Motor Driving School,"Koteshwor,","00977-1-4476897,,"
Hong Kong Driving Training Centre,"Maharajgunj,","00977-1-4721022,,"
Jaya Shree Khadka Motor Driving Institute,"Koteshwor,","2052120,,"
Kanchanjungha Motor Driving Institute,"Kumaripati,","00977-1-5538031,,"
Kantipur Driving Centre,"Putalisadak,","00977-1-42457164242059,,"
Kathmandu Driving Center,"Kalimati,","00977-1-2200007,,"
Keron Motor Driving Training Centre,"Kamalpokhari,","00977-1-443370442530114434924,,"
Khanal Motor Driving Center,"Mahalaxmisthan,","00977-1-5550188,,"
Lav Kush Driving Training Institute,"Naya Bazar,","521208,,"
Mahankal Driving Institute,"Gongabu,","00977-1-4351269,,"
Mahima Motor Driving Training Center,"Thasikhel,","00977-1-5548855,,"
Makalu Motor Driving Training Center,"Kalanki,","00977-1-4284148,,"
Manandhar Driving Centre Pvt. Ltd.,"Kalimati,","00977-1-42774164223569,,"
Motor Driving (P) Ltd.,"Pulchowk,","00977-1-5549055,,"
Motor Driving Training Center,"Dhalko,","00977-1-4216558,,"
Namaste Driving School,"Maharajgunj,","00977-1-4720553,,"
Namaste Nepal Driving Centre,"Samakhushi,","00977-1-4361914,,"
Narayani Driving Institute,"Naya Bazar,","525669,,"
Nawa Durga Motor Driving Training School,"Koteshwor,","00977-1-44926664492777,,"
Nepal Driving Training & Technical Academy,unknown,"00977-1-2093276,,"
Nepal Mahila Driving Training Centre,"Old Baneshwor,","00977-1-4474160,,"
New Driving Institute,"Naya Bazar,","526981,,"
New Himalaya Motor Driving Training Centre,"Putalisadak,","00977-1-4267043,,"
New Manakamana Driving Center,"Talchikhel,","00977-1-5545232,,"
New Shiva Shakti Driving Centre,"Swoyambhu,","00977-1-4283297,,"
Om Driving Center,"Pulchowk,","00977-1-55490335549459,,"
Om Jaya Shree Krishna Driving Center,"Satdobato,","00977-1-55281762111037,,"
Om Jaya Shree Krishna Driving School,"Kalimati,","00977-1-4279390,,"
Om Sai Driving Institute,"Maharajgunj,","00977-1-4372065,,"
Pathibhara & Siddhakali Motor Driving Centre,"Putalisadak, P.O. Box: 6732, Ktm,","00977-1-4246300,,"
Paudel Driving Institute,"Nayabazar,","5347209856022036,,"
Pokhara Motor Driving Training Center,"Sabhagriha Chowk,","521210,,"
Professional Driving Institute,"Pulchowk,","00977-1-5547334,,"
Purano Budhathoki Motor Driving Training Center,"Putalisadak,","00977-1-4253265,,"
Purano Budhathoki Driving Training Center,"Putalisadak,","4253265,,"
Radha Krishna Motor Driving Institute P. Ltd.,"Kalanki,","00977-1-427650842817284282345,,"
Relimai Motor Driving Training Centre,"Kalimati,","00977-1-4276411,,"
Sai Baba Driving Centre,"Putalisadak,","00977-1-4247046,,"
Sambandha Motor Driving Training Centre,unknown,"00977-1-4484331,,"
Samjhana Motor Driving,"Kumaripati,","00977-1-5590228,,"
Sanbandha Motor Driving Training Institute,"Chabahil,","00977-1-4490299,,"
Sanu Mahila Motor Driving Training Center,"Chabahil,","00977-1-4460794,,"
Sayapatri Driving School,"Balkhu,","00977-1-4279821,,"
Sayapatri Motor Driving Training School,"Balkhu,","00977-1-4278705,,"
4s Driving Institute,"Anamnagar,","00977-1-4770995,,"
Shree Biswokarma Driving Training Center,"Dhalko,","00977-1-4256758,,"
Shree Budhathoki Motor Driving Training School,"Putalisadak,","00977-1-4269101,,"
Shree Indrayani Motor Driving Training Centre,"Jorpati,","00977-1-4486977,,"
Shree Kamkumar Motor Driving Training Centre,"Koteshwor,","00977-1-4473426,,"
Shree Ram Kumar Motor Driving Training Center,"Koteshwor,","00977-1-4473426,,"
Shree Suman Motor Driving Training,"Samakhushi,","00977-1-43526314358738,,"
Simron Motor Driving,"Lagankhel,","00977-1-5550699,,"
Sonia Motor Driving Training Center,"Samakhushi,","00977-1-4356943,,"
Soniya Motor Driving Training Center,"Samakhushi,","00977-1-4356943,,"
Sorhakhutte Driving Training Centre,"Sorhakhutte,","00977-1-4359198,,"
Surya Kiran Motor Driving,"Tinkune,","00977-1-206239623642629841391689,,"
Tamrakar Driving Institute,"Chandragadi, Jhapa","023-520503520657,,"
Technical Co-operative School Ltd.,"Chabahil,","00977-1-4493381,,"
Universal Motor Driving,"Chabahil,","00977-1-4486314,,"
Valley Top Motor Driving Centre,"Chuchepati,","00977-1-4484334,,"
Welcome Driving Institute,"Jawalakhel,","00977-1-55397865548345,,"
Yeti Mahila Driving Training Centre,"Balaju,","00977-1-4356701,,"
Yeti Motor Driving Centre,"Balaju,","00977-1-4354170,,"
