Name,Address,Telephone
Eco Cell Industries,"Banepa, Kavre,","9841907186,98410065549841622325,"
Real Time Solutions Pvt. Ltd,"Dhobighat, Jhamsikhel, Kathmandu,","5538687,9801074963,"
Helmets Nepal,"Anamnaga, kathmandu,","014268661,9802061944,"
Phoenix Solutions,"Maitidevi,","01-4425253,9851128097,"
S. T. Fabrics Pvt. Ltd (ST Carpet),"Kutu Bahal Galli ( near aradhana petrol pump),","01-4494600,9802030759,"
First General Technology Inc.,"No.6,Shin-Ai Rd.,,","88662632460,88662632460,"
Kirloskar Generators Sterling Sales Co. Pvt. Ltd.,"Naxal, Kathmandu,","00977-9801333777 / 9721337777,00977-1-4443952,"
NEMAXNEPAL,"Bharatpur-14,","+9779840365104,,"
Software Shark Tech Pvt Ltd,"chabhil,","015908389,9801333378,"
Himal Engineering And Power Concern,"Udayapur,","+9779852835025,+9779852835025,"
JRM SOLUTION,"36,37 Neelakanth apartment, Ghaziabaad(U.P),","9212289009,7379363000,"
Pokhara Industrial Automation Engineering,"Shantinagar Tole, Hariyali Marga,","+977 9841260542,,"
Gujarat Apollo Industries LTD,"pokhara (Ahmedabad Gujarat),","+91 79 26444598,+91 9998607794,"
Kritan Associates Pvt. Ltd.,"Kathmandu-32,Nepal,","9779808018766,9779801108552,"
Enventa Power Technologies Pvt.Ltd.,"F 399 sector 63,","+919205029545,+919205029545,"
Odaan Innovations,"Patan Industrial Estate Lalitpur,","01-5522263,9841630411,"
Paraphase controls & transformers,"334/9 Shastri nagar Delhi-110031,","01165257851,92106382058376863221,"
"Haiyan Huagong Machinery Co.,Ltd.","baibu industry park,haiyan,zhejiang,china","8618667367215,8657386771852,"
Royal Technical Sales & Services,"Satdobatto,","9840022476,9840022476,"
TEJ BINAYAK COMPUTER HOUSE AND CYBER,"GOTHATAR-3,","01-4993406,9843340527,"
Unicorn,"ajshfakj,","unknown,,"
IT COMPUTER INSTITUTE,"Dumre Bazaar, Tanahun, Nepal","unknown,9856060489,"
